year,indicator,counts,n_items
2016,blog,0,1463191
2014,blog,2,9765
2014,blog,3,3846
2017,blog,4,1808
2015,blog,5,1223
2018,blog,5,943
2013,blog,6,598
2015,blog,6,820
2018,blog,6,564
2016,blog,7,563
2017,blog,9,209
2017,blog,10,164
2015,blog,11,155
2017,blog,11,133
2012,blog,13,52
2013,blog,13,89
2013,blog,14,64
2015,blog,14,81
2016,blog,14,74
2018,blog,16,39
2016,blog,17,54
2017,blog,18,26
2014,blog,20,31
2015,blog,20,39
2018,blog,21,17
2012,blog,22,9
2018,blog,22,10
2013,blog,24,12
2014,blog,25,9
2016,blog,25,14
2014,blog,26,11
2014,blog,27,9
2017,blog,27,6
2012,blog,29,4
2018,blog,29,2
2013,blog,30,7
2018,blog,30,4
2013,blog,31,3
2016,blog,33,8
2016,blog,34,3
2017,blog,34,4
2014,blog,35,4
2012,blog,36,1
2014,blog,36,6
2017,blog,36,4
2012,blog,38,2
2015,blog,38,4
2018,blog,38,2
2013,blog,42,7
2017,blog,44,1
2012,blog,45,2
2013,blog,49,1
2018,blog,49,2
2014,blog,52,3
2012,blog,54,1
2015,blog,54,1
2018,blog,56,1
2014,blog,69,2
2016,blog,75,1
2018,blog,90,1
2013,blog,92,1
2014,blog,95,1
2017,blog,96,1
2015,blog,138,1
2014,blog,0,1370180
2017,blog,1,48922
2015,blog,3,3767
2017,blog,3,3567
2015,blog,4,2062
2018,blog,4,1762
2012,blog,5,777
2013,blog,5,918
2016,blog,6,810
2018,blog,7,412
2013,blog,8,276
2014,blog,8,345
2016,blog,8,356
2016,blog,9,272
2014,blog,11,164
2015,blog,12,136
2018,blog,12,87
2015,blog,13,102
2015,blog,15,62
2013,blog,16,37
2016,blog,16,47
2013,blog,17,45
2014,blog,17,47
2012,blog,19,23
2014,blog,19,30
2017,blog,19,21
2012,blog,21,14
2015,blog,21,24
2013,blog,22,10
2016,blog,23,24
2016,blog,24,8
2013,blog,25,13
2014,blog,28,3
2012,blog,30,6
2015,blog,31,5
2016,blog,31,11
2018,blog,31,1
2013,blog,32,6
2016,blog,32,5
2013,blog,33,6
2014,blog,33,2
2015,blog,37,3
2017,blog,37,4
2013,blog,39,3
2015,blog,39,4
2018,blog,39,1
2015,blog,40,1
2016,blog,40,4
2016,blog,41,1
2018,blog,41,1
2017,blog,43,2
2017,blog,46,2
2015,blog,47,2
2012,blog,53,1
2012,blog,55,1
2014,blog,58,1
2016,blog,58,1
2014,blog,59,1
2017,blog,62,1
2015,blog,63,2
2013,blog,65,1
2012,blog,70,2
2014,blog,70,1
2014,blog,75,1
2012,blog,97,1
2017,blog,102,1
2012,blog,171,1
2014,blog,194,1
2012,blog,269,1
2013,blog,0,1322795
2014,blog,1,34233
2016,blog,1,43968
2012,blog,2,7555
2017,blog,2,9979
2012,blog,3,2770
2012,blog,4,1362
2013,blog,7,430
2014,blog,9,280
2012,blog,10,136
2014,blog,10,201
2012,blog,11,97
2012,blog,12,69
2017,blog,12,101
2018,blog,13,56
2018,blog,14,50
2013,blog,15,49
2016,blog,15,64
2018,blog,15,51
2014,blog,18,28
2016,blog,18,47
2012,blog,20,28
2017,blog,20,30
2017,blog,21,13
2015,blog,22,23
2013,blog,23,10
2015,blog,23,20
2018,blog,23,5
2018,blog,24,6
2016,blog,26,15
2017,blog,26,11
2012,blog,27,7
2012,blog,28,4
2015,blog,28,9
2017,blog,28,6
2015,blog,29,10
2017,blog,29,4
2015,blog,30,5
2018,blog,32,3
2014,blog,34,4
2012,blog,35,10
2017,blog,35,2
2015,blog,36,7
2012,blog,37,2
2013,blog,38,4
2013,blog,40,3
2018,blog,40,2
2013,blog,41,2
2016,blog,42,3
2014,blog,43,3
2016,blog,43,3
2012,blog,44,2
2014,blog,44,1
2014,blog,45,3
2012,blog,46,1
2012,blog,47,1
2018,blog,47,1
2016,blog,48,1
2013,blog,50,2
2014,blog,50,2
2016,blog,50,3
2017,blog,51,2
2014,blog,53,1
2013,blog,56,4
2015,blog,56,1
2017,blog,61,1
2013,blog,64,1
2015,blog,65,1
2014,blog,68,1
2012,blog,69,1
2013,blog,72,2
2015,blog,72,1
2016,blog,73,1
2014,blog,76,1
2012,blog,85,1
2014,blog,85,1
2015,blog,87,1
2015,blog,95,1
2014,blog,103,1
2015,blog,146,1
2013,blog,232,1
2015,blog,0,1413403
2018,blog,1,54160
2015,blog,2,9768
2016,blog,2,9760
2016,blog,3,3841
2016,blog,4,2018
2014,blog,5,1137
2017,blog,5,1078
2012,blog,6,514
2014,blog,6,745
2012,blog,7,348
2013,blog,9,179
2016,blog,12,130
2016,blog,13,109
2017,blog,13,99
2014,blog,15,61
2017,blog,15,54
2017,blog,17,34
2012,blog,18,27
2018,blog,18,27
2013,blog,19,26
2015,blog,19,36
2014,blog,21,19
2016,blog,21,27
2014,blog,24,19
2013,blog,26,12
2018,blog,28,3
2014,blog,29,13
2014,blog,30,8
2017,blog,30,5
2014,blog,31,5
2012,blog,32,2
2012,blog,33,7
2015,blog,33,2
2015,blog,34,4
2015,blog,35,7
2013,blog,37,1
2014,blog,37,9
2016,blog,38,3
2016,blog,39,2
2012,blog,40,4
2018,blog,42,1
2012,blog,43,3
2013,blog,45,2
2018,blog,45,2
2013,blog,46,6
2012,blog,49,1
2014,blog,49,1
2017,blog,50,1
2018,blog,52,1
2013,blog,53,1
2014,blog,54,3
2015,blog,58,2
2013,blog,60,1
2018,blog,60,1
2013,blog,61,1
2016,blog,61,1
2016,blog,63,2
2014,blog,64,1
2014,blog,65,1
2016,blog,102,1
2013,blog,111,1
2015,blog,152,1
2012,blog,1,27269
2013,blog,1,32046
2018,blog,3,3625
2014,blog,4,2028
2012,blog,8,248
2015,blog,8,434
2018,blog,9,219
2013,blog,10,138
2015,blog,10,247
2016,blog,10,216
2018,blog,10,157
2013,blog,11,144
2016,blog,11,139
2018,blog,11,144
2013,blog,12,100
2014,blog,12,151
2014,blog,13,99
2017,blog,16,50
2012,blog,17,32
2018,blog,17,28
2013,blog,18,25
2018,blog,19,29
2014,blog,22,14
2016,blog,22,15
2012,blog,24,10
2015,blog,24,14
2017,blog,24,10
2018,blog,25,8
2012,blog,26,4
2018,blog,26,6
2015,blog,27,10
2016,blog,27,5
2018,blog,27,10
2016,blog,30,7
2014,blog,32,7
2017,blog,32,7
2017,blog,33,2
2012,blog,34,2
2013,blog,34,3
2016,blog,35,6
2013,blog,36,4
2018,blog,36,1
2018,blog,37,1
2014,blog,38,3
2012,blog,39,1
2014,blog,39,1
2014,blog,40,2
2012,blog,42,3
2015,blog,43,1
2013,blog,44,1
2014,blog,46,5
2015,blog,49,2
2012,blog,51,2
2014,blog,55,4
2017,blog,55,2
2014,blog,56,1
2012,blog,59,2
2014,blog,62,1
2014,blog,63,2
2016,blog,64,2
2014,blog,66,1
2017,blog,66,1
2016,blog,70,2
2014,blog,73,1
2015,blog,74,1
2013,blog,77,1
2018,blog,77,1
2012,blog,82,1
2015,blog,91,1
2016,blog,94,1
2013,blog,104,1
2015,blog,143,1
2013,blog,280,1
2012,blog,0,1237826
2017,blog,0,1513183
2018,blog,0,1609170
2015,blog,1,35366
2013,blog,2,8930
2018,blog,2,10189
2013,blog,3,3377
2013,blog,4,1609
2016,blog,5,1198
2017,blog,6,595
2014,blog,7,476
2015,blog,7,544
2017,blog,7,475
2017,blog,8,305
2018,blog,8,301
2012,blog,9,158
2015,blog,9,287
2012,blog,14,53
2014,blog,14,80
2017,blog,14,74
2012,blog,15,39
2012,blog,16,48
2014,blog,16,58
2015,blog,16,55
2015,blog,17,56
2015,blog,18,33
2016,blog,19,32
2013,blog,20,20
2016,blog,20,24
2018,blog,20,21
2013,blog,21,16
2017,blog,22,14
2012,blog,23,11
2014,blog,23,14
2017,blog,23,19
2012,blog,25,13
2015,blog,25,11
2017,blog,25,11
2015,blog,26,11
2013,blog,27,8
2013,blog,28,8
2016,blog,28,8
2013,blog,29,8
2016,blog,29,9
2012,blog,31,6
2017,blog,31,1
2015,blog,32,10
2018,blog,33,2
2018,blog,34,3
2013,blog,35,1
2018,blog,35,3
2016,blog,37,4
2017,blog,40,2
2014,blog,41,3
2015,blog,41,1
2015,blog,42,2
2017,blog,42,2
2013,blog,43,3
2018,blog,43,2
2015,blog,44,6
2016,blog,44,3
2018,blog,44,1
2016,blog,45,1
2014,blog,47,3
2016,blog,47,3
2017,blog,47,1
2014,blog,48,2
2015,blog,50,2
2013,blog,51,3
2015,blog,51,1
2015,blog,52,2
2018,blog,53,1
2013,blog,54,1
2014,blog,57,1
2017,blog,58,1
2013,blog,59,3
2013,blog,63,1
2013,blog,79,3
2014,blog,81,1
2016,blog,86,1
2014,blog,114,1
2015,blog,119,1
2015,blog,127,1
2014,blog,131,1
2015,blog,217,1
2016,facebook,0,1366230
2014,facebook,2,16050
2014,facebook,3,6228
2017,facebook,4,6331
