country,items,blogs,facebook,news,policies,twitter,wikipedia,blogs_weighted,facebook_weighted,news_weighted,policies_weighted,twitter_weighted,wikipedia_weighted
AD,21,0,3,1,0,12,0,0,3,1,0,9,0
AE,6746,178,424,175,46,2153,72,152,371,153,43,1905,67
AF,117,2,12,8,4,67,1,2,10,7,4,54,1
AG,7,0,1,0,1,6,0,0,1,0,1,4,0
AI,8,0,0,0,0,3,0,0,0,0,0,3,0
AL,388,10,16,6,3,100,2,10,13,5,3,86,2
AM,2913,128,286,123,6,1179,32,122,274,120,6,1097,28
AN,27,3,11,2,0,26,1,3,8,2,0,19,1
AO,108,3,21,8,2,62,2,3,14,6,2,48,2
AR,41613,1041,3436,716,235,13864,988,979,3258,662,222,13288,946
AT,53496,2883,5843,3641,707,24191,1153,2606,5322,3318,637,22161,1041
AU,257803,17800,40747,20829,10326,140274,6075,16581,38309,19565,9885,132215,5699
AW,4,0,0,0,0,1,0,0,0,0,0,1,0
AZ,1735,4,42,9,3,166,8,3,32,5,2,125,8
BA,1281,14,47,13,9,241,8,12,44,12,7,218,7
BB,224,8,22,12,14,93,0,7,21,11,13,88,0
BD,6339,151,532,168,173,2266,87,119,446,136,146,1844,71
BE,80651,3576,8984,3411,1457,40690,1611,3236,8189,3094,1336,37267,1483
BF,855,39,84,28,39,407,7,30,65,22,31,318,6
BG,6489,94,268,77,24,1382,61,83,244,72,24,1263,57
BH,459,12,40,11,7,156,13,10,34,9,6,136,12
BI,58,5,10,1,3,32,1,4,7,1,2,21,1
BJ,814,28,90,20,18,381,15,22,69,13,15,288,13
BM,51,15,12,7,1,31,2,12,9,5,1,23,2
BN,404,13,28,8,3,121,8,10,22,5,3,104,7
BO,378,29,68,21,11,208,15,18,46,14,10,144,11
BQ,1,0,1,0,0,1,0,0,1,0,0,1,0
BR,238278,4997,21337,4672,1209,69982,2378,4649,20370,4340,1152,66696,2254
BS,71,5,32,6,1,58,4,4,22,4,1,37,2
BT,127,8,30,7,11,81,6,6,20,6,10,62,4
BW,742,40,144,42,24,395,4,26,98,25,16,287,3
BY,3524,15,75,25,4,377,14,13,62,21,4,323,13
BZ,22,2,11,2,0,20,1,2,9,2,0,14,1
CA,287238,16805,39777,17185,5085,144038,5653,15871,37826,16263,4869,137000,5357
CD,520,29,114,17,23,331,13,24,89,14,20,260,10
CF,63,3,13,4,1,41,1,3,10,3,1,34,1
CG,171,13,19,6,7,92,1,10,15,4,7,74,1
CH,102257,7286,13855,7570,2009,55914,2480,6469,12382,6796,1835,50507,2248
CI,767,27,61,22,16,317,8,21,47,14,13,247,6
CK,3,0,1,0,0,3,0,0,0,0,0,1,0
CL,29401,1146,2583,812,211,11373,531,978,2276,692,189,10247,462
CM,3089,79,240,51,50,1067,18,67,190,37,40,874,14
CN,1714310,22692,55463,27054,4223,366093,9687,21094,52418,25219,4005,350556,9088
CO,14948,428,1506,340,141,5439,202,351,1333,278,117,4831,178
CR,1425,84,244,69,49,656,33,62,204,53,40,540,28
CU,2580,47,154,54,18,907,31,42,132,48,18,801,27
CV,27,3,5,3,0,14,1,2,4,2,0,9,1
CW,8,3,6,2,0,10,0,2,3,1,0,5,0
CY,3710,94,290,86,54,1276,35,81,256,71,45,1160,32
CZ,47631,1083,3041,846,184,14575,768,964,2801,753,174,13602,728
DE,460493,22762,46407,26139,5148,203292,8774,20764,43072,24283,4806,189525,8084
DJ,28,0,2,1,0,15,4,0,2,1,0,10,4
DK,67461,4243,9691,4849,1495,36196,1384,3809,8948,4444,1408,33554,1268
DM,29,4,8,2,0,19,4,4,8,2,0,17,4
DO,119,2,14,4,4,57,2,2,12,4,4,50,2
DZ,15016,46,339,82,13,1519,47,40,306,66,13,1352,41
EC,2280,123,428,109,19,1277,59,91,332,73,15,967,44
EE,6267,267,592,153,41,2226,152,233,525,127,38,2015,137
EG,41250,456,2214,568,244,9692,253,340,1838,443,209,7914,197
ER,47,5,4,2,0,24,1,5,3,2,0,19,1
ES,262411,9105,27946,11551,2564,110109,3418,8450,26361,10876,2430,104474,3188
ET,4871,302,503,135,111,2586,63,248,415,107,89,2212,50
FI,51130,2576,6320,2854,775,24925,803,2376,5902,2656,730,23351,741
FJ,348,16,40,7,21,127,8,14,34,5,17,110,7
FK,16,2,7,0,0,15,0,2,5,0,0,10,0
FM,10,0,0,0,1,4,0,0,0,0,1,4,0
FR,296829,11303,26070,13306,3085,124545,4819,10150,23901,12179,2868,114974,4406
GA,289,20,59,23,11,242,25,12,36,15,7,156,16
GB,457773,42880,76754,39845,15546,288350,13853,39870,71543,37033,14722,270257,12943
GD,251,3,39,12,1,149,11,2,29,8,1,114,9
GE,1348,41,114,21,12,444,23,35,98,19,12,382,21
GF,257,27,31,17,3,163,7,25,27,15,3,144,6
GH,3153,117,357,110,103,1628,40,98,302,87,88,1363,35
GI,11,2,8,4,0,8,2,2,7,4,0,7,2
GL,126,23,35,27,2,97,10,12,18,14,1,60,6
GM,234,16,57,23,17,216,4,10,39,16,12,151,2
GN,94,9,24,16,11,71,4,7,16,13,9,53,3
GP,359,9,26,15,7,146,8,7,21,12,6,115,6
GQ,4,1,2,1,0,5,0,1,1,1,0,3,0
GR,45658,1001,3188,963,525,14659,530,918,2986,884,492,13867,502
GT,244,11,56,8,12,132,7,8,46,6,11,106,6
GW,70,3,19,10,4,89,6,2,11,6,3,50,3
GY,46,6,5,6,1,29,3,4,4,4,1,20,3
HN,85,1,15,3,3,37,1,1,13,2,2,29,1
HR,13547,196,642,194,63,3207,114,178,597,179,60,3033,109
HT,88,0,22,6,8,63,4,0,19,6,7,55,4
HU,26778,694,1906,646,115,9069,407,626,1755,575,109,8463,381
ID,6045,280,605,179,192,2292,75,202,444,125,144,1721,57
IE,32212,1639,4015,1583,598,17532,641,1485,3721,1451,568,16401,596
IL,61980,3161,6851,3142,579,28603,1266,2969,6493,2956,549,27296,1206
IN,343012,4047,14154,4201,1750,70227,2857,3846,13684,3999,1699,68253,2777
IQ,4061,49,157,58,12,924,20,36,114,38,10,651,16
IR,176197,1243,4918,1350,335,25176,749,1184,4753,1286,317,24287,721
IS,2952,178,425,180,72,1434,65,148,384,156,65,1245,59
IT,307129,9799,27308,10508,3477,121711,4131,9103,25855,9854,3309,115872,3888
JM,692,16,53,10,12,197,3,16,51,10,11,189,3
JO,6054,61,311,72,50,1396,39,54,286,64,47,1284,35
JP,422852,10672,29649,11430,1861,141439,3932,10110,28469,10840,1796,136420,3766
KE,4166,432,726,390,364,2860,90,326,558,285,308,2278,64
KG,219,5,7,1,1,72,2,4,6,1,1,53,2
KH,450,35,89,34,30,342,9,27,68,28,27,266,8
KI,1,0,0,0,0,0,0,0,0,0,0,0,0
KM,7,0,2,0,0,5,0,0,1,0,0,3,0
KN,133,10,21,6,4,91,0,8,17,3,3,73,0
KP,215,1,5,3,0,56,2,1,5,2,0,45,1
KR,312936,4370,14609,5844,1330,74189,2240,4153,14124,5604,1291,72025,2167
KW,2951,51,148,46,20,869,27,46,136,40,18,806,25
KY,6,0,0,1,0,2,0,0,0,1,0,1,0
KZ,2727,32,100,20,8,539,22,25,86,17,7,458,16
LA,280,23,43,9,13,198,9,19,32,6,10,144,7
LB,5055,132,485,145,82,2038,72,112,433,121,72,1797,63
LC,8,0,1,1,0,2,0,0,1,1,0,2,0
LI,151,4,6,5,0,60,3,4,5,4,0,50,3
LK,2774,127,283,109,114,1145,60,103,241,87,97,972,52
LR,34,6,10,9,5,29,3,5,8,8,5,24,3
LS,80,0,16,1,3,36,2,0,13,1,2,31,2
LT,9132,104,341,93,29,1788,62,95,322,86,28,1706,59
LU,2939,134,308,149,48,1422,47,116,265,128,39,1225,44
LV,2552,37,136,30,10,562,31,33,125,29,10,517,31
LY,525,11,77,14,3,212,10,7,57,11,2,145,8
MA,8496,83,381,112,35,1579,62,70,349,103,32,1426,58
MC,219,39,38,27,2,133,11,28,28,19,2,100,8
MD,665,11,25,6,2,147,2,9,19,5,2,112,2
ME,780,5,16,7,1,75,7,5,15,7,1,73,7
MG,417,39,83,29,9,264,26,25,62,19,8,205,19
MH,4,0,2,0,1,2,0,0,2,0,1,2,0
MK,1258,14,52,18,7,248,11,13,49,16,7,230,10
ML,287,22,52,24,18,184,12,18,39,17,16,141,8
MM,298,20,47,20,19,202,5,11,32,11,18,153,4
MN,370,12,37,13,7,151,8,11,29,11,6,115,6
MQ,1,0,0,0,0,0,0,0,0,0,0,0,0
MR,58,1,3,0,2,33,1,1,2,0,1,23,1
MS,1,0,0,0,1,0,0,0,0,0,1,0,0
MT,1022,30,103,35,6,379,14,26,93,33,6,336,14
MU,448,14,28,14,8,127,13,11,22,11,7,114,12
MV,33,6,22,3,1,25,1,4,14,2,1,18,1
MW,890,76,152,64,65,634,15,53,105,46,50,450,11
MX,61140,1314,4310,969,280,18127,678,1210,4050,877,259,17236,644
MY,49221,651,2518,722,263,10335,494,566,2259,621,230,9315,451
MZ,514,33,97,44,19,366,13,23,62,28,14,265,8
NA,273,11,47,13,6,134,2,7,37,8,5,107,2
NC,407,43,65,20,31,244,9,32,51,13,24,189,7
NE,216,3,19,9,4,77,1,3,14,8,4,64,1
NG,10828,235,675,189,129,3406,95,192,581,161,116,2923,80
NI,110,8,21,10,8,58,2,7,19,8,7,44,2
NL,161287,10153,24220,10111,6089,94543,3318,9280,22565,9309,5767,88158,3044
NO,49930,3333,7381,3743,1091,25663,868,3035,6854,3464,1002,23949,781
NP,1670,96,319,86,81,861,35,73,261,68,69,706,30
NR,1,0,0,0,0,0,0,0,0,0,0,0,0
NZ,36508,2230,4902,2233,1214,18192,998,2074,4603,2095,1162,17147,938
OM,2089,42,128,22,10,579,19,35,113,19,8,514,16
PA,754,148,239,149,18,668,53,93,158,95,14,441,31
PE,2343,143,460,126,77,1274,57,108,363,93,66,1037,43
PF,200,23,31,19,13,99,14,18,23,15,12,77,11
PG,206,18,50,20,32,162,8,12,35,12,21,109,5
PH,3121,141,444,83,81,1217,52,118,382,67,74,1038,44
PK,33111,306,1459,309,180,6533,226,264,1294,267,161,5756,201
PL,122336,1785,6551,1663,386,30664,1195,1664,6265,1529,369,29371,1132
PS,460,26,27,7,2,150,3,24,22,7,2,129,3
PT,61449,1689,7344,1620,511,22279,722,1459,6681,1405,465,20384,638
PW,19,5,7,4,4,14,0,3,5,3,3,10,0
PY,206,8,33,7,3,93,2,7,27,7,3,79,2
QA,3764,142,435,137,39,1708,40,111,344,107,32,1430,33
RE,104,11,17,13,1,78,3,7,11,9,1,52,2
RO,22035,248,987,242,79,4265,114,217,891,206,70,3889,101
RS,24289,218,788,195,67,3824,108,202,754,180,63,3661,103
RU,169344,2120,3585,2392,131,24674,1549,1869,3215,2162,119,22433,1432
RW,445,28,70,31,24,318,7,20,48,24,21,225,5
SA,34495,716,1947,829,209,9737,306,574,1585,692,170,8044,252
