country,classification,type,items,blogs,facebook,news,policies,twitter,wikipedia
AG,Biomedical and health sciences,closed,2,0,0,0,0,1,0
AI,Biomedical and health sciences,closed,5,0,0,0,0,1,0
AO,Biomedical and health sciences,closed,24,0,2,0,0,8,0
AU,Biomedical and health sciences,closed,66723,3377,11223,4782,2408,38716,1098
AW,Biomedical and health sciences,closed,1,0,0,0,0,0,0
BB,Biomedical and health sciences,closed,37,1,4,2,1,14,0
BT,Biomedical and health sciences,closed,20,1,2,1,1,8,1
BY,Biomedical and health sciences,closed,231,2,10,3,1,45,0
CA,Biomedical and health sciences,closed,73851,3596,11647,4296,1411,40689,1089
CW,Biomedical and health sciences,closed,2,0,0,0,0,2,0
CZ,Biomedical and health sciences,closed,6971,107,470,150,43,2471,85
DE,Biomedical and health sciences,closed,114056,2937,10536,4803,1459,43681,1335
DJ,Biomedical and health sciences,closed,7,0,1,0,0,4,0
ER,Biomedical and health sciences,closed,9,0,0,0,0,3,0
FR,Biomedical and health sciences,closed,66005,1530,6513,2437,764,27016,721
GB,Biomedical and health sciences,closed,77346,3952,11143,4037,2501,42728,1704
GD,Biomedical and health sciences,closed,196,1,27,6,1,83,7
IE,Biomedical and health sciences,closed,8488,289,1085,356,152,4621,101
IN,Biomedical and health sciences,closed,50104,536,3164,1013,460,14617,543
JO,Biomedical and health sciences,closed,1479,21,116,27,17,506,8
LC,Biomedical and health sciences,closed,2,0,0,0,0,0,0
LS,Biomedical and health sciences,closed,10,0,2,1,1,6,0
LY,Biomedical and health sciences,closed,125,2,20,6,1,51,3
MH,Biomedical and health sciences,closed,1,0,1,0,1,1,0
MW,Biomedical and health sciences,closed,164,3,13,3,5,63,1
MY,Biomedical and health sciences,closed,5912,83,403,128,44,1779,72
NG,Biomedical and health sciences,closed,2615,39,144,49,32,761,21
OM,Biomedical and health sciences,closed,415,8,24,4,1,139,4
PE,Biomedical and health sciences,closed,377,6,44,9,7,164,7
PH,Biomedical and health sciences,closed,499,9,52,14,9,186,4
RU,Biomedical and health sciences,closed,14529,141,331,272,26,2578,117
SK,Biomedical and health sciences,closed,2051,33,103,48,3,607,13
SN,Biomedical and health sciences,closed,208,1,10,3,3,54,1
SS,Biomedical and health sciences,closed,2,0,0,0,0,2,0
SX,Biomedical and health sciences,closed,2,0,1,1,0,1,0
TD,Biomedical and health sciences,closed,6,0,0,0,0,1,0
TL,Biomedical and health sciences,closed,3,1,0,0,0,1,0
BA,Biomedical and health sciences,closed,218,6,15,5,3,64,2
BG,Biomedical and health sciences,closed,1134,9,64,21,6,299,11
BM,Biomedical and health sciences,closed,6,1,2,1,0,3,0
CM,Biomedical and health sciences,closed,448,6,20,3,5,106,3
CV,Biomedical and health sciences,closed,2,1,1,1,0,2,0
CY,Biomedical and health sciences,closed,706,17,66,15,6,276,7
DO,Biomedical and health sciences,closed,31,1,6,1,3,16,1
EE,Biomedical and health sciences,closed,884,23,95,17,7,355,9
ES,Biomedical and health sciences,closed,52670,1165,6738,2227,620,24478,433
FI,Biomedical and health sciences,closed,11286,373,1409,607,176,5651,103
FM,Biomedical and health sciences,closed,1,0,0,0,0,1,0
GE,Biomedical and health sciences,closed,153,3,13,1,3,51,1
GM,Biomedical and health sciences,closed,39,1,5,1,1,18,1
HT,Biomedical and health sciences,closed,17,0,3,1,1,6,0
JP,Biomedical and health sciences,closed,100731,1351,7581,2441,633,35795,710
KG,Biomedical and health sciences,closed,26,0,2,0,0,9,0
KW,Biomedical and health sciences,closed,626,12,46,11,5,236,8
LA,Biomedical and health sciences,closed,36,0,3,1,0,16,1
LU,Biomedical and health sciences,closed,385,17,60,20,4,188,5
MC,Biomedical and health sciences,closed,67,1,9,6,1,22,0
MD,Biomedical and health sciences,closed,30,0,4,0,0,13,1
ML,Biomedical and health sciences,closed,57,1,4,2,2,18,1
MN,Biomedical and health sciences,closed,69,2,6,2,1,24,1
MV,Biomedical and health sciences,closed,3,0,2,0,0,3,0
NC,Biomedical and health sciences,closed,28,1,3,0,0,7,0
PL,Biomedical and health sciences,closed,19223,246,1153,354,105,5949,141
QA,Biomedical and health sciences,closed,788,30,124,31,11,443,10
RS,Biomedical and health sciences,closed,4195,47,256,70,18,1180,21
SA,Biomedical and health sciences,closed,5842,94,465,107,59,2168,53
TO,Biomedical and health sciences,closed,1,0,0,0,0,0,0
TZ,Biomedical and health sciences,closed,274,11,25,7,12,118,3
UA,Biomedical and health sciences,closed,1176,9,85,11,3,300,12
UG,Biomedical and health sciences,closed,306,12,33,11,12,155,3
VN,Biomedical and health sciences,closed,1077,16,72,22,15,335,8
ZM,Biomedical and health sciences,closed,107,4,10,3,5,52,1
AN,Life and earth sciences,closed,7,0,1,1,0,5,0
AR,Life and earth sciences,closed,11270,243,895,145,62,3508,536
AT,Biomedical and health sciences,closed,12090,331,1234,551,184,5009,154
BI,Biomedical and health sciences,closed,11,0,1,0,0,3,0
BO,Biomedical and health sciences,closed,45,0,3,2,1,14,0
BR,Biomedical and health sciences,closed,46113,835,5003,1109,306,17305,305
BW,Biomedical and health sciences,closed,109,5,17,4,4,48,0
CN,Biomedical and health sciences,closed,218333,2749,10757,4863,1153,71111,1291
EG,Biomedical and health sciences,closed,11138,111,835,192,115,3509,59
GA,Biomedical and health sciences,closed,64,1,1,3,1,29,3
GR,Biomedical and health sciences,closed,12884,239,1129,330,179,4907,150
GW,Biomedical and health sciences,closed,23,1,3,2,1,15,1
IQ,Biomedical and health sciences,closed,474,4,30,11,4,138,4
IS,Biomedical and health sciences,closed,634,36,91,41,17,306,9
KE,Biomedical and health sciences,closed,441,18,43,17,20,206,5
