country,type,items,blogs,facebook,news,policies,twitter,wikipedia
AD,open,9,0,3,1,0,5,0
AD,closed,13,0,0,0,0,4,0
AE,open,1752,86,154,74,13,772,22
AE,closed,4953,65,216,79,30,1125,45
AF,open,55,1,5,5,1,28,1
AF,closed,60,1,5,2,3,25,0
AG,open,4,0,1,0,1,3,0
AG,closed,2,0,0,0,0,1,0
AI,open,3,0,0,0,0,2,0
AI,closed,5,0,0,0,0,1,0
AL,open,151,2,7,1,1,33,0
AL,closed,223,8,6,4,2,54,1
AM,open,1156,116,249,113,5,965,22
AM,closed,1702,6,25,7,1,132,6
AN,open,8,1,4,0,0,5,0
AN,closed,20,2,4,2,0,14,1
AO,open,63,2,10,5,2,34,0
AO,closed,45,1,4,1,0,14,2
AR,open,13645,576,1528,337,91,5768,328
AR,closed,27655,402,1724,324,131,7495,618
AT,open,24597,1795,3299,2304,277,13419,683
AT,closed,28514,808,2011,1012,360,8699,356
AU,open,89276,8942,17818,10125,3872,57055,2836
AU,closed,167453,7623,20438,9422,6009,74951,2854
AW,open,1,0,0,0,0,0,0
AW,closed,4,0,0,0,0,1,0
AZ,open,248,1,16,2,0,60,2
AZ,closed,1462,3,15,3,2,66,6
BA,open,614,3,19,5,3,100,2
BA,closed,644,9,25,8,5,116,4
BB,open,71,2,12,5,4,43,0
BB,closed,152,5,9,6,9,45,0
BD,open,2375,72,240,84,85,1085,46
BD,closed,3910,47,204,52,61,754,26
BE,open,31361,1912,4328,1805,619,18939,821
BE,closed,48582,1320,3846,1286,716,18233,657
BF,open,401,24,49,19,24,223,4
BF,closed,445,6,16,3,7,95,2
BG,open,1962,58,111,31,7,591,29
BG,closed,4410,25,132,41,17,666,28
BH,open,154,7,19,5,3,64,8
BH,closed,299,3,15,4,4,70,4
BI,open,23,4,4,1,2,13,1
BI,closed,35,0,3,0,0,9,0
BJ,open,341,12,38,11,8,180,4
BJ,closed,465,10,32,3,7,107,9
BM,open,25,11,5,4,0,10,2
BM,closed,26,2,4,1,1,14,0
BN,open,111,4,9,4,1,37,2
BN,closed,292,6,13,1,2,68,5
BO,open,156,12,29,9,6,76,9
BO,closed,215,6,17,4,4,68,2
BQ,closed,1,0,1,0,0,1,0
BR,open,109066,2664,10971,2312,518,32686,1195
BR,closed,126901,1970,9349,2004,633,33748,1052
BS,open,22,3,8,3,0,15,1
BS,closed,49,2,15,1,1,22,2
BT,open,68,5,12,5,7,44,3
BT,closed,59,2,9,1,3,18,1
BW,open,282,14,51,18,7,146,3
BW,closed,453,12,48,7,9,141,0
BY,open,501,10,32,9,2,166,6
BY,closed,3008,4,31,13,2,157,7
BZ,open,9,1,5,2,0,8,0
BZ,closed,13,1,4,0,0,6,1
CA,open,97212,8410,17617,8644,2074,59800,2805
CA,closed,188563,7446,20171,7600,2782,77035,2547
CD,open,229,16,52,8,12,137,4
CD,closed,287,8,36,6,8,122,6
CF,open,41,3,8,3,1,30,1
CF,closed,21,0,2,0,0,4,0
CG,open,81,5,10,2,6,51,0
CG,closed,86,5,5,2,1,23,1
CH,open,50595,4223,7655,4391,1050,30348,1428
CH,closed,51076,2242,4705,2400,783,20079,815
CI,open,302,15,31,10,9,161,3
CI,closed,450,6,16,4,4,87,3
CK,open,0,0,0,0,0,0,0
CK,closed,3,0,0,0,0,1,0
CL,open,15092,685,1428,455,70,6086,291
CL,closed,13940,292,836,236,119,4105,171
CM,open,1154,41,136,31,20,545,9
CM,closed,1919,26,55,6,21,329,5
CN,open,472189,10657,26133,12139,1607,162327,4524
CN,closed,1201771,10393,26169,13011,2390,187393,4542
CO,open,6150,216,780,163,55,2421,77
CO,closed,8590,133,548,113,62,2384,100
CR,open,577,36,102,30,15,248,16
CR,closed,840,26,102,23,25,291,13
CU,open,855,20,61,26,6,312,13
CU,closed,1693,22,70,22,12,486,14
CV,open,14,1,1,0,0,5,0
CV,closed,14,1,3,2,0,5,1
CW,open,2,1,2,1,0,2,0
CW,closed,6,1,1,0,0,3,0
CY,open,1122,47,115,40,16,535,14
CY,closed,2560,34,142,31,30,624,18
CZ,open,16849,544,1310,401,68,6370,362
CZ,closed,30243,419,1486,352,104,7203,363
DE,open,173457,12670,22500,13904,2090,100483,4546
DE,closed,283345,8079,20516,10356,2709,88784,3524
DJ,open,8,0,0,1,0,4,0
DJ,closed,20,0,2,0,0,7,4
DK,open,30085,2308,4827,2649,696,17350,760
DK,closed,37117,1497,4106,1790,712,16159,507
DM,open,14,1,4,2,0,9,2
DM,closed,15,3,4,0,0,9,2
DO,open,46,0,3,2,1,21,1
DO,closed,72,2,9,2,3,28,1
DZ,open,2653,19,95,39,4,488,22
DZ,closed,12063,20,209,27,9,858,19
EC,open,914,56,159,48,6,442,23
EC,closed,1329,35,172,25,10,521,21
EE,open,2122,137,252,73,18,930,64
EE,closed,4105,96,272,54,20,1080,73
EG,open,8579,156,585,158,55,2526,62
EG,closed,32069,185,1246,285,153,5355,134
ER,open,21,5,2,1,0,12,1
ER,closed,26,0,2,1,0,7,0
ES,open,110499,5284,14466,6412,1008,53845,1878
ES,closed,148271,3148,11743,4424,1421,49975,1298
ET,open,2924,192,333,72,47,1677,26
ET,closed,1929,56,80,35,41,533,24
FI,open,19844,1471,3157,1574,309,11713,433
FI,closed,30972,903,2735,1080,421,11603,307
FJ,open,88,3,9,3,6,34,1
FJ,closed,259,12,25,2,11,76,7
FK,open,2,0,0,0,0,1,0
FK,closed,14,2,5,0,0,10,0
FM,open,1,0,0,0,0,0,0
FM,closed,9,0,0,0,1,4,0
FR,open,120283,6604,13146,7894,1386,62421,2642
FR,closed,173250,3537,10705,4252,1476,52214,1760
GA,open,157,10,30,12,5,105,9
GA,closed,130,2,6,2,2,50,7
GB,open,275947,30614,52209,29055,9379,187391,9005
GB,closed,180038,9215,19245,7938,5334,82500,3923
GD,open,49,0,6,3,0,28,2
GD,closed,203,2,24,5,1,86,8
GE,open,486,27,67,13,8,253,12
GE,closed,840,8,30,6,4,125,9
GF,open,156,18,22,12,3,105,3
GF,closed,100,7,5,4,0,39,3
GH,open,1485,73,210,63,62,884,21
GH,closed,1658,26,92,25,26,479,14
GI,open,3,1,3,2,0,3,0
GI,closed,8,1,4,2,0,4,2
GL,open,71,9,12,9,1,38,3
GL,closed,55,3,6,5,0,22,3
GM,open,184,9,31,15,11,130,2
GM,closed,51,1,7,1,1,21,1
GN,open,47,5,14,9,8,39,3
GN,closed,45,2,2,4,1,14,0
GP,open,129,5,16,11,4,69,3
GP,closed,217,3,6,2,2,45,3
GQ,open,2,1,1,1,0,2,0
GQ,closed,2,0,0,0,0,1,0
GR,open,11631,448,1159,391,156,5233,212
GR,closed,33493,468,1815,490,336,8571,290
GT,open,129,4,30,6,8,66,5
GT,closed,112,4,16,0,3,41,1
GW,open,46,0,8,4,2,37,2
GW,closed,24,2,3,2,1,14,1
GY,open,16,1,1,2,0,8,1
GY,closed,30,3,3,2,1,13,2
HN,open,48,0,8,2,2,19,1
HN,closed,36,1,5,0,1,10,0
HR,open,5673,106,283,90,20,1376,48
HR,closed,7592,72,312,89,41,1635,61
HT,open,58,0,14,5,5,45,4
HT,closed,29,0,5,1,2,10,0
HU,open,13303,437,1145,394,46,5337,227
HU,closed,13206,187,609,182,64,3108,153
ID,open,2215,127,231,77,87,873,25
ID,closed,3692,74,212,47,58,845,32
IE,open,13429,894,1929,868,276,7970,363
IE,closed,18636,590,1788,581,291,8405,231
IL,open,20120,1547,2745,1448,167,12000,572
IL,closed,41429,1418,3740,1503,382,15251,633
IN,open,66342,1896,5477,1743,731,25391,1192
IN,closed,273379,1944,8098,2235,952,42543,1577
IQ,open,1207,22,53,23,6,308,7
IQ,closed,2810,14,61,15,5,339,10
IR,open,29374,486,1517,388,111,7421,194
IR,closed,143941,692,3208,884,207,16691,525
IS,open,1124,83,195,91,27,621,25
IS,closed,1804,66,188,65,39,621,34
IT,open,110354,5502,13052,5476,1404,57242,2002
IT,closed,191541,3560,12670,4331,1901,58009,1854
JM,open,224,1,25,5,4,77,0
JM,closed,441,15,26,5,7,113,3
JO,open,1420,17,81,21,18,373,10
JO,closed,4498,36,204,42,29,907,26
JP,open,165386,6110,15417,6234,825,70489,2109
JP,closed,255211,3996,13016,4588,970,65726,1654
KE,open,2398,232,404,229,224,1598,44
