country,type,items,blogs,facebook,news,policies,twitter,wikipedia
AW,closed,4,0,0,0,0,1,0
BE,closed,48582,1320,3846,1286,716,18233,657
BH,closed,299,3,15,4,4,70,4
CG,closed,85,5,5,2,1,23,1
CN,closed,1201771,10393,26169,13011,2390,187393,4542
DO,closed,72,2,9,2,3,28,1
DZ,closed,12063,20,209,27,9,858,19
GQ,closed,2,0,0,0,0,1,0
GW,closed,24,2,3,2,1,14,1
HT,closed,29,0,5,1,2,10,0
HU,closed,13206,187,609,182,64,3108,153
KM,closed,4,0,1,0,0,2,0
KR,closed,213891,2131,7628,2889,830,39436,980
LC,closed,5,0,1,0,0,2,0
MG,closed,224,10,24,6,3,73,8
MK,closed,689,7,26,7,4,111,4
NI,closed,54,2,6,2,0,12,2
NP,closed,687,21,86,14,20,251,9
QA,closed,2485,45,152,37,16,739,16
RW,closed,203,7,15,8,9,83,3
SK,closed,7756,94,225,86,11,1442,54
SM,closed,25,1,1,0,0,6,0
SN,closed,612,11,27,7,16,149,2
SV,closed,33,4,4,4,1,17,2
TG,closed,125,1,6,0,3,23,2
TZ,closed,862,25,81,13,24,306,4
AL,closed,223,8,6,4,2,54,1
BZ,closed,13,1,4,0,0,6,1
CR,closed,840,26,102,23,25,291,13
EE,closed,4105,96,272,54,20,1080,73
ES,closed,148271,3148,11743,4424,1421,49975,1298
FI,closed,30972,903,2735,1080,421,11603,307
GB,closed,180038,9215,19245,7938,5334,82500,3923
GD,closed,203,2,24,5,1,86,8
GP,closed,217,3,6,2,2,45,3
IL,closed,41429,1418,3740,1503,382,15251,633
JM,closed,441,15,26,5,7,113,3
KE,closed,1743,93,153,55,83,677,20
KG,closed,133,3,4,0,0,21,1
KI,closed,1,0,0,0,0,0,0
LA,closed,133,8,9,2,2,45,2
LV,closed,1858,15,78,16,6,314,24
MD,closed,534,3,11,1,0,58,1
MW,closed,311,10,21,8,12,107,1
NA,closed,154,5,20,4,3,55,2
PF,closed,101,5,8,5,3,25,3
PW,closed,13,2,3,2,3,6,0
PY,closed,127,3,16,4,2,54,1
SD,closed,569,5,23,4,6,98,4
TR,closed,93801,621,3849,667,434,18257,310
TT,closed,470,8,27,8,4,123,1
VC,closed,6,0,0,0,0,3,0
WS,closed,14,1,3,0,2,6,0
AD,closed,13,0,0,0,0,4,0
AF,closed,60,1,5,2,3,25,0
AG,closed,2,0,0,0,0,1,0
AM,closed,1702,6,25,7,1,132,6
AN,closed,20,2,4,2,0,14,1
AR,closed,27655,402,1724,324,131,7495,618
BN,closed,292,6,13,1,2,68,5
CD,closed,287,8,36,6,8,122,6
CI,closed,450,6,16,4,4,87,3
CO,closed,8590,133,548,113,62,2384,100
CU,closed,1693,22,70,22,12,486,14
DM,closed,15,3,4,0,0,9,2
EG,closed,32069,185,1246,285,153,5355,134
FJ,closed,259,12,25,2,11,76,7
GY,closed,30,3,3,2,1,13,2
HR,closed,7592,72,312,89,41,1635,61
IN,closed,273379,1944,8098,2235,952,42543,1577
IR,closed,143941,692,3208,884,207,16691,525
IS,closed,1804,66,188,65,39,621,34
JP,closed,255211,3996,13016,4588,970,65726,1654
KZ,closed,1948,11,39,7,5,178,6
LY,closed,317,5,29,9,1,74,5
MM,closed,129,5,9,6,4,46,3
MR,closed,36,1,1,0,0,10,0
MX,closed,38787,513,1970,401,152,9016,334
PH,closed,2183,58,236,30,38,615,22
PL,closed,66273,624,2543,668,195,13153,498
PT,closed,37418,598,3490,625,294,10310,267
SC,closed,28,3,9,2,8,15,0
SE,closed,53094,1956,4883,2167,925,20440,750
SI,closed,9141,89,364,89,65,1911,86
SR,closed,39,2,4,3,0,14,0
TC,closed,2,0,1,0,0,2,0
TH,closed,23074,238,1188,265,185,4633,208
TJ,closed,139,2,1,1,0,9,1
VA,closed,9,0,1,0,0,4,1
VU,closed,33,6,3,1,2,7,2
YE,closed,354,9,21,1,2,71,2
AO,closed,45,1,4,1,0,14,2
AT,closed,28514,808,2011,1012,360,8699,356
BI,closed,35,0,3,0,0,9,0
BJ,closed,465,10,32,3,7,108,9
BR,closed,126901,1970,9349,2004,633,33748,1052
CF,closed,21,0,2,0,0,4,0
CL,closed,13940,292,836,236,119,4105,171
CM,closed,1919,26,55,6,21,329,5
CY,closed,2561,34,142,31,30,624,18
ER,closed,26,0,2,1,0,7,0
FK,closed,14,2,5,0,0,10,0
GA,closed,130,2,6,2,2,50,7
GE,closed,840,8,30,6,4,125,9
GT,closed,112,4,16,0,3,41,1
IE,closed,18636,590,1788,581,291,8405,231
KN,closed,89,3,9,1,0,49,0
LS,closed,40,0,8,1,1,13,0
MZ,closed,184,7,17,3,6,61,3
NC,closed,203,7,18,2,9,68,4
NE,closed,117,1,5,1,2,21,0
NL,closed,81526,3377,9494,3512,2942,38369,1175
NO,closed,26084,1038,2714,1299,479,10050,309
NR,closed,1,0,0,0,0,0,0
PA,closed,374,28,52,33,6,169,11
PG,closed,103,2,13,3,9,42,3
RE,closed,51,4,4,2,1,14,0
RO,closed,14126,103,438,86,48,1919,53
SB,closed,11,0,2,0,0,3,0
SL,closed,35,0,5,2,1,10,1
TL,closed,11,2,1,0,1,2,0
TM,closed,18,0,0,0,0,0,0
UA,closed,14541,45,268,44,6,1191,97
UZ,closed,892,1,13,0,6,66,2
VN,closed,7542,87,241,45,33,1013,39
ZA,closed,27961,1462,2233,628,300,9158,400
ZM,closed,256,9,22,7,12,105,1
BA,closed,644,9,25,8,5,116,4
BB,closed,152,5,9,6,9,45,0
BF,closed,445,6,16,3,7,95,2
BG,closed,4410,25,132,41,17,666,28
BM,closed,26,2,4,1,1,14,0
BY,closed,3008,4,31,13,2,157,7
CH,closed,51076,2242,4705,2400,783,20079,815
CW,closed,6,1,1,0,0,3,0
DJ,closed,20,0,2,0,0,7,4
EC,closed,1329,35,172,25,10,521,21
FR,closed,173250,3537,10705,4252,1476,52214,1760
GF,closed,100,7,5,4,0,39,3
GH,closed,1658,26,92,25,26,479,14
GL,closed,55,3,6,5,0,22,3
GM,closed,51,1,7,1,1,21,1
GN,closed,45,2,2,4,1,14,0
GR,closed,33493,468,1815,490,336,8571,290
HN,closed,36,1,5,0,1,10,0
ID,closed,3692,74,212,47,58,845,32
IT,closed,191541,3560,12670,4331,1901,58009,1854
JO,closed,4498,36,204,42,29,907,26
LB,closed,3516,47,224,44,38,1062,34
LK,closed,1485,42,92,26,34,400,26
MH,closed,3,0,1,0,1,1,0
ML,closed,128,4,9,3,5,38,3
MN,closed,234,5,15,3,3,51,4
MT,closed,730,15,58,18,3,207,10
MU,closed,354,8,15,7,7,79,7
MY,closed,31097,226,1073,257,124,4492,224
NG,closed,6992,99,277,83,63,1585,33
NZ,closed,26280,1140,2692,1101,777,11013,558
PE,closed,1179,36,112,25,25,414,25
PS,closed,267,6,9,1,0,52,0
SO,closed,10,0,1,0,0,6,0
SS,closed,7,0,0,0,0,3,0
ST,closed,3,1,1,1,0,1,0
TD,closed,17,0,0,0,0,2,0
TO,closed,4,0,0,0,2,1,0
TW,closed,96665,912,4090,1084,421,18396,368
US,closed,1067535,57474,127736,63308,18594,463866,18181
VE,closed,1670,18,76,16,5,420,31
ZW,closed,760,28,55,16,22,239,7
AE,closed,4953,65,216,79,30,1125,45
AI,closed,5,0,0,0,0,1,0
