journal,items,total,blogs,facebook,news,policies,twitter,wikipedia
PEDIATRIC BLOOD & CANCER,2828,1942,47,251,110,47,1860,31
FEMS YEAST RESEARCH,697,479,14,79,13,0,463,15
PEPTIDES,1452,393,16,48,13,1,353,15
MATHEMATICAL PROGRAMMING,805,160,7,9,2,0,151,8
REQUIREMENTS ENGINEERING,144,71,0,4,1,0,68,2
DISEASES OF AQUATIC ORGANISMS,889,344,10,36,13,8,311,14
JOURNAL OF CLINICAL PSYCHIATRY,1183,1006,161,635,244,51,962,51
REVUE D HISTOIRE LITTERAIRE DE LA FRANCE,251,1,0,0,0,0,0,1
EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,146,117,0,117,0,0,8,0
LINEAR ALGEBRA AND ITS APPLICATIONS,3461,335,5,16,3,0,301,27
ASIA-PACIFIC JOURNAL OF PUBLIC HEALTH,816,299,8,40,12,34,259,8
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,13323,4679,154,406,177,20,4339,139
CURRENT OPINION IN PLANT BIOLOGY,806,576,61,178,18,2,538,23
MEDITERRANEA-RICERCHE STORICHE,57,0,0,0,0,0,0,0
PHYSIOTHERAPY CANADA,293,143,3,38,5,3,127,2
SCIENCE-FICTION STUDIES,19,5,0,0,0,0,4,1
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,1455,64,6,7,8,1,44,2
JOURNAL OF CLINICAL HYPERTENSION,965,455,20,95,44,28,415,3
NOTARZT,184,5,0,2,1,0,3,0
ENERGY RESEARCH & SOCIAL SCIENCE,345,308,14,17,13,16,305,1
ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY,552,42,0,6,1,3,36,10
NINETEENTH-CENTURY MUSIC REVIEW,83,9,0,1,0,0,8,0
NPJ MICROGRAVITY,25,25,7,9,8,0,25,1
GENES & GENOMICS,741,244,1,5,1,0,239,3
JOURNAL OF DIGITAL IMAGING,648,277,10,44,22,8,263,11
CANADIAN JOURNAL OF ANIMAL SCIENCE,491,59,0,33,5,0,25,0
PSYCHIATRIA DANUBINA,118,26,0,2,0,0,25,1
STOCHASTIC PROCESSES AND THEIR APPLICATIONS,1090,137,0,3,1,1,130,3
PHARMACEUTICAL CHEMISTRY JOURNAL,1187,22,5,4,1,1,10,4
FRONTIERS OF PHYSICS,588,176,8,20,2,0,168,5
GAYANA BOTANICA,131,4,0,0,0,0,2,2
TRANS-FORM-ACAO,316,16,2,4,0,0,14,0
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY,191,33,1,3,3,0,27,1
REVIEW OF WORLD ECONOMICS,210,54,2,8,3,11,38,1
JOURNAL OF PERSONALITY,418,324,73,91,74,4,299,16
JAPANESE PSYCHOLOGICAL RESEARCH,229,108,5,9,5,0,96,3
SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,615,13,0,3,0,0,8,2
JOURNAL OF SOCIAL POLICY,256,183,33,17,24,19,171,3
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,1399,20,0,2,1,1,17,0
JOURNAL OF MORAL EDUCATION,211,118,3,100,4,0,65,1
AQUACULTURE NUTRITION,790,189,10,13,1,2,175,0
ACM TRANSACTIONS ON PRIVACY AND SECURITY,48,13,0,0,0,0,11,2
