journal,type,items,blogs,facebook,news,policies,twitter,wikipedia
JOURNAL OF NANOPARTICLE RESEARCH,open,328,6,13,7,9,71,6
CURRENT DRUG METABOLISM,closed,503,3,7,7,1,53,5
TELEMEDICINE AND E-HEALTH,open,268,15,32,21,11,217,6
CLINICAL SOCIAL WORK JOURNAL,closed,261,1,111,2,3,253,6
ASTROPHYSICAL JOURNAL,closed,508,26,18,19,0,248,8
COMPUTER SPEECH AND LANGUAGE,open,116,0,7,2,0,38,0
ANNUAL REPORTS ON NMR SPECTROSCOPY,closed,91,0,1,0,0,25,0
MEDECINE NUCLEAIRE-IMAGERIE FONCTIONNELLE ET METABOLIQUE,open,2,0,1,0,0,1,0
POLITICAL SCIENCE RESEARCH AND METHODS,closed,24,6,11,6,0,20,3
FOODS,open,53,0,0,2,0,31,0
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,closed,1390,3,28,4,1,170,3
AFRICAN ZOOLOGY,open,30,1,3,1,0,13,0
COLLEGE & RESEARCH LIBRARIES,open,295,57,145,4,24,220,4
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,closed,20,0,0,0,0,0,0
JOURNAL OF ETHNIC AND MIGRATION STUDIES,open,188,20,83,14,11,140,3
BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE,open,72,0,0,0,0,4,0
SOFT COMPUTING,closed,2021,1,6,3,0,56,4
ANNALS OF SURGICAL ONCOLOGY,closed,3490,28,150,101,86,1422,21
INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,closed,445,8,53,28,0,196,3
APPLIED SPECTROSCOPY REVIEWS,open,14,1,2,1,0,4,0
CHEMICAL SCIENCE,open,4169,534,306,247,1,1816,77
POLICY AND POLITICS,open,79,65,36,3,8,73,0
ECONOMICS AND PHILOSOPHY,closed,75,3,2,1,0,14,1
HERZOGIA,closed,191,1,0,0,0,17,0
INFORMATION & MANAGEMENT,open,55,1,4,0,1,19,0
DIALECTOLOGIA ET GEOLINGUISTICA,closed,37,0,0,0,0,1,1
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,open,451,0,5,0,1,55,2
THEORETICAL AND MATHEMATICAL PHYSICS,closed,629,0,4,0,0,8,1
JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,closed,2570,28,168,39,11,643,21
EXPERT REVIEW OF ANTICANCER THERAPY,closed,779,7,17,9,15,287,9
JOURNAL OF KOREAN MEDICAL SCIENCE,open,2050,22,81,25,25,502,10
INTERNATIONAL JOURNAL OF EARTH SCIENCES,closed,768,4,13,3,0,54,14
FRENCH FORUM,open,1,0,0,0,0,0,0
NPJ BIOFILMS AND MICROBIOMES,open,99,47,39,23,1,99,6
PROGRESS IN EARTH AND PLANETARY SCIENCE,open,95,5,95,2,0,94,1
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,closed,124,0,1,0,0,4,0
ACTA CHIROPTEROLOGICA,closed,257,8,28,6,1,118,20
HUMAN GENE THERAPY METHODS,open,134,3,3,8,0,52,1
LEONARDO MUSIC JOURNAL,closed,132,1,3,0,0,27,0
HIGH TEMPERATURE,open,4,0,0,0,0,2,0
GEDRAG & ORGANISATIE,closed,2,0,0,0,0,0,0
MICHIGAN HISTORICAL REVIEW,closed,14,0,2,0,0,1,2
INFORMATION-WISSENSCHAFT UND PRAXIS,closed,1,0,0,0,0,0,0
OCCUPATIONAL MEDICINE-OXFORD,closed,99,1,8,3,1,82,0
JOURNAL OF SPORT & SOCIAL ISSUES,closed,145,9,20,11,2,124,2
INTERNATIONAL JOURNAL OF DIABETES IN DEVELOPING COUNTRIES,closed,475,2,8,4,1,38,2
TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,open,39,0,0,0,0,1,0
JOURNAL OF OROFACIAL ORTHOPEDICS-FORTSCHRITTE DER KIEFERORTHOPADIE,closed,262,0,8,0,0,20,2
AMERICAN JOURNAL OF MEDICINE,open,301,47,102,68,22,259,16
HISTORY OF POLITICAL ECONOMY,closed,203,10,1,0,0,72,4
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,open,181,13,38,23,8,102,7
JOURNAL OF SOCIOLOGY,open,28,1,3,3,2,23,0
AMERICAN NATURALIST,open,376,60,158,62,1,342,22
JOURNAL OF BALTIC STUDIES,open,3,0,0,0,0,2,0
CZECH JOURNAL OF ANIMAL SCIENCE,closed,18,0,0,0,0,0,0
AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS,open,13,0,1,1,1,11,0
HELIOS,open,2,0,0,0,0,0,0
TEMPO,closed,109,0,5,0,0,22,2
IEEE ACCESS,closed,149,0,1,0,0,3,0
WRITTEN COMMUNICATION,open,17,0,0,0,0,13,0
GROUND WATER MONITORING AND REMEDIATION,open,26,0,4,0,2,6,0
SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING,open,310,0,0,0,1,8,1
JOURNAL OF PHILOSOPHY,open,35,1,1,0,0,1,0
COMPUTER ANIMATION AND VIRTUAL WORLDS,closed,298,2,0,2,1,13,1
CANCER CYTOPATHOLOGY,closed,202,0,89,1,2,188,1
ZOOTAXA,open,1228,170,137,50,9,497,177
SCANDINAVIAN JOURNAL OF FOREST RESEARCH,open,56,0,3,0,0,15,0
TRANSPLANT IMMUNOLOGY,closed,365,2,5,1,0,117,1
PSYCHOPHYSIOLOGY,closed,769,22,44,31,3,438,6
CNS SPECTRUMS,open,98,6,45,10,3,80,7
SOCIAL WORK,open,9,0,2,1,0,4,0
ENVIRONMENTAL CHEMISTRY,closed,313,4,9,5,4,37,0
EATING BEHAVIORS,closed,561,35,100,51,5,319,6
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,closed,200,0,0,0,0,6,1
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,closed,994,148,116,42,28,350,4
JOURNAL OF DRUG TARGETING,closed,553,7,11,7,0,131,5
EARTH SURFACE DYNAMICS,open,241,3,1,4,2,41,4
ASSEMBLY AUTOMATION,closed,282,0,0,1,0,2,0
INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,closed,815,1,1,1,0,22,2
INTERNATIONAL JOURNAL OF NURSING KNOWLEDGE,closed,165,0,20,0,0,64,0
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,open,84,0,3,0,1,11,1
