journal,type,items,blogs,facebook,news,policies,twitter,wikipedia
AJIDD-AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES,closed,177,6,16,5,7,96,0
INDUSTRIAL AND CORPORATE CHANGE,closed,215,4,15,2,10,115,2
CANADIAN JOURNAL OF LINGUISTICS-REVUE CANADIENNE DE LINGUISTIQUE,closed,60,0,0,0,0,8,0
NATURE REVIEWS CLINICAL ONCOLOGY,closed,266,24,170,109,17,250,12
TISSUE ENGINEERING AND REGENERATIVE MEDICINE,closed,446,0,2,0,0,19,2
JOURNAL OF MOLECULAR MODELING,closed,2535,7,16,8,3,187,10
REVIEW OF KEYNESIAN ECONOMICS,closed,85,6,4,1,1,15,0
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,closed,350,0,0,0,0,5,0
CIRCULATION-CARDIOVASCULAR QUALITY AND OUTCOMES,closed,89,6,13,23,3,71,0
JAPANESE JOURNAL OF OPHTHALMOLOGY,closed,496,1,27,1,8,121,0
HEART & LUNG,closed,478,7,28,5,8,228,4
MACROMOLECULAR MATERIALS AND ENGINEERING,closed,906,7,67,29,0,455,2
JOURNAL OF BONE AND MINERAL RESEARCH,closed,401,18,216,51,8,341,9
VEHICULAR COMMUNICATIONS,closed,98,1,1,2,0,4,0
DALTON TRANSACTIONS,closed,10603,38,192,90,2,9935,36
RESEARCH ON AGING,closed,193,6,18,10,8,133,1
CHROMOSOMA,closed,190,0,14,1,0,118,3
PROGRESS IN COMMUNITY HEALTH PARTNERSHIPS-RESEARCH EDUCATION AND ACTION,closed,161,0,4,1,6,80,1
ROSSIISKAYA ARKHEOLOGIYA,closed,22,0,0,0,0,0,0
FEMALE PELVIC MEDICINE AND RECONSTRUCTIVE SURGERY,closed,468,4,73,9,14,436,4
JOURNAL OF VETERINARY MEDICAL EDUCATION,closed,343,2,24,7,0,109,2
PHILOSOPHY OF THE SOCIAL SCIENCES,closed,168,6,11,1,0,70,2
DIABETES RESEARCH AND CLINICAL PRACTICE,closed,1804,30,145,61,37,704,11
LITERATURE AND MEDICINE,closed,80,0,1,1,0,22,0
INNOVATION-MANAGEMENT POLICY & PRACTICE,closed,18,0,0,0,0,3,0
TRANSLATIONAL CANCER RESEARCH,closed,532,1,0,2,0,2,0
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,closed,370,6,37,11,1,260,0
ACTA BOTANICA MEXICANA,closed,3,0,0,0,0,0,0
JOURNAL OF PALAEOGEOGRAPHY-ENGLISH,closed,1,1,0,0,0,1,0
SPANISH IN CONTEXT,closed,104,0,0,0,0,1,1
RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS,closed,276,0,0,0,0,4,2
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,closed,920,0,7,1,0,22,2
NOTES AND RECORDS OF THE ROYAL SOCIETY,closed,5,1,0,0,0,4,0
JOURNAL OF FOOD BIOCHEMISTRY,closed,759,3,20,7,0,45,7
INTERNATIONAL JOURNAL OF PLANT SCIENCES,closed,439,5,20,4,0,102,68
JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,closed,62,2,16,1,1,52,1
MELANOMA RESEARCH,closed,488,8,14,6,10,280,3
HEALTH CARE MANAGEMENT REVIEW,closed,199,5,143,7,9,192,0
JOURNAL OF PLANT REGISTRATIONS,closed,427,2,2,7,0,159,0
EUROPEAN JOURNAL OF FOREST RESEARCH,closed,503,2,20,4,2,67,2
JOURNAL OF EXPERIMENTAL BOTANY,closed,177,16,41,5,1,162,4
ANTHROPOLOGY SOUTHERN AFRICA,closed,98,2,17,2,1,37,0
RADIOCARBON,closed,521,8,21,8,1,56,10
OBESITY RESEARCH & CLINICAL PRACTICE,closed,450,17,41,20,4,183,6
MICROBIOLOGY,closed,679,30,4,1,0,28,17
CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,closed,797,10,39,7,3,108,6
DESIGN STUDIES,closed,170,1,2,1,5,51,2
INTERNATIONAL MIGRATION,closed,453,73,33,8,18,183,9
