year,type,items,blogs,facebook,news,policies,twitter,wikipedia
2012,closed,821484,17800,31863,12738,15516,142739,12609
2013,closed,865486,19791,46214,17872,14663,179792,11620
2014,closed,885976,21087,43575,21004,12288,224535,10486
2015,closed,897205,20574,68684,24465,9521,260427,9455
2016,closed,915278,21139,69170,31604,6493,285778,8011
2017,closed,955150,25265,77728,31161,4009,306969,7220
2018,closed,1092430,32860,79689,35171,2442,390335,6963
2012,gold,111571,5504,12726,3243,2373,41150,3304
2013,gold,140894,7965,19795,6401,2791,56352,3814
2014,gold,164486,8665,17497,8432,2597,76975,3804
2015,gold,180774,10166,28424,12408,2233,99959,3843
2016,gold,198559,11988,29827,16377,1946,113557,3584
2017,gold,236477,13294,35497,15746,1292,138331,3451
2018,gold,277400,16685,27097,15597,603,151035,2732
2012,hybrid,56095,3068,4384,1789,1408,16283,1884
2013,hybrid,62098,3694,7015,3663,1646,21701,1979
2014,hybrid,69854,5191,8051,5616,2033,32594,2296
2015,hybrid,85029,5685,13067,7436,2045,45134,2305
2016,hybrid,100630,6539,14620,9487,1668,54080,2199
2017,hybrid,99459,6555,15866,8481,1154,53489,1590
2018,hybrid,99732,6829,12867,7247,576,54520,1213
2012,bronze,130823,7409,11667,5213,4207,43401,5000
2013,bronze,129376,8368,16083,8690,3973,51714,4631
2014,bronze,123256,9261,13977,10292,3201,60586,4235
2015,bronze,119306,9132,21331,11890,2566,68439,3560
2016,bronze,112262,11402,21189,14722,1879,64698,2999
2017,bronze,110355,10866,21457,12793,1006,61637,2546
2018,bronze,67858,4779,8356,5371,384,29750,854
2012,green,206874,10857,15628,7126,5991,64192,6592
2013,green,221270,12826,24250,12087,6320,85314,6510
2014,green,233369,14262,21391,15073,5894,120249,6117
2015,green,247973,14777,35720,17405,4998,142668,5736
2016,green,265406,21305,39475,22985,4103,160499,5073
2017,green,280857,23649,46961,24247,2628,173202,4978
2018,green,263561,26167,35903,19761,1320,175047,3797

