type,timediff,n_items
open,-3885,1
open,-3848,1
open,-3740,1
open,-3358,1
open,-3236,1
open,-3162,1
open,-2836,2
open,-2831,1
open,-2815,1
open,-2733,1
open,-2717,1
open,-2714,1
open,-2654,1
open,-2645,1
open,-2548,1
open,-2540,1
open,-2513,1
open,-2497,1
open,-2471,2
open,-2468,1
open,-2431,1
open,-2428,1
open,-2404,1
open,-2391,1
open,-2389,1
open,-2370,2
open,-2270,2
open,-2256,2
open,-2245,1
open,-2208,1
open,-2142,1
open,-2135,2
open,-2129,1
open,-2113,1
open,-2097,1
open,-2095,1
open,-2084,1
open,-2081,3
open,-2074,3
open,-2066,1
open,-2063,1
open,-2050,1
open,-2049,1
open,-2039,1
open,-2036,1
open,-2031,11
open,-2012,2
open,-2005,1
open,-1992,3
open,-1983,2
open,-1970,1
open,-1967,1
open,-1959,2
open,-1944,1
open,-1939,1
open,-1936,3
open,-1933,2
open,-1920,1
open,-1917,3
open,-1894,1
open,-1880,2
open,-1854,2
open,-1851,1
open,-1833,1
open,-1827,2
open,-1816,1
open,-1790,3
open,-1771,1
open,-1745,3
open,-1743,2
open,-1735,3
open,-1710,1
open,-1708,1
open,-1703,1
open,-1700,1
open,-1666,1
open,-1629,1
open,-1589,1
open,-1586,2
open,-1581,1
open,-1557,2
open,-1541,1
open,-1536,1
open,-1528,2
open,-1494,3
open,-1493,2
open,-1491,1
open,-1477,1
open,-1469,4
open,-1459,1
open,-1449,2
open,-1425,1
open,-1422,1
open,-1414,6
open,-1396,2
open,-1390,2
open,-1388,1
open,-1377,1
open,-1366,1
open,-1343,1
open,-1324,1
open,-1311,2
open,-1292,2
open,-1279,1
open,-1276,1
open,-1268,1
open,-1263,1
open,-1253,3
open,-1252,4
open,-1247,2
open,-1237,1
open,-1236,1
open,-1234,3
open,-1229,1
open,-1228,5
open,-1226,4
open,-1223,2
open,-1221,1
open,-1220,3
open,-1210,6
open,-1199,2
open,-1197,6
open,-1192,1
open,-1189,5
open,-1183,5
open,-1168,1
open,-1167,1
open,-1165,2
open,-1163,1
open,-1160,2
open,-1149,1
open,-1136,2
open,-1130,1
open,-1125,4
open,-1120,1
open,-1110,1
open,-1099,1
open,-1091,1
open,-1078,1
open,-1067,1
open,-1062,1
open,-1035,1
open,-1024,1
open,-998,1
open,-860,1
open,-781,1
open,-739,1
open,-728,1
open,-726,1
open,-694,1
open,-665,2
open,-654,1
open,-641,1
open,-617,1
open,-595,1
open,-572,1
open,-567,1
open,-550,1
open,-530,1
open,-514,1
open,-508,1
open,-503,3
open,-497,4
open,-479,2
open,-477,1
open,-476,2
open,-461,2
open,-452,1
open,-410,1
open,-408,1
open,-400,1
open,-394,1
open,-378,1
open,-352,1
open,-339,1
open,-331,1
open,-283,1
open,-281,1
open,-275,1
open,-272,4
open,-249,1
open,-241,1
open,-238,3
open,-233,1
open,-219,1
open,-217,2
open,-212,1
open,-206,3
open,-204,3
open,-203,6
open,-195,3
open,-193,2
open,-191,1
open,-183,3
open,-175,13
open,-174,3
open,-172,18
open,-166,2
open,-161,1
open,-158,1
open,-150,2
open,-148,2
open,-143,5
open,-140,3
open,-137,8
open,-111,8
open,-108,12
open,-106,5
open,-82,9
open,-79,10
open,-63,17
open,-45,24
open,-40,19
open,-32,25
open,-21,45
open,-10,53
open,-5,73
open,-2,145
open,3,2660
open,9,937
open,14,737
open,25,429
open,38,272
open,43,230
open,46,219
open,48,220
open,51,191
open,-3018,1
open,-2777,1
open,-2750,1
open,-2726,1
open,-2695,1
open,-2641,1
open,-2560,1
open,-2533,1
open,-2528,1
open,-2520,1
open,-2478,1
open,-2462,1
open,-2456,1
open,-2393,1
open,-2374,1
open,-2369,1
open,-2363,1
open,-2334,1
open,-2287,1
open,-2247,1
open,-2162,1
open,-2160,1
open,-2152,1
open,-2117,1
open,-2112,1
open,-2099,2
open,-2083,2
open,-2070,1
open,-2069,1
open,-2051,2
open,-2046,1
open,-2032,1
open,-2027,1
open,-2024,1
open,-2014,1
open,-2009,2
open,-2006,1
open,-2000,2
open,-1982,2
open,-1972,2
open,-1964,1
open,-1956,1
open,-1948,3
open,-1940,2
open,-1934,4
open,-1924,1
open,-1916,4
open,-1892,1
open,-1890,2
open,-1882,3
open,-1866,3
open,-1865,1
open,-1863,1
open,-1850,1
open,-1849,1
open,-1839,1
open,-1826,1
open,-1823,1
open,-1762,1
open,-1760,3
open,-1752,1
open,-1738,1
open,-1722,1
open,-1707,2
open,-1685,1
open,-1672,1
open,-1664,1
open,-1662,1
open,-1646,2
open,-1608,1
open,-1604,2
open,-1588,1
open,-1558,2
open,-1556,2
open,-1542,1
open,-1532,3
open,-1529,1
open,-1510,2
open,-1500,2
open,-1497,2
open,-1492,2
open,-1482,1
open,-1481,1
open,-1479,2
open,-1473,3
open,-1463,1
open,-1458,1
open,-1452,3
open,-1447,2
open,-1444,1
open,-1439,2
open,-1437,1
open,-1431,1
open,-1429,1
open,-1428,1
open,-1426,3
open,-1421,2
open,-1412,1
open,-1408,6
open,-1400,5
open,-1399,2
open,-1397,4
open,-1394,1
open,-1378,1
open,-1367,4
open,-1362,3
open,-1352,1
open,-1349,2
open,-1330,1
open,-1315,2
open,-1314,1
open,-1307,3
open,-1299,3
open,-1291,1
open,-1288,2
open,-1285,2
open,-1280,2
open,-1275,2
open,-1264,2
open,-1262,2
open,-1256,1
open,-1248,3
open,-1246,3
open,-1238,1
open,-1225,2
open,-1219,4
open,-1214,2
open,-1206,2
open,-1195,4
open,-1187,4
open,-1182,4
open,-1177,4
open,-1174,3
open,-1171,4
open,-1158,3
open,-1148,3
open,-1145,1
open,-1132,1
open,-1105,2
open,-1098,2
open,-1090,1
open,-1089,2
open,-1084,1
open,-1079,1
open,-1066,1
open,-1061,1
open,-1060,5
open,-1058,1
open,-1044,1
open,-1042,1
open,-939,1
open,-849,1
open,-819,1
open,-758,1
open,-721,1
open,-697,3
open,-682,1
open,-663,1
open,-652,2
open,-589,1
open,-568,1
open,-552,1
open,-538,1
open,-531,1
open,-523,2
open,-517,1
open,-493,2
open,-459,1
open,-457,1
open,-446,2
open,-438,2
open,-419,1
open,-417,2
open,-396,3
open,-395,1
open,-350,1
open,-345,1
open,-343,4
open,-305,1
open,-282,4
open,-263,1
open,-242,2
open,-234,1
open,-207,2
open,-189,2
open,-181,1
open,-178,1
open,-176,17
open,-171,3
open,-170,2
open,-168,2
open,-152,9
open,-139,1
open,-125,3
open,-107,5
open,-96,7
open,-86,3
open,-78,11
open,-75,12
open,-73,8
open,-67,14
open,-43,28
open,-35,49
open,-30,28
open,-20,33
open,-4,95
open,7,1578
open,18,510
open,23,437
open,28,503
open,37,249
open,39,278
open,50,239
open,55,194
open,57,187
open,65,140
open,76,101
open,89,93
open,92,102
open,97,98
open,102,70
open,105,93
open,127,59
open,129,49
open,135,47
open,147,65
open,148,49
open,-3093,1
open,-3003,1
open,-2998,1
open,-2903,1
open,-2884,1
open,-2778,1
open,-2712,2
open,-2653,1
open,-2632,1
open,-2590,1
open,-2547,1
open,-2532,1
open,-2519,1
open,-2510,3
open,-2484,1
open,-2479,1
open,-2474,1
open,-2465,1
open,-2458,1
open,-2436,1
open,-2335,1
open,-2328,1
open,-2232,2
open,-2214,1
open,-2192,1
open,-2169,3
open,-2102,1
open,-2020,2
open,-2007,1
open,-1994,1
open,-1981,4
open,-1973,3
open,-1960,3
open,-1954,1
open,-1952,1
open,-1949,1
open,-1938,4
open,-1931,3
open,-1928,1
open,-1923,2
open,-1915,2
open,-1898,2
open,-1888,1
open,-1886,1
open,-1883,1
open,-1878,1
open,-1856,2
open,-1853,1
open,-1843,1
open,-1841,1
open,-1822,1
open,-1808,1
open,-1796,1
open,-1795,1
open,-1787,1
open,-1780,1
open,-1763,2
open,-1756,1
open,-1750,2
open,-1719,1
open,-1718,1
open,-1697,1
open,-1692,1
open,-1689,2
open,-1679,1
open,-1636,1
open,-1628,1
open,-1618,1
open,-1613,1
open,-1610,1
open,-1592,1
open,-1578,1
open,-1562,1
open,-1554,2
open,-1523,2
open,-1517,1
open,-1496,2
open,-1488,2
open,-1486,1
open,-1478,1
open,-1470,1
open,-1467,2
open,-1464,5
open,-1462,1
open,-1441,3
open,-1433,2
open,-1427,1
open,-1417,3
open,-1416,1
open,-1411,2
open,-1406,1
open,-1403,2
open,-1398,1
open,-1380,4
open,-1374,4
open,-1371,2
open,-1363,2
open,-1359,4
open,-1358,2
open,-1353,2
open,-1335,2
open,-1326,1
open,-1321,1
open,-1316,2
open,-1308,1
open,-1303,1
open,-1295,3
open,-1290,1
open,-1287,1
open,-1274,2
open,-1273,2
open,-1265,1
open,-1261,1
open,-1260,1
open,-1250,2
open,-1231,3
open,-1218,3
open,-1213,4
open,-1205,3
open,-1202,2
open,-1191,4
open,-1186,3
open,-1175,1
open,-1173,1
open,-1170,1
open,-1157,2
open,-1146,1
open,-1141,1
open,-1138,1
open,-1133,1
open,-1131,1
open,-1086,3
open,-1085,2
open,-1038,1
open,-1017,1
open,-969,1
open,-815,1
open,-784,1
open,-731,1
open,-723,1
open,-720,1
open,-709,1
open,-683,1
open,-630,1
open,-614,1
open,-593,1
open,-569,1
open,-556,1
open,-545,1
open,-534,2
open,-505,15
open,-500,1
open,-490,1
open,-484,2
open,-471,1
open,-468,1
open,-424,2
open,-423,1
open,-407,2
open,-391,1
open,-333,1
open,-328,1
open,-320,1
open,-315,1
