type,timediff,n_items
closed,-3407,1
closed,-3115,1
closed,-2512,1
closed,-2488,1
closed,-2479,1
closed,-2403,1
closed,-2397,1
closed,-2373,1
closed,-2278,1
closed,-2186,1
closed,-2114,2
closed,-2096,1
closed,-2085,1
closed,-2062,1
closed,-2047,1
closed,-2029,1
closed,-2005,1
closed,-1977,1
closed,-1946,1
closed,-1927,2
closed,-1920,1
closed,-1912,1
closed,-1904,2
closed,-1895,1
closed,-1887,1
closed,-1877,1
closed,-1876,1
closed,-1869,1
closed,-1821,1
closed,-1812,1
closed,-1795,1
closed,-1759,2
closed,-1720,1
closed,-1710,1
closed,-1676,1
closed,-1668,1
closed,-1577,1
closed,-1570,1
closed,-1494,3
closed,-1477,1
closed,-1451,1
closed,-1435,1
closed,-1428,1
closed,-1402,2
closed,-1394,4
closed,-1385,2
closed,-1358,2
closed,-1351,1
closed,-1342,1
closed,-1325,1
closed,-1301,1
closed,-1294,1
closed,-1286,1
closed,-1276,1
closed,-1268,1
closed,-1259,1
closed,-1250,2
closed,-1242,1
closed,-1203,3
closed,-1183,3
closed,-1151,1
closed,-1149,1
closed,-1143,1
closed,-1142,1
closed,-1141,2
closed,-1133,1
closed,-1100,1
closed,-1099,1
closed,-1058,1
closed,-1042,2
closed,-1034,1
closed,-1002,2
closed,-999,2
closed,-974,1
closed,-698,1
closed,-685,1
closed,-606,2
closed,-541,1
closed,-451,1
closed,-450,1
closed,-400,2
closed,-389,1
closed,-382,1
closed,-366,1
closed,-341,1
closed,-322,1
closed,-315,1
closed,-308,4
closed,-300,1
closed,-274,1
closed,-232,3
closed,-225,1
closed,-214,1
closed,-142,2
closed,-141,2
closed,-132,4
closed,-131,1
closed,-125,5
closed,-124,4
closed,-123,4
closed,-115,3
closed,-113,4
closed,-100,2
closed,-98,4
closed,-91,14
closed,-75,4
closed,-74,10
closed,-65,10
closed,-64,24
closed,-58,10
closed,-57,13
closed,-48,20
closed,-47,11
closed,-41,11
closed,-40,12
closed,-31,14
closed,-22,16
closed,-21,17
closed,-16,26
closed,-15,19
closed,-14,24
closed,-7,29
closed,-5,28
closed,0,1208
closed,5,645
closed,15,286
closed,23,217
closed,30,221
closed,33,187
closed,40,146
closed,46,130
closed,57,89
closed,58,86
closed,65,76
closed,66,105
closed,73,72
closed,75,47
closed,80,38
closed,83,59
closed,90,72
closed,107,50
closed,113,56
closed,114,35
closed,115,44
closed,116,34
closed,122,39
closed,123,35
closed,125,43
closed,130,36
closed,132,20
closed,138,33
closed,141,36
closed,147,35
closed,150,35
closed,165,33
closed,166,21
closed,172,26
closed,180,21
closed,189,28
closed,191,24
closed,206,22
closed,207,31
closed,214,17
closed,230,19
closed,231,25
closed,232,22
closed,233,17
closed,240,22
closed,242,19
closed,250,19
closed,257,20
closed,264,20
closed,273,22
closed,282,18
closed,292,17
closed,300,22
closed,308,11
closed,325,16
closed,331,15
closed,332,16
closed,365,14
closed,373,7
closed,375,8
closed,382,10
closed,407,8
closed,408,4
closed,414,12
closed,431,5
closed,441,9
closed,451,11
closed,456,3
closed,458,8
closed,464,10
closed,466,8
closed,467,6
closed,484,2
closed,489,4
closed,492,3
closed,493,5
closed,499,4
closed,500,3
closed,506,5
closed,508,1
closed,509,3
closed,514,9
closed,515,4
closed,526,1
closed,533,3
closed,539,7
closed,541,1
closed,542,5
closed,549,1
closed,557,3
closed,575,2
closed,583,1
closed,584,2
closed,590,1
closed,591,3
closed,600,1
closed,606,3
closed,610,1
closed,616,1
closed,623,2
closed,640,1
closed,-3077,1
closed,-2858,1
closed,-2844,1
closed,-2834,1
closed,-2767,1
closed,-2532,1
closed,-2517,1
closed,-2507,2
closed,-2459,1
closed,-2390,1
closed,-2385,1
closed,-2307,1
closed,-2234,1
closed,-2184,2
closed,-2165,1
closed,-2091,1
closed,-2084,1
closed,-2016,1
closed,-2006,1
closed,-2001,1
closed,-1984,2
closed,-1981,1
closed,-1959,2
closed,-1957,2
closed,-1951,2
closed,-1939,1
closed,-1933,1
closed,-1932,1
closed,-1865,1
closed,-1857,1
closed,-1815,1
closed,-1781,2
closed,-1775,1
closed,-1758,1
closed,-1755,1
closed,-1742,1
closed,-1683,2
closed,-1600,1
closed,-1599,1
closed,-1589,1
closed,-1582,1
closed,-1581,1
closed,-1555,1
closed,-1533,1
closed,-1532,1
closed,-1507,1
closed,-1497,1
closed,-1473,1
closed,-1471,1
closed,-1433,1
closed,-1431,1
closed,-1430,2
closed,-1429,1
closed,-1415,1
closed,-1406,5
closed,-1381,1
closed,-1364,1
closed,-1363,1
closed,-1357,1
closed,-1354,1
closed,-1324,1
closed,-1323,1
closed,-1274,1
closed,-1271,2
closed,-1262,1
closed,-1254,1
closed,-1247,2
closed,-1214,1
closed,-1170,1
closed,-1164,3
closed,-1157,3
closed,-1146,1
closed,-1140,1
closed,-1130,1
closed,-1120,1
closed,-1114,1
closed,-1098,1
closed,-1090,1
closed,-1089,1
closed,-1062,1
closed,-846,1
closed,-462,1
closed,-452,1
closed,-429,1
closed,-427,1
closed,-418,4
closed,-346,1
closed,-254,1
closed,-227,1
closed,-220,2
closed,-219,2
closed,-209,1
closed,-194,1
closed,-188,1
closed,-170,2
closed,-160,1
closed,-159,1
closed,-153,3
closed,-151,1
closed,-129,4
closed,-127,2
closed,-118,2
closed,-109,5
closed,-103,4
closed,-101,7
closed,-93,5
closed,-86,5
closed,-85,6
closed,-77,11
closed,-60,11
closed,-51,13
closed,-42,17
closed,-29,23
closed,-26,17
closed,-20,17
closed,-18,20
