type,timediff,n_items
open,-2177,1
open,-1030,1
open,-922,5
open,-916,1
open,-858,1
open,-791,1
open,-783,1
open,-738,1
open,-718,1
open,-699,1
open,-696,2
open,-693,1
open,-688,1
open,-685,1
open,-649,2
open,-643,1
open,-625,1
open,-603,1
open,-596,2
open,-590,1
open,-564,2
open,-561,1
open,-535,9
open,-529,1
open,-522,2
open,-521,4
open,-519,1
open,-487,3
open,-482,2
open,-463,11
open,-460,3
open,-444,2
open,-436,3
open,-434,3
open,-426,5
open,-418,3
open,-415,1
open,-402,1
open,-392,1
open,-386,2
open,-381,1
open,-373,2
open,-368,2
open,-363,1
open,-362,5
open,-360,2
open,-355,3
open,-354,1
open,-349,3
open,-347,1
open,-338,1
open,-334,5
open,-326,2
open,-325,4
open,-323,10
open,-318,3
open,-307,3
open,-302,3
open,-294,9
open,-293,3
open,-278,2
open,-273,1
open,-270,1
open,-257,3
open,-256,1
open,-248,2
open,-236,4
open,-222,2
open,-211,2
open,-198,3
open,-185,1
open,-180,2
open,-167,4
open,-159,1
open,-156,13
open,-153,7
open,-151,7
open,-135,5
open,-130,9
open,-127,12
open,-122,6
open,-119,6
open,-116,29
open,-114,19
open,-103,8
open,-97,18
open,-95,24
open,-93,17
open,-69,19
open,-68,20
open,-61,27
open,-55,71
open,-47,42
open,-37,86
open,-31,57
open,-26,84
open,-16,129
open,-15,142
open,-8,201
open,6,5587
open,19,1665
open,24,1406
open,61,544
open,62,509
open,67,433
open,72,340
open,77,450
open,83,387
open,86,286
open,93,308
open,96,339
open,106,239
open,107,212
open,112,243
open,133,214
open,139,194
open,141,195
open,146,187
open,151,203
open,159,173
open,170,162
open,189,149
open,197,150
open,213,130
open,215,145
open,218,121
open,220,125
open,226,105
open,228,154
open,231,165
open,234,105
open,239,115
open,244,114
open,255,113
open,257,128
open,260,121
open,265,154
open,268,103
open,271,136
open,273,135
open,274,160
open,290,109
open,295,84
open,297,105
open,308,88
open,310,78
open,332,72
open,334,90
open,345,85
open,350,117
open,353,74
open,356,106
open,361,93
open,363,105
open,369,79
open,371,82
open,372,109
open,374,81
open,388,80
open,390,66
open,395,64
open,408,29
open,409,51
open,414,56
open,417,52
open,419,56
open,424,42
open,427,50
open,446,39
open,448,45
open,454,42
open,461,31
open,485,19
open,486,26
open,491,18
open,498,18
open,499,18
open,501,21
open,507,17
open,522,20
open,538,17
open,541,15
open,543,18
open,551,14
open,554,10
open,565,16
open,570,13
open,575,12
open,578,3
open,584,10
open,588,15
open,604,5
open,623,5
open,626,12
open,631,2
open,636,6
closed,-1038,1
closed,-780,2
closed,-704,1
closed,-609,1
closed,-587,1
closed,-582,1
closed,-564,1
closed,-553,1
closed,-542,1
closed,-527,1
closed,-518,1
closed,-505,1
closed,-487,1
closed,-468,2
closed,-457,4
closed,-452,3
closed,-447,2
closed,-444,1
closed,-442,1
closed,-394,8
closed,-373,3
closed,-362,2
closed,-359,2
closed,-341,1
closed,-333,1
closed,-331,1
closed,-325,1
closed,-314,2
closed,-312,2
closed,-299,2
closed,-291,1
open,-1060,3
open,-1058,1
open,-851,1
open,-833,1
open,-804,1
open,-742,1
open,-734,1
open,-729,1
open,-713,1
open,-703,2
open,-682,1
open,-679,2
open,-677,2
open,-660,2
open,-652,1
open,-636,1
open,-605,1
open,-597,1
open,-589,1
open,-584,2
open,-573,2
open,-568,31
open,-562,1
open,-557,4
open,-555,3
open,-552,2
open,-549,2
open,-538,2
open,-536,7
open,-531,5
open,-523,9
open,-515,1
open,-510,1
open,-496,1
open,-494,1
open,-493,1
open,-485,3
open,-481,1
open,-473,1
open,-459,2
open,-457,1
open,-456,1
open,-449,5
open,-446,6
open,-438,1
open,-412,2
open,-401,2
open,-398,1
open,-396,2
open,-395,1
open,-375,1
open,-364,2
open,-361,5
open,-350,1
open,-345,2
open,-343,2
open,-335,2
open,-319,1
open,-306,1
open,-305,1
open,-285,3
open,-282,4
open,-279,1
open,-269,1
open,-263,1
open,-242,2
open,-234,25
open,-207,13
open,-189,2
open,-184,1
open,-178,6
open,-176,21
open,-171,6
open,-170,9
open,-168,6
open,-152,7
open,-139,3
open,-125,11
open,-107,9
open,-96,7
open,-86,15
open,-78,16
open,-75,32
open,-73,24
open,-67,36
open,-43,103
open,-35,59
open,-30,113
open,-20,123
open,-4,306
open,7,5214
open,18,1771
open,23,1402
open,28,1516
open,37,904
open,39,772
open,50,644
open,55,599
open,57,619
open,65,464
open,76,416
open,89,297
open,92,317
open,97,318
open,102,265
open,105,284
open,127,198
open,129,245
open,135,217
open,147,238
open,148,192
open,150,210
open,156,176
open,158,196
open,169,140
open,174,146
open,177,131
open,179,142
open,185,137
open,190,136
open,200,127
open,203,130
open,206,144
open,211,108
open,222,116
open,230,140
open,235,134
open,238,117
open,241,114
open,245,139
open,248,137
open,251,126
open,283,95
open,286,120
open,288,104
open,291,73
open,293,111
open,301,100
open,304,135
open,306,109
open,323,99
open,325,87
open,339,86
open,341,75
open,343,108
open,344,61
open,346,77
open,351,64
open,362,88
open,365,107
open,367,85
open,368,78
open,375,79
open,384,83
open,386,65
open,399,47
open,420,60
open,421,57
open,423,51
open,428,58
open,431,34
open,439,41
open,441,40
open,442,42
open,450,24
open,458,37
open,463,25
open,497,28
open,505,18
open,508,20
open,513,15
open,516,17
open,521,20
open,532,17
open,534,21
open,537,9
open,540,11
open,545,22
open,555,9
open,556,18
open,561,19
open,564,10
open,569,7
open,577,4
open,587,8
open,592,14
open,598,12
open,600,6
open,606,5
open,609,6
open,611,1
open,627,4
open,630,4
open,632,1
closed,-1266,1
closed,-867,1
closed,-840,2
closed,-800,1
closed,-719,1
closed,-636,2
closed,-610,2
closed,-602,1
closed,-591,1
closed,-573,1
closed,-560,2
closed,-552,1
closed,-530,1
closed,-522,3
closed,-501,1
closed,-490,1
closed,-475,1
closed,-472,1
closed,-470,1
closed,-469,3
closed,-464,1
closed,-445,1
closed,-430,3
closed,-424,1
closed,-406,2
closed,-401,2
closed,-388,1
closed,-385,2
closed,-382,7
closed,-372,1
closed,-369,3
closed,-358,3
closed,-356,4
open,-1136,1
open,-789,1
open,-749,1
open,-747,1
open,-686,2
open,-667,1
open,-665,1
open,-654,2
open,-641,1
open,-640,1
open,-609,4
open,-598,1
open,-572,1
open,-567,13
open,-558,1
open,-553,2
open,-548,3
open,-540,1
open,-537,2
open,-530,3
open,-514,1
open,-513,4
open,-508,1
open,-506,6
open,-503,3
open,-497,2
open,-492,1
open,-479,2
open,-477,1
open,-476,2
open,-466,2
open,-458,1
open,-453,1
open,-452,4
open,-450,1
open,-445,4
open,-439,4
open,-437,3
open,-432,4
open,-429,1
open,-410,4
open,-408,9
open,-405,7
open,-400,3
open,-397,3
open,-394,2
open,-389,2
open,-379,1
open,-378,1
open,-371,1
open,-352,1
open,-341,1
open,-339,2
open,-336,5
open,-331,2
open,-312,1
open,-310,3
open,-309,3
open,-304,2
open,-301,2
open,-296,2
open,-289,2
open,-288,3
open,-283,1
open,-275,3
open,-272,1
open,-254,2
open,-249,3
open,-241,5
open,-238,3
open,-233,4
open,-227,1
open,-219,2
open,-217,4
open,-206,11
open,-204,4
open,-203,18
open,-195,4
open,-193,5
open,-191,3
open,-183,9
open,-182,6
open,-175,36
open,-174,11
open,-172,14
open,-166,1
open,-161,5
open,-158,5
open,-150,4
open,-148,10
open,-143,5
open,-140,17
open,-137,8
open,-124,8
open,-111,16
open,-108,5
open,-106,13
open,-82,15
open,-79,19
open,-63,29
open,-45,47
open,-40,73
open,-32,53
open,-21,107
open,-10,213
open,-5,302
open,-2,718
open,3,7557
open,9,3116
open,14,2334
open,25,1396
open,38,826
open,43,768
open,46,664
open,48,728
open,51,646
open,53,603
open,56,688
open,75,426
open,78,386
open,85,343
open,109,223
open,114,250
open,115,233
open,117,216
open,122,219
open,130,212
open,144,213
open,152,189
open,154,184
open,167,158
open,173,130
open,175,165
open,178,132
open,181,162
open,184,128
open,186,129
open,192,150
open,194,156
open,204,140
open,207,150
open,210,161
open,212,122
open,221,118
open,223,126
open,229,125
open,249,119
open,258,170
open,266,140
open,282,110
open,289,95
open,292,81
open,294,133
open,300,84
open,302,82
open,303,73
open,313,104
open,316,80
open,318,91
open,321,111
open,329,78
open,335,87
open,340,92
open,348,136
open,358,65
open,380,69
open,385,67
open,387,62
open,393,65
open,400,47
open,401,50
open,406,67
open,422,53
open,425,73
open,430,46
open,433,50
open,440,48
open,456,35
open,459,25
open,462,51
open,469,28
open,470,23
open,478,32
open,488,25
open,490,27
open,493,23
open,496,22
open,514,27
open,515,26
open,517,23
open,520,12
open,523,12
open,530,28
open,531,22
open,536,14
open,546,19
open,549,24
open,559,21
open,573,8
open,576,8
open,581,11
open,586,5
open,589,8
open,591,7
open,594,7
open,602,8
open,607,1
open,612,3
open,613,2
open,615,7
open,620,2
open,639,4
closed,-858,1
closed,-857,1
closed,-680,1
closed,-643,2
closed,-630,1
closed,-624,1
closed,-598,2
closed,-547,1
closed,-540,1
closed,-516,2
closed,-510,3
closed,-500,1
closed,-495,1
closed,-489,3
closed,-486,1
open,-1038,1
open,-871,1
open,-794,2
open,-768,1
open,-754,2
open,-741,3
open,-736,3
open,-717,3
open,-709,2
open,-683,2
open,-664,2
open,-662,1
open,-656,2
open,-638,1
open,-635,1
open,-633,1
open,-630,1
open,-622,1
open,-593,1
open,-585,1
open,-582,1
open,-580,1
open,-577,2
open,-569,55
open,-566,3
open,-556,2
open,-551,3
open,-545,1
open,-534,3
open,-532,1
open,-527,2
open,-516,1
open,-511,4
open,-505,31
open,-498,5
open,-495,1
open,-490,1
open,-484,1
open,-469,1
open,-468,1
open,-455,2
open,-442,4
open,-431,3
open,-424,2
open,-423,1
open,-421,1
open,-413,1
open,-407,9
open,-399,3
open,-391,2
open,-376,1
open,-365,1
open,-357,4
open,-344,3
open,-333,4
open,-328,1
open,-320,2
open,-315,3
open,-291,7
open,-280,2
open,-267,1
open,-265,3
open,-264,7
open,-262,2
open,-251,2
open,-235,23
open,-230,3
open,-228,4
open,-225,2
open,-220,3
open,-214,1
open,-209,2
open,-196,4
open,-190,1
open,-188,1
open,-177,5
open,-169,4
open,-164,3
open,-145,2
open,-138,15
open,-132,5
open,-129,10
open,-121,10
open,-113,12
open,-105,11
open,-100,19
open,-98,20
open,-92,25
open,-90,16
open,-87,19
open,-85,28
open,-84,20
open,-77,29
open,-76,15
open,-74,15
open,-71,16
open,-66,34
open,-60,45
open,-58,53
