type,timediff,n_items
closed,-116,8
closed,401,33
closed,192,98
closed,524,9
closed,501,5
closed,284,62
closed,-325,1
closed,315,53
closed,424,31
closed,175,131
closed,324,41
closed,-809,1
closed,-122,14
closed,-82,30
closed,-365,1
closed,158,145
closed,-108,14
closed,607,5
closed,-457,4
closed,-39,53
closed,556,4
closed,-700,1
closed,481,27
closed,-88,20
closed,550,9
closed,-643,2
closed,-543,2
closed,72,321
closed,473,28
closed,258,81
closed,381,39
closed,-357,2
closed,-182,7
closed,-374,2
closed,32,858
closed,-73,26
closed,-25,85
closed,272,90
closed,567,9
closed,367,74
closed,-391,2
closed,390,22
closed,155,148
closed,106,193
closed,-105,9
closed,-56,35
closed,63,413
closed,-242,1
closed,-348,3
closed,241,76
closed,49,539
closed,198,83
closed,149,110
closed,359,33
closed,307,67
closed,267,65
closed,-183,3
closed,376,34
closed,-174,1
closed,-323,3
closed,322,53
closed,173,119
closed,-249,1
closed,81,298
closed,-8,141
closed,-180,2
closed,38,558
closed,599,4
closed,-598,2
closed,-549,1
closed,7,2673
closed,-1425,1
closed,299,53
closed,342,63
closed,-426,1
closed,239,58
closed,-140,2
closed,164,148
closed,-280,2
closed,-163,1
closed,-217,3
closed,465,19
closed,124,227
closed,439,21
closed,-415,1
closed,416,24
closed,-532,1
closed,608,12
closed,133,216
closed,459,16
closed,631,1
closed,41,612
closed,551,15
closed,290,74
closed,339,40
closed,-489,3
closed,-297,1
closed,247,61
closed,-197,1
closed,334,67
closed,-89,23
closed,357,54
closed,-358,3
closed,457,16
closed,-467,2
closed,265,74
closed,-72,33
closed,25,951
closed,-390,2
closed,440,42
closed,391,41
closed,105,219
closed,-106,10
closed,483,26
closed,291,57
closed,540,8
closed,-490,1
closed,-6,181
closed,-255,2
closed,-192,2
closed,448,27
closed,-55,35
closed,199,105
closed,348,38
closed,-398,1
closed,-46,50
closed,-215,1
closed,139,166
closed,22,1165
closed,517,15
closed,222,86
closed,-272,4
closed,225,64
closed,108,205
closed,274,53
closed,531,4
closed,182,146
closed,88,262
closed,-481,1
closed,-693,1
closed,400,31
closed,48,505
closed,449,24
closed,-233,3
closed,-356,4
closed,432,19
closed,280,77
closed,-30,69
closed,-857,1
closed,31,861
closed,217,86
closed,-24,99
closed,518,15
closed,558,8
closed,-508,1
closed,415,29
closed,-482,2
closed,632,4
closed,532,6
closed,-147,5
closed,289,52
closed,197,125
closed,475,19
closed,-167,3
closed,498,16
closed,306,78
closed,283,69
closed,366,50
closed,323,64
closed,74,333
closed,615,6
closed,-173,5
closed,131,207
closed,-342,1
closed,-156,2
closed,157,144
closed,-38,53
closed,635,2
closed,-207,3
closed,8,2022
closed,349,61
closed,-150,1
closed,-399,3
closed,-250,3
closed,100,195
closed,-50,47
closed,-542,1
closed,355,44
closed,547,11
closed,-262,1
closed,-285,3
closed,161,173
closed,278,70
closed,169,125
closed,-168,5
closed,470,19
closed,-371,1
