journal,journal_if,year
CA-A CANCER JOURNAL FOR CLINICIANS,223.679,2018
Nature Reviews Materials,74.449,2018
NEW ENGLAND JOURNAL OF MEDICINE,70.67,2018
LANCET,59.102,2018
NATURE REVIEWS DRUG DISCOVERY,57.618,2018
CHEMICAL REVIEWS,54.301,2018
Nature Energy,54,2018
NATURE REVIEWS CANCER,51.848,2018
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,51.273,2018
NATURE REVIEWS IMMUNOLOGY,44.019,2018
NATURE REVIEWS GENETICS,43.704,2018
NATURE REVIEWS MOLECULAR CELL BIOLOGY,43.351,2018
NATURE,43.07,2018
SCIENCE,41.063,2018
CHEMICAL SOCIETY REVIEWS,40.443,2018
NATURE MATERIALS,38.887,2018
REVIEWS OF MODERN PHYSICS,38.296,2018
CELL,36.216,2018
LANCET ONCOLOGY,35.386,2018
NATURE REVIEWS MICROBIOLOGY,34.648,2018
Nature Reviews Clinical Oncology,34.106,2018
World Psychiatry,34.024,2018
World Psychiatry,34.024,2018
Nature Nanotechnology,33.407,2018
Energy & Environmental Science,33.25,2018
NATURE REVIEWS NEUROSCIENCE,33.162,2018
Annual Review of Astronomy and Astrophysics,33.069,2018
Nature Reviews Disease Primers,32.274,2018
NATURE BIOTECHNOLOGY,31.864,2018
Nature Photonics,31.583,2018
NATURE MEDICINE,30.641,2018
Nature Reviews Chemistry,30.628,2018
LANCET NEUROLOGY,28.755,2018
NATURE METHODS,28.467,2018
JOURNAL OF CLINICAL ONCOLOGY,28.349,2018
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,28.295,2018
Living Reviews in Relativity,27.778,2018
BMJ-British Medical Journal,27.604,2018
LANCET INFECTIOUS DISEASES,27.516,2018
Annual Review of Biochemistry,26.922,2018
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,26.467,2018
Cancer Discovery,26.37,2018
ADVANCES IN PHYSICS,26.1,2018
ADVANCED MATERIALS,25.809,2018
NATURE GENETICS,25.455,2018
EUROPEAN HEART JOURNAL,24.889,2018
Advanced Energy Materials,24.884,2018
Nature Reviews Endocrinology,24.646,2018
Lancet Diabetes & Endocrinology,24.54,2018
PROGRESS IN POLYMER SCIENCE,24.505,2018
Materials Today,24.372,2018
PHYSIOLOGICAL REVIEWS,24.25,2018
CANCER CELL,23.916,2018
PROGRESS IN MATERIALS SCIENCE,23.725,2018
Nature Reviews Gastroenterology & Hepatology,23.57,2018
NATURE IMMUNOLOGY,23.53,2018
Nature Chemistry,23.193,2018
CIRCULATION,23.054,2018
Lancet Respiratory Medicine,22.992,2018
IEEE Communications Surveys and Tutorials,22.973,2018
JAMA Oncology,22.416,2018
Cell Metabolism,22.415,2018
MATERIALS SCIENCE & ENGINEERING R-REPORTS,22.25,2018
Psychological Science in the Public Interest,22.25,2018
Nature Climate Change,21.722,2018
Nature Climate Change,21.722,2018
ACCOUNTS OF CHEMICAL RESEARCH,21.661,2018
IMMUNITY,21.522,2018
Cell Stem Cell,21.464,2018
Annual Review of Immunology,21.429,2018
Nature Reviews Neurology,21.155,2018
NATURE NEUROSCIENCE,21.126,2018
INTERNATIONAL MATERIALS REVIEWS,21.086,2018
JAMA Internal Medicine,20.768,2018
Nature Physics,20.113,2018
GASTROENTEROLOGY,19.809,2018
Annual Review of Psychology,19.755,2018
Annual Review of Psychology,19.755,2018
Nature Reviews Nephrology,19.684,2018
Science Robotics,19.4,2018
ANNALS OF INTERNAL MEDICINE,19.315,2018
INTENSIVE CARE MEDICINE,18.967,2018
JOURNAL OF HEPATOLOGY,18.946,2018
Annual Review of Plant Biology,18.918,2018
PHARMACOLOGICAL REVIEWS,18.886,2018
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,18.639,2018
Nature Reviews Rheumatology,18.545,2018
Lancet Psychiatry,18.329,2018
Lancet Psychiatry,18.329,2018
Chem,18.205,2018
ACTA NEUROPATHOLOGICA,18.174,2018
GUT,17.943,2018
Annual Review of Physiology,17.902,2018
CELL RESEARCH,17.848,2018
CLINICAL MICROBIOLOGY REVIEWS,17.75,2018
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,17.73,2018
NATURE CELL BIOLOGY,17.728,2018
Nature Reviews Cardiology,17.42,2018
EUROPEAN UROLOGY,17.298,2018
Annual Review of Fluid Mechanics,17.214,2018
Science Translational Medicine,17.2,2018
BEHAVIORAL AND BRAIN SCIENCES,17.194,2018
BEHAVIORAL AND BRAIN SCIENCES,17.194,2018
Nature Biomedical Engineering,17.135,2018
TRENDS IN BIOCHEMICAL SCIENCES,16.889,2018
Annual Review of Materials Research,16.816,2018
REVIEWS OF GEOPHYSICS,16.725,2018
REPORTS ON PROGRESS IN PHYSICS,16.62,2018
BLOOD,16.601,2018
TRENDS IN CELL BIOLOGY,16.588,2018
Nano Today,16.582,2018
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,16.494,2018
PSYCHOLOGICAL BULLETIN,16.405,2018
PSYCHOLOGICAL BULLETIN,16.405,2018
ACS Energy Letters,16.331,2018
TRENDS IN COGNITIVE SCIENCES,16.173,2018
TRENDS IN COGNITIVE SCIENCES,16.173,2018
JAMA Psychiatry,15.916,2018
JAMA Psychiatry,15.916,2018
Lancet Global Health,15.873,2018
Lancet Global Health,15.873,2018
CIRCULATION RESEARCH,15.862,2018
Advanced Science,15.804,2018
Cell Host & Microbe,15.753,2018
ADVANCED FUNCTIONAL MATERIALS,15.621,2018
FUNGAL DIVERSITY,15.596,2018
Annual Review of Condensed Matter Physics,15.588,2018
Nano Energy,15.548,2018
ADVANCED DRUG DELIVERY REVIEWS,15.519,2018
DIABETES CARE,15.27,2018
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,15.255,2018
TRENDS IN ECOLOGY & EVOLUTION,15.236,2018
Annual Review of Marine Science,15.225,2018
JOURNAL OF PINEAL RESEARCH,15.221,2018
ENDOCRINE REVIEWS,15.167,2018
ASTRONOMY AND ASTROPHYSICS REVIEW,15.143,2018
HEPATOLOGY,14.971,2018
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,14.874,2018
SURFACE SCIENCE REPORTS,14.824,2018
MOLECULAR BIOLOGY AND EVOLUTION,14.797,2018
Lancet HIV,14.753,2018
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,14.695,2018
Nature Microbiology,14.633,2018
Living Reviews in Solar Physics,14.625,2018
MOLECULAR CELL,14.548,2018
Nature Geoscience,14.48,2018
Alzheimers & Dementia,14.423,2018
NEURON,14.403,2018
Materials Horizons,14.356,2018
ANNALS OF THE RHEUMATIC DISEASES,14.299,2018
APPLIED CATALYSIS B-ENVIRONMENTAL,14.229,2018
ANNALS OF ONCOLOGY,14.196,2018
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,14.11,2018
Annual Review of Clinical Psychology,14.098,2018
Annual Review of Clinical Psychology,14.098,2018
GENOME BIOLOGY,14.028,2018
TRENDS IN PLANT SCIENCE,14.006,2018
Light-Science & Applications,14,2018
Advances in Optics and Photonics,13.963,2018
ACS Nano,13.903,2018
Annual Review of Pathology-Mechanisms of Disease,13.833,2018
TRENDS IN BIOTECHNOLOGY,13.747,2018
PSYCHOTHERAPY AND PSYCHOSOMATICS,13.744,2018
PSYCHOTHERAPY AND PSYCHOSOMATICS,13.744,2018
AMERICAN JOURNAL OF PSYCHIATRY,13.655,2018
AMERICAN JOURNAL OF PSYCHIATRY,13.655,2018
COORDINATION CHEMISTRY REVIEWS,13.476,2018
Nature Plants,13.297,2018
IEEE Industrial Electronics Magazine,13.241,2018
National Science Review,13.222,2018
TRENDS IN IMMUNOLOGY,13,2018
HUMAN REPRODUCTION UPDATE,12.878,2018
Lancet Gastroenterology & Hepatology,12.856,2018
ACS Central Science,12.837,2018
BIOTECHNOLOGY ADVANCES,12.831,2018
Science Advances,12.804,2018
Applied Physics Reviews,12.75,2018
PROGRESS IN LIPID RESEARCH,12.54,2018
Journal of Thoracic Oncology,12.46,2018
JAMA Neurology,12.321,2018
TRENDS IN NEUROSCIENCES,12.314,2018
Academy of Management Annals,12.289,2018
JOURNAL OF CLINICAL INVESTIGATION,12.282,2018
NANO LETTERS,12.279,2018
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,12.257,2018
Annual Review of Biomedical Engineering,12.257,2018
ACS Catalysis,12.221,2018
Physical Review X,12.211,2018
Annual Review of Biophysics,12.175,2018
Nature Chemical Biology,12.154,2018
EUROPEAN JOURNAL OF HEART FAILURE,12.129,2018
NATURE STRUCTURAL & MOLECULAR BIOLOGY,12.109,2018
Annual Review of Pharmacology and Toxicology,12.103,2018
Annual Review of Neuroscience,12.043,2018
JAMA Pediatrics,12.004,2018
Lancet Haematology,11.99,2018
Annual Review of Physical Chemistry,11.982,2018
TRENDS IN MICROBIOLOGY,11.974,2018
MOLECULAR PSYCHIATRY,11.973,2018
Nature Communications,11.878,2018
NATURAL PRODUCT REPORTS,11.876,2018
JAMA Cardiology,11.866,2018
BRAIN,11.814,2018
EUROPEAN RESPIRATORY JOURNAL,11.807,2018
Annual Review of Entomology,11.796,2018
QUARTERLY JOURNAL OF ECONOMICS,11.775,2018
PROGRESS IN RETINAL AND EYE RESEARCH,11.768,2018
DRUG RESISTANCE UPDATES,11.708,2018
IEEE Transactions on Neural Networks and Learning Systems,11.683,2018
Journal of Statistical Software,11.655,2018
BRITISH JOURNAL OF SPORTS MEDICINE,11.645,2018
Lancet Public Health,11.6,2018
Lancet Public Health,11.6,2018
FEMS MICROBIOLOGY REVIEWS,11.524,2018
TRENDS IN PHARMACOLOGICAL SCIENCES,11.523,2018
BIOLOGICAL PSYCHIATRY,11.501,2018
Nature Protocols,11.334,2018
IMMUNOLOGICAL REVIEWS,11.292,2018
EMBO JOURNAL,11.227,2018
NUCLEIC ACIDS RESEARCH,11.147,2018
Autophagy,11.059,2018
PLOS MEDICINE,11.048,2018
Physics of Life Reviews,11.045,2018
TRENDS IN MOLECULAR MEDICINE,11.028,2018
IEEE WIRELESS COMMUNICATIONS,11,2018
Journal of Extracellular Vesicles,11,2018
JACC-Cardiovascular Imaging,10.975,2018
Nature Ecology & Evolution,10.965,2018
Earth System Science Data,10.951,2018
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,10.935,2018
JOURNAL OF EXPERIMENTAL MEDICINE,10.892,2018
Genome Medicine,10.886,2018
Annual Review of Ecology Evolution and Systematics,10.878,2018
Small,10.856,2018
Annual Review of Cell and Developmental Biology,10.833,2018
Molecular Plant,10.812,2018
Annual Review of Public Health,10.776,2018
Annual Review of Public Health,10.776,2018
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,10.764,2018
Journal of Cachexia Sarcopenia and Muscle,10.754,2018
Journal of Materials Chemistry A,10.733,2018
Information Fusion,10.716,2018
PROCEEDINGS OF THE IEEE,10.694,2018
Molecular Cancer,10.679,2018
JAMA Surgery,10.668,2018
Advances in Applied Mechanics,10.667,2018
PROGRESS IN NEUROBIOLOGY,10.658,2018
ACADEMY OF MANAGEMENT REVIEW,10.632,2018
TRENDS IN GENETICS,10.627,2018
EMBO Molecular Medicine,10.624,2018
Nature Human Behaviour,10.575,2018
Nature Human Behaviour,10.575,2018
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,10.556,2018
Science Immunology,10.551,2018
SLEEP MEDICINE REVIEWS,10.517,2018
Nature Astronomy,10.5,2018
IEEE Transactions on Smart Grid,10.486,2018
Microbiome,10.465,2018
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.427,2018
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,10.427,2018
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,10.405,2018
AGEING RESEARCH REVIEWS,10.39,2018
IEEE Transactions on Cybernetics,10.387,2018
IEEE COMMUNICATIONS MAGAZINE,10.356,2018
THORAX,10.307,2018
BIOLOGICAL REVIEWS,10.288,2018
BIOMATERIALS,10.273,2018
PSYCHOLOGICAL INQUIRY,10.273,2018
SYSTEMATIC BIOLOGY,10.266,2018
Annual Review of Microbiology,10.242,2018
AMERICAN JOURNAL OF GASTROENTEROLOGY,10.241,2018
JNCI-Journal of the National Cancer Institute,10.211,2018
Annual Review of Phytopathology,10.2,2018
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,10.172,2018
CHEMISTRY OF MATERIALS,10.159,2018
Annual Review of Medicine,10.091,2018
NEURO-ONCOLOGY,10.091,2018
GENOME RESEARCH,9.944,2018
LEUKEMIA,9.944,2018
AMERICAN JOURNAL OF HUMAN GENETICS,9.924,2018
CLINICAL PSYCHOLOGY REVIEW,9.904,2018
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,9.903,2018
Molecular Systems Biology,9.8,2018
MEDICINAL RESEARCH REVIEWS,9.791,2018
TRENDS IN ENDOCRINOLOGY AND METABOLISM,9.777,2018
IEEE Geoscience and Remote Sensing Magazine,9.659,2018
SEMINARS IN CANCER BIOLOGY,9.658,2018
CHEST,9.657,2018
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,9.58,2018
Annual Review of Chemical and Biomolecular Engineering,9.569,2018
Chemical Science,9.556,2018
JACC-Cardiovascular Interventions,9.544,2018
EARTH-SCIENCE REVIEWS,9.53,2018
BIOSENSORS & BIOELECTRONICS,9.518,2018
IEEE Internet of Things Journal,9.515,2018
ANNALS OF NEUROLOGY,9.496,2018
ISME Journal,9.493,2018
ANNALS OF SURGERY,9.476,2018
GREEN CHEMISTRY,9.405,2018
PHARMACOLOGY & THERAPEUTICS,9.396,2018
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,9.36,2018
Analytic Methods in Accident Research,9.333,2018
Nature Reviews Urology,9.333,2018
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,9.302,2018
Optica,9.263,2018
Annual Review of Earth and Planetary Sciences,9.235,2018
PHYSICAL REVIEW LETTERS,9.227,2018
STUDIES IN MYCOLOGY,9.206,2018
npj Computational Materials,9.2,2018
CURRENT BIOLOGY,9.193,2018
DEVELOPMENTAL CELL,9.19,2018
Annual Review of Genetics,9.184,2018
Cold Spring Harbor Perspectives in Biology,9.11,2018
Ocular Surface,9.108,2018
BRIEFINGS IN BIOINFORMATICS,9.101,2018
Nanoscale Horizons,9.095,2018
Health Psychology Review,9.07,2018
MASS SPECTROMETRY REVIEWS,9.068,2018
JOURNAL OF MANAGEMENT,9.056,2018
Laser & Photonics Reviews,9.056,2018
CLINICAL INFECTIOUS DISEASES,9.055,2018
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,9.052,2018
Nano-Micro Letters,9.043,2018
Arthritis & Rheumatology,9.002,2018
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,9,2018
GENES & DEVELOPMENT,8.99,2018
REVIEW OF EDUCATIONAL RESEARCH,8.985,2018
CLINICAL CANCER RESEARCH,8.911,2018
JACC-Heart Failure,8.91,2018
JOURNAL OF CELL BIOLOGY,8.891,2018
Trends in Cancer,8.884,2018
GLOBAL CHANGE BIOLOGY,8.88,2018
MEDICAL IMAGE ANALYSIS,8.88,2018
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,8.848,2018
PROGRESS IN SURFACE SCIENCE,8.762,2018
IEEE TRANSACTIONS ON FUZZY SYSTEMS,8.759,2018
Reviews in Mineralogy & Geochemistry,8.745,2018
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,8.738,2018
Social Issues and Policy Review,8.733,2018
Journal of Hematology & Oncology,8.731,2018
Journal for ImmunoTherapy of Cancer,8.728,2018
Annual Review of Analytical Chemistry,8.721,2018
ECOLOGY LETTERS,8.699,2018
NEUROLOGY,8.689,2018
GENETICS IN MEDICINE,8.683,2018
Cell Systems,8.64,2018
PLANT CELL,8.631,2018
Cancer Immunology Research,8.619,2018
Annual Review of Environment and Resources,8.617,2018
Annual Review of Environment and Resources,8.617,2018
JOURNAL OF HEART AND LUNG TRANSPLANTATION,8.578,2018
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,8.547,2018
CURRENT OPINION IN CHEMICAL BIOLOGY,8.544,2018
TRENDS IN FOOD SCIENCE & TECHNOLOGY,8.519,2018
Nano Research,8.515,2018
Annual Review of Food Science and Technology,8.511,2018
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,8.508,2018
ORGANIZATION & ENVIRONMENT,8.5,2018
ACS Applied Materials & Interfaces,8.456,2018
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,8.428,2018
APPLIED ENERGY,8.426,2018
Annual Review of Nutrition,8.422,2018
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,8.418,2018
MOLECULAR THERAPY,8.402,2018
PLOS BIOLOGY,8.386,2018
