type,timediff,n_items
open,-348,2
closed,110,106
closed,-81,23
closed,150,102
open,-248,1
closed,-24,73
closed,53,298
closed,250,51
closed,193,96
open,465,145
closed,587,7
closed,176,84
closed,-150,3
open,225,140
closed,276,46
open,-217,2
open,-6,837
open,-457,1
closed,219,106
open,439,48
open,-46,71
open,339,129
open,299,201
open,-89,32
open,-991,1
closed,-233,4
open,199,81
closed,-316,2
open,567,20
open,-189,2
open,-272,4
open,-566,3
open,173,399
closed,428,19
closed,-48,39
open,-215,7
closed,117,121
closed,568,12
closed,411,53
open,-255,1
closed,511,19
open,401,110
closed,3,3972
open,498,75
closed,-74,31
closed,611,1
open,7,9408
closed,200,73
closed,43,839
closed,-17,102
closed,243,67
open,415,90
closed,537,12
closed,-157,2
open,432,85
closed,326,63
closed,-240,2
open,-56,78
closed,-200,1
closed,563,9
open,192,156
open,349,106
open,-39,62
closed,212,120
closed,-226,3
open,149,136
closed,195,75
open,306,128
open,-82,39
open,-122,24
closed,41,753
open,617,6
closed,-209,2
open,517,23
open,-25,164
open,280,223
open,631,26
closed,67,515
closed,518,11
closed,-41,80
open,-108,32
open,-265,3
open,197,155
closed,50,495
open,-1093,1
open,391,143
open,448,95
open,291,123
closed,-7,218
open,348,194
closed,133,233
closed,76,337
open,-782,1
open,-174,18
open,-257,1
closed,470,26
closed,19,1909
open,265,287
open,-668,3
open,322,107
closed,102,165
open,222,146
closed,259,49
open,-357,5
open,25,3164
closed,-133,11
open,182,226
closed,-116,8
closed,-273,2
open,239,83
closed,145,152
closed,185,199
open,139,178
open,550,19
open,-72,56
closed,285,153
closed,579,6
open,607,14
open,-409,1
closed,-142,3
closed,368,22
open,524,25
open,-55,120
open,367,71
open,424,43
closed,451,15
open,481,45
open,-1000,1
open,-549,2
open,284,179
closed,-268,2
closed,551,13
closed,337,39
open,241,99
closed,-114,6
closed,477,16
open,258,162
closed,-57,19
closed,-40,58
open,315,153
open,158,250
open,-150,7
closed,-451,4
closed,69,320
open,-618,1
open,-167,1
closed,109,125
closed,560,8
open,175,183
closed,-83,26
closed,52,366
closed,209,64
open,272,304
open,-250,2
closed,603,4
open,289,159
closed,95,186
open,-233,8
closed,135,95
closed,292,39
closed,78,403
open,49,1117
closed,178,79
open,106,643
open,-105,15
open,-8,602
open,63,865
closed,361,67
open,531,96
open,334,63
open,274,147
closed,638,1
closed,16,1757
closed,467,12
closed,370,36
open,-297,3
closed,410,56
open,-140,9
open,599,17
open,108,185
open,-197,1
open,8,7314
open,459,45
open,-183,2
closed,42,873
closed,-73,27
closed,436,71
open,376,83
closed,379,40
closed,536,5
open,-266,6
open,22,3419
closed,479,15
open,-323,9
closed,-139,1
closed,619,3
open,390,206
closed,111,136
open,-38,125
closed,151,186
closed,-125,7
open,307,166
closed,194,99
open,267,157
open,-532,1
closed,294,56
open,618,4
open,324,175
closed,-308,7
open,381,46
closed,-251,1
closed,434,29
open,635,4
open,-24,164
closed,377,82
open,-147,23
closed,417,22
closed,320,62
open,41,1998
open,198,128
closed,460,17
open,-50,135
open,155,485
closed,543,16
open,-741,5
closed,-6,333
open,72,695
closed,364,35
open,-545,4
closed,-238,1
closed,307,44
open,311,235
open,-151,7
open,-77,59
closed,-321,2
open,111,501
closed,333,96
closed,-10,175
open,-160,1
open,-20,183
closed,79,303
open,-471,1
open,-203,5
open,85,513
open,536,12
closed,573,3
open,-103,9
open,-343,3
open,396,49
open,553,16
open,453,91
open,-146,32
open,413,92
closed,148,150
open,59,683
closed,-119,18
open,470,42
closed,-62,26
open,-18,175
closed,74,186
open,427,38
closed,231,64
closed,-145,1
closed,271,55
closed,-105,26
closed,-88,12
closed,314,52
open,-412,1
open,-101,24
open,301,191
closed,397,35
open,-127,18
closed,-271,1
open,-438,1
open,318,119
open,161,262
open,612,11
closed,283,108
open,218,268
closed,480,16
open,-170,2
closed,-314,1
closed,383,74
open,-227,1
closed,-397,5
open,-153,7
closed,366,42
closed,72,219
closed,466,14
open,603,4
closed,-86,13
open,52,711
closed,-69,16
open,503,88
closed,155,138
closed,98,189
open,560,69
closed,138,188
open,363,112
open,9,6067
closed,81,257
closed,238,72
closed,181,139
open,377,131
open,-462,1
open,-51,75
closed,-352,1
closed,224,58
open,394,79
closed,-589,3
open,137,128
closed,-572,1
closed,541,7
closed,247,39
open,37,1771
closed,190,91
closed,-161,3
open,-371,1
open,54,1159
closed,-104,12
open,505,28
closed,173,75
closed,330,31
open,405,50
closed,273,45
closed,-795,4
open,11,4697
open,619,4
open,519,65
open,-60,49
closed,356,106
open,379,111
closed,456,35
open,279,224
open,-29,154
open,-226,3
open,-86,27
open,336,164
closed,-2,619
closed,88,252
closed,382,47
closed,-453,7
open,-580,1
open,-129,17
closed,-356,1
open,310,131
closed,171,174
closed,14,2837
open,270,204
open,621,7
closed,57,406
closed,254,69
closed,-128,4
open,538,25
closed,591,8
open,144,187
open,-435,4
open,-886,1
open,44,1215
closed,280,84
open,4,11915
closed,-254,1
closed,634,5
closed,223,90
closed,380,49
open,355,91
closed,-197,1
closed,-294,1
open,-10,657
closed,363,21
open,569,9
closed,-237,7
closed,12,2433
open,429,33
closed,406,37
open,-93,23
open,35,2674
open,346,194
closed,489,32
open,-670,1
closed,-306,2
open,-219,3
closed,432,69
open,614,12
closed,64,345
closed,515,19
closed,-95,7
open,220,223
closed,458,22
closed,-235,1
closed,615,1
open,-345,2
open,-188,1
closed,558,8
closed,107,195
closed,-4,457
open,117,234
closed,30,1155
open,585,10
open,134,265
closed,524,15
open,388,54
open,-254,6
open,34,1976
closed,-87,14
open,345,172
closed,567,8
closed,-170,4
closed,256,126
open,-26,175
closed,-270,2
open,262,90
open,319,139
closed,182,88
closed,339,32
closed,633,5
open,-109,54
open,630,34
closed,282,45
closed,-196,1
open,79,363
open,236,124
closed,422,19
open,293,96
open,136,240
open,547,14
open,96,421
closed,-536,2
open,153,256
closed,505,14
closed,54,400
open,504,87
open,53,965
open,210,237
open,-178,3
open,521,35
open,-235,2
open,-589,1
closed,137,228
closed,491,19
open,578,12
open,-418,1
open,478,82
closed,180,151
open,84,614
open,-304,5
closed,-80,25
closed,263,56
open,-287,1
open,1,61845
closed,49,522
closed,-120,6
closed,600,1
closed,-220,7
closed,207,75
open,605,2
open,211,181
closed,447,20
open,622,59
closed,390,52
open,268,118
open,-37,160
open,71,726
closed,430,42
open,168,199
open,128,244
open,579,5
closed,530,8
open,-177,2
closed,22,1854
closed,473,8
open,28,3325
open,636,53
closed,-93,22
closed,62,467
closed,416,34
closed,162,112
open,496,31
closed,105,235
open,2,24355
closed,499,10
open,159,167
open,-386,1
open,510,30
closed,131,129
open,527,26
closed,582,5
closed,-5,449
closed,525,13
open,287,155
open,187,192
open,-44,93
open,-652,4
closed,-171,2
open,104,483
open,555,58
closed,497,20
open,-27,123
open,572,54
open,-184,2
closed,440,67
open,178,200
open,472,44
closed,29,1599
open,-621,1
open,235,245
open,78,541
closed,423,25
open,529,26
closed,523,6
open,135,142
open,586,22
closed,15,2242
open,446,92
open,-196,1
open,-236,5
closed,-537,5
closed,449,23
open,-253,3
closed,-29,59
open,109,241
closed,-169,2
closed,-12,167
closed,549,7
open,-279,1
closed,-112,4
open,420,64
open,-179,1
open,26,2946
closed,632,1
closed,124,156
closed,575,7
open,337,83
closed,321,82
open,237,122
open,-362,1
open,-34,106
open,234,111
closed,90,278
open,194,128
closed,641,2
open,545,15
open,94,682
open,-117,13
open,602,11
open,-428,5
open,562,18
closed,216,168
closed,413,32
open,68,882
open,-143,5
closed,316,62
closed,-330,1
closed,299,37
open,436,48
closed,45,527
closed,399,48
open,42,1993
open,-694,1
open,296,78
closed,-19,95
open,393,137
open,-112,24
open,353,148
open,196,210
closed,-102,12
open,-169,10
open,410,56
closed,71,450
closed,-45,98
closed,425,23
open,-252,4
open,213,121
closed,-339,1
closed,622,1
closed,465,38
closed,-85,8
closed,114,272
closed,154,106
open,170,104
open,227,217
closed,97,204
open,638,2
open,87,331
closed,-71,14
closed,297,114
open,-67,63
open,455,79
closed,-97,6
open,-321,2
open,-478,2
open,512,36
open,-110,40
closed,166,80
closed,323,42
closed,617,1
open,118,266
closed,266,93
open,18,3931
open,469,107
closed,306,57
closed,-180,1
open,-53,52
open,-504,13
open,-176,79
open,-79,27
open,-530,3
closed,-463,3
closed,589,2
open,203,364
closed,121,212
closed,572,3
open,-302,4
closed,475,15
open,-162,7
open,-319,1
closed,-135,3
closed,7,3310
closed,-38,46
open,277,99
closed,-472,1
closed,-178,1
open,-245,4
open,628,6
closed,130,113
open,-268,2
closed,-44,92
closed,73,261
open,-411,1
open,485,18
open,288,184
closed,213,92
open,-337,3
closed,607,1
closed,-130,5
closed,99,196
open,362,94
closed,550,23
open,-477,1
closed,-113,9
closed,239,135
open,-731,1
open,-69,46
open,179,116
open,-126,16
closed,265,60
closed,365,123
open,-52,82
closed,-239,2
closed,308,49
open,-95,18
closed,448,17
closed,605,4
closed,-68,17
open,561,24
open,110,274
open,70,943
closed,391,64
open,421,107
closed,40,829
closed,80,324
closed,531,13
open,27,3428
open,-121,30
open,-278,2
closed,-545,1
closed,-54,54
closed,631,2
open,338,61
closed,574,4
closed,163,114
open,395,80
closed,-999,1
closed,206,64
open,352,86
closed,246,54
closed,149,106
open,312,173
open,269,147
open,-413,1
open,326,103
open,0,71995
open,451,109
closed,561,13
closed,404,28
open,508,34
