type,timediff,n_items
closed,355,51
closed,547,21
closed,161,160
closed,278,53
closed,169,96
closed,-168,2
closed,470,26
closed,9,2292
closed,630,6
closed,530,8
closed,587,7
closed,195,75
closed,301,92
closed,-145,1
closed,544,15
closed,52,366
closed,444,34
closed,-345,1
closed,427,33
closed,521,8
closed,212,120
closed,-219,1
closed,218,145
closed,318,42
closed,613,1
closed,619,3
closed,126,211
closed,321,82
closed,35,1381
closed,129,129
closed,-795,4
closed,-85,8
closed,-577,1
closed,553,6
closed,504,63
closed,-254,1
closed,304,45
closed,-42,75
closed,-237,7
closed,144,140
closed,-352,1
closed,336,116
closed,-452,12
closed,453,68
closed,405,15
closed,236,69
closed,-160,2
closed,-20,110
closed,-220,7
closed,319,70
closed,468,37
closed,413,32
closed,536,5
closed,-412,1
closed,-435,1
closed,505,14
closed,-194,1
closed,585,11
closed,44,669
closed,293,100
closed,-51,51
closed,1,14927
closed,379,40
closed,571,7
closed,93,214
closed,310,101
closed,210,104
closed,279,53
closed,611,1
closed,-77,16
closed,-326,1
closed,270,54
closed,519,5
closed,-269,7
closed,176,84
closed,84,332
closed,153,98
closed,-226,3
closed,-60,23
closed,-103,9
closed,-589,3
closed,-346,6
closed,4,3650
closed,396,61
closed,119,163
closed,96,177
closed,-118,4
closed,-304,3
closed,188,144
closed,311,42
closed,503,14
closed,-235,1
closed,79,303
closed,411,53
closed,328,33
closed,19,1909
closed,614,2
closed,171,174
closed,-26,45
closed,36,1151
closed,-129,7
closed,-178,1
closed,560,8
closed,85,280
closed,-86,13
closed,136,174
closed,62,467
closed,603,4
closed,554,1
closed,-447,1
closed,262,40
closed,-209,2
closed,454,21
closed,377,82
closed,162,112
closed,-29,59
closed,76,337
closed,59,342
closed,437,44
closed,-109,5
closed,580,6
closed,-301,2
closed,53,298
closed,-146,1
closed,388,60
closed,145,152
closed,637,4
closed,494,26
closed,345,38
closed,394,35
closed,286,115
closed,-93,22
closed,117,121
closed,478,23
closed,612,1
closed,-170,4
closed,-18,120
closed,363,21
closed,-227,6
closed,-270,2
closed,-153,6
closed,-10,175
closed,134,252
closed,34,1667
closed,11,2314
closed,111,136
closed,54,400
closed,538,15
closed,346,102
closed,589,2
closed,569,16
closed,-545,1
closed,-453,7
closed,429,31
closed,220,159
closed,-313,2
closed,621,1
closed,-127,9
closed,369,35
closed,37,869
closed,578,58
closed,137,228
closed,-101,6
closed,343,55
closed,-116,8
closed,401,46
closed,524,15
closed,192,203
closed,501,75
closed,284,58
closed,315,52
closed,424,13
closed,175,112
closed,324,28
closed,-122,7
closed,-82,39
closed,158,185
closed,607,1
closed,-108,4
closed,556,10
closed,-39,128
closed,481,52
closed,-88,12
closed,550,23
closed,-543,1
closed,72,219
closed,473,8
closed,258,93
closed,381,95
closed,-357,1
closed,32,1413
closed,-265,1
closed,-73,27
closed,567,8
closed,272,40
closed,-25,130
closed,367,25
closed,390,52
closed,106,273
closed,155,138
closed,-56,77
closed,-105,26
closed,63,345
closed,241,53
closed,49,522
closed,198,76
closed,149,106
closed,359,76
closed,307,44
closed,267,66
closed,-183,1
closed,376,35
closed,-174,1
closed,322,40
closed,173,75
closed,81,257
closed,-8,275
closed,-180,1
closed,-157,2
closed,38,713
closed,599,9
closed,7,3310
closed,634,5
closed,342,64
closed,299,37
closed,239,135
closed,-140,8
closed,164,246
closed,-163,2
closed,465,38
closed,124,156
closed,439,21
closed,416,34
closed,-415,3
closed,608,4
closed,133,233
closed,459,23
closed,631,2
closed,41,753
closed,551,13
closed,290,38
closed,339,32
closed,247,39
closed,-197,1
closed,-189,1
closed,-89,11
closed,334,50
closed,357,39
closed,457,8
closed,265,60
closed,-72,24
closed,25,1380
closed,-390,1
closed,440,67
closed,391,64
closed,105,235
closed,-106,14
closed,483,19
closed,540,4
closed,291,64
closed,-490,1
closed,-6,333
closed,-192,1
closed,-55,26
closed,199,68
closed,448,17
closed,348,45
closed,-46,42
closed,617,1
closed,139,188
