country,type,n_items,n_blog,n_facebook,n_news,n_policy,n_twitter,n_wikipedia
AD,open,9,0,3,1,0,8,0
AD,closed,13,0,0,0,0,4,0
AE,open,1752,106,183,88,14,900,24
AE,closed,4953,71,240,87,32,1245,48
AF,open,55,1,6,6,1,34,1
AF,closed,60,1,6,2,3,32,0
AG,open,4,0,1,0,1,5,0
AG,closed,2,0,0,0,0,1,0
AI,open,3,0,0,0,0,2,0
AI,closed,5,0,0,0,0,1,0
AL,open,151,2,8,1,1,38,0
AL,closed,223,8,8,5,2,62,1
AM,open,1156,121,259,115,5,1031,24
AM,closed,1702,7,27,8,1,148,8
AN,open,8,1,6,0,0,9,0
AN,closed,20,2,5,2,0,17,1
AO,open,63,2,16,6,2,45,0
AO,closed,44,1,5,2,0,17,2
AR,open,13645,619,1635,377,97,6102,349
AR,closed,27655,421,1795,338,137,7737,638
AT,open,24597,1992,3630,2536,319,14709,760
AT,closed,28514,888,2199,1103,388,9436,391
AU,open,89276,9740,19211,10929,4107,61461,3064
AU,closed,167453,8042,21481,9880,6215,78592,3002
AW,open,1,0,0,0,0,0,0
AW,closed,4,0,0,0,0,1,0
AZ,open,248,1,24,4,0,86,2
AZ,closed,1462,3,18,5,3,80,6
BA,open,614,4,21,5,3,112,3
BA,closed,644,10,26,8,6,127,5
BB,open,71,3,13,6,4,47,0
BB,closed,152,5,9,6,10,46,0
BD,open,2375,90,286,105,100,1309,56
BD,closed,3910,61,244,63,72,951,31
BE,open,31361,2145,4810,2008,691,20940,903
BE,closed,48582,1427,4159,1400,765,19651,703
BF,open,401,31,62,25,30,288,5
BF,closed,445,8,22,3,9,119,2
BG,open,1962,68,126,34,7,662,32
BG,closed,4410,26,141,43,17,713,29
BH,open,154,9,23,7,3,77,9
BH,closed,299,3,17,4,4,78,4
BI,open,23,5,6,1,3,18,1
BI,closed,35,0,4,0,0,14,0
BJ,open,341,17,49,17,11,236,4
BJ,closed,465,11,41,3,7,145,11
BM,open,25,13,6,5,0,12,2
BM,closed,26,2,6,2,1,19,0
BN,open,111,6,12,6,1,45,3
BN,closed,292,7,16,2,2,76,5
BO,open,156,18,42,14,7,109,11
BO,closed,215,11,26,7,4,99,4
BQ,closed,1,0,1,0,0,1,0
BR,open,109066,2904,11523,2525,550,34625,1275
BR,closed,126901,2077,9762,2122,658,35089,1095
BS,open,22,3,13,5,0,23,2
BS,closed,49,2,19,1,1,35,2
BT,open,68,5,18,6,7,56,5
BT,closed,59,3,12,1,4,25,1
BW,open,282,22,82,30,13,217,4
BW,closed,453,18,62,12,11,178,0
BY,open,501,11,43,11,2,206,7
BY,closed,3008,4,32,14,2,171,7
BZ,open,9,1,7,2,0,13,0
BZ,closed,13,1,4,0,0,7,1
CA,open,97212,9011,18698,9222,2188,63515,2980
CA,closed,188563,7778,21039,7943,2884,80348,2667
CD,open,229,20,65,10,14,172,6
CD,closed,287,9,48,7,9,158,7
CF,open,41,3,10,4,1,36,1
CF,closed,21,0,3,0,0,5,0
CG,open,81,6,13,4,6,61,0
CG,closed,86,7,6,2,1,31,1
CH,open,50595,4826,8634,4945,1162,33879,1594
CH,closed,51076,2455,5194,2619,843,21943,881
CI,open,302,20,42,16,12,205,4
CI,closed,450,7,19,6,4,112,4
CK,open,0,0,1,0,0,1,0
CK,closed,3,0,0,0,0,2,0
CL,open,15092,820,1635,547,78,6830,342
CL,closed,13940,325,934,264,133,4484,189
CM,open,1154,47,173,40,23,656,13
CM,closed,1919,32,67,11,27,410,5
CN,open,472189,11692,28004,13290,1720,171473,4875
CN,closed,1201771,10955,27341,13693,2495,193770,4790
CO,open,6150,264,881,206,71,2747,90
CO,closed,8590,162,620,133,69,2664,111
CR,open,577,50,123,42,20,306,18
CR,closed,840,34,121,27,29,350,15
CU,open,855,23,74,30,6,359,15
CU,closed,1693,23,79,24,12,545,16
CV,open,14,2,2,1,0,9,0
CV,closed,14,1,3,2,0,5,1
CW,open,2,2,4,2,0,5,0
CW,closed,6,1,2,0,0,5,0
CY,open,1122,56,132,49,19,599,15
CY,closed,2561,38,158,37,35,675,20
CZ,open,16849,621,1454,462,73,6943,389
CZ,closed,30243,461,1580,383,110,7603,376
DE,open,173457,14142,24677,15218,2294,109415,4998
DE,closed,283345,8604,21669,10894,2847,93603,3762
DJ,open,8,0,0,1,0,6,0
DJ,closed,20,0,2,0,0,9,4
DK,open,30085,2622,5306,2933,745,19018,842
DK,closed,37117,1617,4370,1911,749,17133,540
DM,open,14,1,4,2,0,9,2
DM,closed,15,3,4,0,0,10,2
DO,open,46,0,3,2,1,23,1
DO,closed,72,2,11,2,3,33,1
DZ,open,2653,22,111,49,4,562,26
DZ,closed,12063,23,226,33,9,951,21
EC,open,914,76,215,73,8,603,31
EC,closed,1329,47,212,36,11,670,28
EE,open,2122,162,296,91,21,1056,74
EE,closed,4105,105,295,61,20,1164,78
EG,open,8579,223,767,223,66,3365,86
EG,closed,32069,233,1440,344,177,6289,166
ER,open,21,5,2,1,0,15,1
ER,closed,26,0,2,1,0,9,0
ES,open,110499,5780,15496,6902,1085,57414,2030
ES,closed,148271,3306,12295,4609,1478,52030,1376
ET,open,2924,232,400,87,59,1921,33
ET,closed,1929,69,101,47,51,663,30
