author_country,policy_country,n_items
US,US,14270
GB,GB,5510
US,GB,5222
AU,AU,4688
US,CH,4541
US,AU,3936
NL,NL,2169
GB,AU,2078
GB,CH,1959
US,IT,1571
US,NL,1544
GB,US,1172
CH,CH,973
AU,GB,942
NL,GB,840
CA,GB,803
DE,GB,760
AU,CH,708
GB,NL,706
US,DE,651
GB,IT,629
CA,AU,561
CA,US,519
CN,GB,511
FR,GB,510
NL,AU,496
NL,CH,476
CA,CH,446
IT,GB,420
DE,AU,419
ES,GB,396
AU,US,391
CN,CH,388
SE,GB,379
DE,US,373
NZ,AU,367
GB,LU,364
ZA,CH,359
FR,CH,353
US,LU,349
DE,DE,344
AU,IT,339
IT,IT,336
FR,IT,334
NL,US,326
DE,CH,311
IN,CH,299
DE,IT,299
GB,DE,298
JP,GB,292
IT,LU,270
NL,IT,269
KR,GB,256
US,CA,255
AU,NL,254
FR,US,250
DK,GB,249
CH,AU,245
CH,GB,233
DE,NL,231
SE,AU,230
BR,US,230
IT,US,216
NO,GB,210
BE,GB,202
ES,CH,199
CH,US,199
BR,CH,193
IT,AU,191
CN,US,187
CN,IT,185
CA,IT,182
FR,AU,181
CA,NL,174
SE,IT,174
IT,CH,173
CN,AU,172
BR,GB,171
FR,NL,165
SE,NL,164
BE,CH,163
SE,US,159
NL,DE,158
ES,IT,157
SE,CH,155
ID,IT,154
DE,LU,151
IT,NL,150
ES,US,148
JP,CH,143
KE,IT,138
TW,GB,136
AT,AU,134
TH,CH,133
ES,AU,132
NL,LU,131
BE,NL,128
DK,US,128
CN,NL,125
IE,GB,124
NO,AU,122
NO,CH,120
BR,IT,115
CH,IT,114
NZ,GB,113
CA,DE,112
DK,CH,112
FI,AU,112
TR,GB,110
KR,CH,108
AT,GB,107
DK,AU,107
CH,NL,106
BE,AU,106
ES,LU,104
AU,DE,103
ES,NL,101
SI,CH,98
CA,CA,96
IN,US,94
DK,IT,91
IL,GB,90
NO,IT,89
DK,NL,87
NZ,CH,87
PK,CH,85
ZA,IT,84
IN,GB,83
US,BE,82
JP,US,79
IT,DE,79
KE,CH,79
LK,CH,78
FI,GB,78
BE,LU,77
SA,CH,75
BR,AU,75
NO,US,74
MW,CH,73
AT,NL,71
FR,DE,70
FR,LU,69
IE,US,68
AU,LU,68
UG,CH,67
BD,CH,66
SG,CH,65
BE,US,65
FI,CH,64
BE,IT,64
GB,CA,63
ZA,AU,63
CH,LU,62
IN,IT,61
AT,US,60
CO,US,60
MX,IT,60
US,FR,60
EG,GB,60
KR,US,59
US,CI,58
KE,US,58
MX,CH,57
NZ,IT,54
JP,AU,54
ID,CH,51
IE,AU,51
TZ,CH,51
ZA,US,51
DK,DE,51
SE,LU,50
GR,IT,49
CN,DE,48
FI,US,48
JP,NL,48
AT,CH,48
GH,CH,48
IR,GB,48
NO,NL,46
PL,GB,46
CH,DE,46
ET,IT,46
GR,AU,46
US,AE,46
CM,IT,45
SG,GB,44
FI,IT,44
ZA,GB,44
ES,DE,44
AR,IT,43
BE,DE,43
GR,GB,43
CL,IT,43
NZ,US,42
IL,CH,42
CA,LU,42
IL,US,41
IL,AU,41
PL,CH,40
MY,CH,40
JP,DE,39
TR,CH,39
GR,CH,39
NG,CH,39
KR,AU,39
MX,AU,39
PG,CH,39
JP,IT,39
US,ET,39
IE,CH,38
DK,LU,38
KR,NL,38
FI,NL,38
AT,LU,37
CO,IT,37
PH,CH,37
AR,CH,37
SC,IT,37
PK,US,37
VN,CH,36
PT,GB,36
DE,AE,36
BR,DE,36
TW,CH,35
PT,AU,35
BR,NL,34
GR,US,34
IN,AU,34
DE,CA,33
EG,CH,33
ET,CH,33
TW,US,32
CN,LU,32
PF,CH,31
NZ,NL,30
AT,IT,30
GB,ES,30
CO,CH,29
ZW,IT,29
GB,BE,28
SG,AU,27
CZ,GB,27
PL,US,27
CY,AU,27
SG,US,27
CL,AU,27
CN,CA,27
IN,NL,26
NP,CH,26
SA,IT,26
TW,DE,26
MY,AU,26
TW,AU,26
CR,IT,26
ZM,CH,25
GB,AE,25
IL,NL,24
AU,CA,24
PL,AU,23
TH,IT,23
PT,IT,23
MY,IT,23
GR,LU,23
MX,US,23
TH,GB,22
PE,CH,22
GB,CI,22
TR,US,22
ML,CH,22
KR,IT,21
SY,CH,21
NL,CA,21
IE,NL,21
CZ,CH,20
SA,US,20
TN,IT,20
GB,FR,20
NL,AE,20
SG,IT,20
TH,US,20
CL,US,20
MX,GB,20
IL,IT,19
IE,LU,19
NO,LU,19
IE,IT,19
SE,DE,19
BF,CH,19
RO,GB,19
IL,DE,19
JO,CH,19
US,TH,19
IR,CH,19
NZ,LU,18
PT,CH,18
FI,DE,18
LU,CH,18
NO,DE,18
DK,ES,18
PL,NL,17
GR,DE,17
CL,CH,17
BD,US,17
US,ES,17
US,IE,17
PE,IT,17
TR,DE,16
KE,AU,16
MY,NL,16
LB,GB,16
CZ,NL,16
KR,DE,16
AT,DE,16
PH,IT,16
LA,CH,16
FR,CA,16
TW,NL,16
SN,IT,15
SE,AE,15
NZ,DE,15
GB,ET,15
TN,CH,14
KH,CH,14
AR,AU,14
CM,CH,14
GB,IE,14
DE,BE,14
SD,CH,14
GR,NL,14
HU,GB,14
JP,LU,14
CO,AU,14
LB,CH,14
NC,IT,14
CO,GB,13
RW,CH,13
PT,US,13
SE,CA,13
ZW,CH,13
AR,US,13
TW,IT,13
IT,BE,13
PT,LU,12
PT,NL,12
SA,GB,12
FR,IE,12
BD,IT,12
NL,FR,12
SN,CH,12
GM,CH,12
CD,CH,12
RU,CH,12
CI,CH,12
IE,DE,12
FI,LU,12
IS,GB,12
MW,IT,11
PF,US,11
PH,US,11
NL,BE,11
BR,LU,11
HU,AU,11
AU,FR,11
HR,GB,11
EG,US,11
NO,CA,11
IN,LU,11
BJ,CH,11
AR,GB,10
SA,AU,10
RU,GB,10
ZM,IT,10
RU,US,10
CZ,US,10
BR,FR,10
PK,AU,9
CL,GB,9
TR,NL,9
KE,NL,9
TR,AU,9
CL,FR,9
FR,BE,9
IR,DE,9
MA,IT,9
