author_country,policy_country,n_items,type
ZA,LU,2,closed
RS,CH,1,closed
MX,NL,5,closed
PE,AU,1,closed
CH,AU,112,closed
PH,CA,1,closed
CY,LU,4,closed
CZ,GB,9,closed
LB,GB,14,closed
GR,DE,13,closed
JO,IT,6,closed
UY,AU,4,closed
ZA,ET,2,closed
AU,LU,50,closed
JP,IE,3,closed
ZA,CA,3,closed
NZ,IT,33,closed
BR,LU,6,closed
BR,AE,5,closed
CD,CH,6,closed
DE,FR,2,closed
JP,NL,30,closed
SN,CH,2,closed
JP,US,39,closed
TR,US,8,closed
BE,NL,65,closed
PT,IE,3,closed
PK,NL,3,closed
PT,CH,4,closed
TH,CH,53,closed
GB,CH,543,closed
IN,US,52,closed
MY,IT,7,closed
BR,CH,66,closed
DE,CA,20,closed
TR,GB,78,closed
ET,NL,1,closed
US,CI,26,closed
BE,BE,5,closed
CZ,DE,1,closed
FR,CI,1,closed
RO,GB,10,closed
FR,ET,1,closed
PH,TH,2,closed
ZW,US,1,closed
BA,CH,1,closed
MY,CA,2,closed
NP,CH,4,closed
SA,IT,10,closed
CL,CH,10,closed
FR,US,100,closed
MG,NL,2,closed
BR,NL,11,closed
US,US,3992,closed
CY,AU,25,closed
SE,DE,11,closed
ZA,IT,52,closed
MY,US,3,closed
LU,LU,3,closed
AR,US,3,closed
PF,CH,5,closed
GH,IT,2,closed
PG,AU,3,closed
CN,LU,19,closed
SE,AE,10,closed
IS,IT,1,closed
SE,GB,165,closed
IE,IT,12,closed
NZ,US,33,closed
SG,LU,2,closed
AR,DE,4,closed
PL,US,5,closed
FR,BE,1,closed
HU,AU,5,closed
RU,DE,2,closed
IR,US,5,closed
DE,GB,406,closed
IE,CA,1,closed
ES,ET,1,closed
AT,TH,1,closed
US,ET,13,closed
IR,DE,7,closed
UY,CH,2,closed
ID,GB,3,closed
PH,AU,1,closed
IT,AE,4,closed
QA,GB,3,closed
IL,US,19,closed
TZ,DE,1,closed
FI,DE,14,closed
EG,IT,2,closed
ZM,AU,2,closed
NL,LU,85,closed
LB,US,2,closed
VN,CH,8,closed
US,BE,27,closed
UG,AU,5,closed
AT,CH,21,closed
NE,CH,1,closed
CR,CH,1,closed
BR,ET,1,closed
SD,GB,2,closed
NE,DE,1,closed
CH,IT,37,closed
AT,CI,1,closed
GA,US,1,closed
UA,CH,2,closed
SE,LU,28,closed
MA,IT,4,closed
US,DE,317,closed
CA,IE,3,closed
IR,IT,2,closed
CA,CA,63,closed
SI,LU,2,closed
PT,LU,5,closed
NO,IT,26,closed
CN,CI,2,closed
IT,BE,5,closed
MA,GB,2,closed
NZ,DE,12,closed
KZ,AU,1,closed
VN,US,1,closed
JO,GB,4,closed
ZA,CH,89,closed
BA,LU,1,closed
US,RU,1,closed
AT,CA,2,closed
BD,US,5,closed
GB,FR,4,closed
CN,DE,39,closed
GR,AU,44,closed
CU,CH,5,closed
RO,US,3,closed
CA,ET,1,closed
DK,NL,48,closed
AR,LU,1,closed
BD,CH,30,closed
CZ,IT,3,closed
PL,IT,1,closed
GR,IT,30,closed
AT,NL,20,closed
SG,US,19,closed
TN,CH,3,closed
GB,LU,147,closed
IN,AU,16,closed
TW,GB,86,closed
SG,DE,2,closed
DK,US,49,closed
IR,LU,2,closed
PK,CH,57,closed
DK,FR,1,closed
CZ,BE,2,closed
IL,LU,2,closed
GB,ET,11,closed
BE,DE,20,closed
GB,NL,289,closed
SD,IT,2,closed
PW,GB,1,closed
ET,US,1,closed
CO,CH,7,closed
RO,NL,4,closed
ZA,AU,26,closed
IT,ES,5,closed
PK,DE,1,closed
KH,CH,2,closed
GR,CA,2,closed
MY,CH,13,closed
CN,FR,4,closed
IN,NL,16,closed
BD,AU,2,closed
JP,DE,18,closed
GB,ES,7,closed
JP,GB,181,closed
JO,CH,4,closed
SA,US,10,closed
FR,AE,2,closed
TN,IT,12,closed
US,TH,10,closed
IS,AU,4,closed
FM,AE,3,closed
IT,CN,2,closed
FI,NL,12,closed
CM,DE,1,closed
IR,CH,4,closed
UY,NL,4,closed
FI,IT,31,closed
TZ,US,3,closed
JP,AE,1,closed
SY,IT,7,closed
DE,US,152,closed
TR,LU,5,closed
BE,ET,1,closed
AR,GB,6,closed
NC,AU,2,closed
UA,AU,2,closed
GR,CH,26,closed
AR,AU,2,closed
EE,NL,2,closed
CA,AU,275,closed
NG,AU,4,closed
US,AE,19,closed
IN,LU,9,closed
FR,IT,149,closed
TR,CH,31,closed
BE,CH,51,closed
PT,NL,10,closed
IN,ET,1,closed
SL,US,1,closed
GB,IT,211,closed
CH,TH,1,closed
AU,NL,128,closed
VE,NL,2,closed
DE,IT,134,closed
SE,IE,2,closed
DE,NL,139,closed
ID,AU,1,closed
SE,CA,11,closed
ES,GB,227,closed
AU,CH,301,closed
NZ,NL,24,closed
BD,LU,1,closed
IE,US,18,closed
CY,ET,1,closed
FI,CH,26,closed
YE,CH,2,closed
SG,IT,2,closed
RU,CH,4,closed
IE,LU,5,closed
BE,IT,26,closed
SG,AU,25,closed
CN,AU,92,closed
TW,US,22,closed
AT,AU,49,closed
CL,LU,3,closed
NO,DE,8,closed
PH,US,7,closed
PE,FR,1,closed
BD,GB,2,closed
TH,US,11,closed
NL,GB,434,closed
CA,NL,88,closed
SG,GB,19,closed
IL,CH,25,closed
CO,IT,6,closed
CA,LU,24,closed
NL,BE,2,closed
NL,DE,80,closed
CZ,AU,4,closed
RO,DE,2,closed
CA,FR,1,closed
CA,CI,2,closed
DE,CI,2,closed
PH,CH,8,closed
SI,CH,97,closed
GH,CH,9,closed
AU,IE,4,closed
TZ,CH,17,closed
PT,US,5,closed
FR,CA,9,closed
HU,CH,4,closed
FR,FR,1,closed
NL,AE,14,closed
DK,CH,39,closed
AT,AE,2,closed
GH,GB,2,closed
RW,CH,4,closed
CA,CN,2,closed
LK,CH,21,closed
SE,AU,109,closed
IT,CH,77,closed
DE,LU,90,closed
ZW,IT,25,closed
CA,ES,6,closed
IT,US,80,closed
RU,GB,8,closed
