type,timediff,n_items
open,-13434,1
open,-2324,1
open,-2032,1
open,-1935,1
open,-1826,1
open,-1709,1
open,-1632,2
open,-1089,1
open,-938,1
open,-846,1
open,-758,1
open,-706,1
open,-557,1
open,-517,3
open,-456,3
open,-427,1
open,-425,12
open,-419,1
open,-396,2
open,-335,1
open,-306,4
open,-269,1
open,-207,2
open,-189,1
open,-181,2
open,-152,12
open,-139,1
open,-125,1
open,-107,2
open,-96,9
open,-75,1
open,-67,1
open,-43,1
open,-35,1
open,-20,6
open,-4,4
open,7,5
open,18,2
open,23,14
open,28,9
open,37,6
open,39,5
open,50,4
open,55,9
open,57,5
open,65,3
open,76,9
open,89,4
open,92,21
open,97,3
open,102,14
open,105,2
open,127,6
open,129,4
open,135,25
open,147,7
open,148,10
open,150,7
open,156,10
open,158,4
open,169,6
open,174,6
open,177,7
open,179,6
open,185,6
open,190,3
open,200,8
open,203,7
open,206,10
open,211,4
open,222,11
open,230,2
open,235,7
open,238,2
open,241,7
open,245,41
open,248,8
open,251,5
open,283,11
open,286,8
open,288,6
open,291,3
open,293,10
open,301,7
open,304,18
open,306,21
open,323,3
open,325,12
open,339,13
open,341,2
open,343,2
open,344,24
open,346,5
open,351,11
open,362,9
open,365,20
open,367,9
open,368,6
open,375,10
open,384,1
open,386,6
open,420,8
open,421,4
open,423,3
open,428,4
open,431,3
open,439,1
open,441,2
open,442,3
open,450,3
open,458,1
open,463,2
open,497,1
open,505,2
open,508,1
open,513,1
open,516,4
open,521,1
open,545,2
open,556,1
open,564,1
open,577,1
open,587,2
open,592,1
open,609,5
closed,-7213,1
closed,-5361,1
closed,-3195,1
closed,-2970,1
closed,-2814,1
closed,-2663,1
closed,-1669,1
closed,-1627,1
closed,-1478,1
closed,-920,2
closed,-790,1
closed,-581,1
closed,-512,2
closed,-406,1
closed,-274,1
closed,-273,1
closed,-239,1
closed,-181,1
closed,-159,2
closed,-123,2
closed,-106,1
closed,-104,1
closed,-75,2
closed,-48,1
closed,-30,2
closed,-11,2
closed,-3,1
closed,0,15
closed,2,3
closed,8,4
closed,10,2
closed,13,1
closed,29,8
closed,45,3
closed,47,1
closed,50,4
closed,68,1
closed,74,1
closed,84,1
closed,90,15
closed,97,1
closed,98,3
closed,100,2
closed,106,2
closed,111,1
closed,114,2
closed,124,2
closed,130,1
closed,135,2
closed,140,2
closed,148,5
closed,151,11
closed,153,12
closed,159,1
closed,161,3
closed,182,7
closed,198,4
closed,214,16
closed,217,4
closed,220,2
closed,225,4
closed,227,1
closed,236,2
closed,248,7
closed,249,2
closed,256,3
closed,259,2
closed,262,2
closed,265,1
closed,270,5
closed,273,17
closed,275,19
closed,291,3
closed,302,5
closed,315,3
closed,323,8
closed,325,2
closed,328,7
closed,334,14
closed,347,6
closed,349,5
closed,371,3
closed,379,1
closed,384,3
closed,389,2
closed,391,1
closed,399,4
closed,410,1
closed,415,1
closed,423,2
closed,429,7
closed,431,3
closed,432,3
closed,442,2
closed,445,1
closed,452,1
closed,458,4
closed,461,2
closed,477,1
closed,479,2
closed,489,1
closed,524,1
open,-4332,1
open,-3128,1
open,-2802,1
open,-2556,1
open,-2161,1
open,-1952,3
open,-1750,1
open,-1462,1
open,-1374,1
open,-1316,1
open,-1273,1
open,-1040,1
open,-731,1
open,-662,3
open,-622,1
open,-585,1
open,-532,1
open,-498,1
open,-413,1
open,-407,1
open,-399,1
open,-391,3
open,-365,2
open,-328,1
open,-291,1
open,-264,1
open,-259,1
open,-251,1
open,-228,1
open,-220,1
open,-188,1
open,-177,2
open,-164,2
open,-138,1
open,-132,1
open,-129,3
open,-121,14
open,-100,1
open,-98,1
open,-92,1
open,-90,2
open,-77,2
open,-76,3
open,-74,2
open,-71,2
open,-60,5
open,-58,1
open,-52,2
open,-39,2
open,-34,2
open,-29,11
open,-24,6
open,-18,10
open,-13,3
open,-7,3
open,0,35
open,8,3
open,11,5
open,16,5
open,17,14
open,22,9
open,27,6
open,30,5
open,32,3
open,33,9
open,35,5
open,40,16
open,41,8
open,54,9
open,59,12
open,64,2
open,69,5
open,70,5
open,80,3
open,88,7
open,91,6
open,98,8
open,99,1
open,101,3
open,104,9
open,120,9
open,123,5
open,125,6
open,128,7
open,131,8
open,136,5
open,138,6
open,149,10
open,157,8
open,160,2
open,162,2
open,165,4
open,168,9
open,176,10
open,183,2
open,191,11
open,196,3
open,199,5
open,202,8
open,205,8
open,236,5
open,237,13
open,242,11
open,247,9
open,250,11
open,252,2
open,263,1
open,276,11
open,279,2
open,281,5
open,284,10
open,287,4
open,305,8
open,311,5
open,319,12
open,324,5
open,326,12
open,327,9
open,337,10
open,342,5
open,347,14
open,355,5
open,364,2
open,366,52
open,377,2
open,379,5
open,382,8
open,392,4
open,398,4
open,403,3
open,416,4
open,432,7
open,435,1
open,438,2
open,443,3
open,445,1
open,451,6
open,453,1
open,464,1
open,467,4
open,472,2
open,475,4
open,480,3
open,483,1
open,506,1
open,509,2
open,512,4
open,533,5
open,560,1
open,568,1
open,583,1
open,599,1
closed,-3562,1
closed,-3156,1
closed,-2748,1
closed,-1395,1
closed,-1059,1
closed,-561,1
closed,-548,3
closed,-519,1
closed,-441,1
closed,-404,1
closed,-365,1
closed,-253,1
closed,-251,1
closed,-225,1
closed,-201,1
closed,-182,3
closed,-134,1
closed,-118,1
closed,-116,1
closed,-73,1
closed,-71,1
closed,-42,2
closed,-37,1
closed,-36,1
closed,-34,3
closed,-18,1
closed,4,1
closed,12,2
closed,14,2
closed,19,1
closed,20,1
closed,27,1
closed,33,3
closed,36,3
closed,41,2
closed,43,5
closed,56,4
closed,65,1
closed,86,1
closed,89,3
closed,94,1
closed,96,3
closed,107,4
closed,118,3
closed,125,1
closed,131,2
closed,133,4
closed,139,2
closed,149,3
closed,154,3
closed,157,3
closed,162,6
closed,165,2
closed,170,2
closed,176,4
closed,179,7
closed,181,11
closed,189,1
closed,199,1
closed,200,1
closed,216,5
closed,218,5
closed,231,1
