type,timediff,n_items
closed,-10250,1
closed,-3500,1
closed,-2748,1
closed,-1769,1
closed,-1478,1
closed,-1151,1
closed,-1149,1
closed,-790,1
closed,-425,2
closed,-406,1
closed,-350,1
closed,-274,1
closed,-273,1
closed,-225,1
closed,-198,1
closed,-181,1
closed,-131,1
closed,-124,1
closed,-123,2
closed,-115,2
closed,-91,4
closed,-75,2
closed,-74,1
closed,-58,2
closed,-48,1
closed,-40,4
closed,-31,19
closed,-21,6
closed,-14,1
closed,-7,2
closed,0,15
closed,5,2
closed,15,1
closed,23,6
closed,30,2
closed,33,3
closed,46,1
closed,57,3
closed,58,5
closed,65,1
closed,66,3
closed,75,2
closed,80,1
closed,83,3
closed,90,15
closed,107,4
closed,113,3
closed,114,2
closed,115,5
closed,122,20
closed,123,6
closed,125,1
closed,130,1
closed,132,3
closed,138,4
closed,141,3
closed,147,3
closed,150,4
closed,165,2
closed,166,1
closed,172,1
closed,180,6
closed,189,1
closed,191,2
closed,206,3
closed,207,3
closed,214,16
closed,230,4
closed,231,1
closed,232,4
closed,233,7
closed,240,2
closed,242,6
closed,250,2
closed,257,7
closed,264,1
closed,273,17
closed,282,7
closed,292,2
closed,300,4
closed,325,2
closed,331,4
closed,365,17
closed,373,3
closed,375,4
closed,382,1
closed,431,3
closed,441,1
closed,456,4
closed,458,4
closed,464,2
closed,467,1
closed,484,1
closed,489,1
closed,493,2
closed,499,1
closed,515,2
closed,526,1
closed,533,1
closed,542,1
closed,549,1
closed,606,1
closed,633,1
closed,-17720,1
closed,-9899,1
closed,-5361,1
closed,-4527,1
closed,-3156,1
closed,-2814,1
closed,-2663,1
closed,-2389,1
closed,-2355,1
closed,-1395,1
closed,-1059,1
closed,-548,3
closed,-456,6
closed,-239,1
closed,-191,1
closed,-164,1
closed,-107,1
closed,-63,1
closed,-49,2
closed,-13,1
closed,6,2
closed,13,1
closed,14,2
closed,16,2
closed,21,1
closed,47,1
closed,50,4
closed,55,2
closed,56,4
closed,64,6
closed,82,4
closed,89,3
closed,91,1
closed,97,1
closed,98,3
closed,99,9
closed,140,2
closed,148,5
closed,156,5
closed,163,3
closed,167,5
closed,174,9
closed,181,11
closed,183,6
closed,190,4
closed,200,1
closed,205,2
closed,208,4
closed,215,4
closed,216,5
closed,223,2
closed,248,7
closed,249,2
closed,255,9
closed,256,3
closed,259,2
closed,266,5
closed,275,19
closed,281,4
closed,297,10
closed,298,3
closed,309,7
closed,314,5
closed,316,5
closed,317,2
closed,333,5
closed,340,3
closed,347,6
closed,350,4
closed,356,2
closed,358,2
closed,364,7
closed,372,1
closed,374,3
closed,383,1
closed,384,3
closed,389,2
closed,397,1
closed,398,5
closed,399,4
closed,406,2
closed,417,1
closed,422,1
closed,423,2
closed,425,15
closed,426,9
