author_country,tweeter_country,tweets
ZA,ID,222
EE,MD,1
FR,VI,7
HR,VE,48
BD,ET,6
PT,LB,19
SY,SE,3
VA,NZ,1
ZW,ID,7
IL,PY,71
CG,NL,8
SE,AO,7
ID,CO,80
BE,KZ,11
SE,SC,7
KR,PT,537
DE,IT,8894
VN,RO,2
UY,GY,1
SN,MR,1
IS,AW,1
FR,FK,4
MV,DE,3
NL,SK,48
GP,BR,13
UG,CA,283
FR,SI,263
BW,MG,2
NC,CF,2
AU,GL,9
NC,IE,7
KW,KH,1
DE,NL,15693
BE,SS,5
CU,BW,1
CN,VI,3
GR,ES,3429
KG,CO,1
VA,GB,9
JP,AL,4
BY,BO,1
CM,DK,3
ES,SR,3
MC,GE,2
IL,TD,2
VU,FR,3
DK,AZ,12
BM,NZ,1
US,TO,23
CN,MM,139
IQ,RO,1
AU,AO,13
BB,AU,17
TR,ZW,4
BS,TW,1
GB,PL,2972
AR,SM,4
RW,PH,2
BO,NG,2
BD,CN,2
TT,RW,1
MZ,FR,30
AU,VU,29
CI,BS,1
AU,NA,282
IN,SG,303
GR,EE,9
FI,SK,20
RU,MK,8
IR,NG,67
ID,AR,22
ZW,SV,4
PE,NG,9
ET,MN,1
BF,TT,1
NG,IM,1
ES,AF,12
AU,GI,42
PA,JP,432
IS,NP,3
FI,TH,665
GW,NP,1
BG,GT,2
LU,WS,1
FI,AR,750
UA,LB,1
IT,GN,3
RO,JM,1
GR,CV,1
CN,TZ,106
BJ,GB,97
NO,CZ,168
CI,SV,2
ZM,KE,18
TW,CY,28
FJ,PT,1
GL,GB,191
CN,LS,1
SE,MF,4
SZ,CH,4
CH,TD,4
JM,DK,1
BO,MO,1
NZ,SD,12
RO,SG,11
NG,FR,143
NP,GT,1
IE,MU,3
CI,SN,2
VE,NP,1
TR,CN,59
PA,LR,1
PY,DE,3
QA,PG,10
SA,BE,136
ZA,UZ,4
IT,MO,1
AR,CX,1
LV,FR,39
IN,CR,48
DE,SX,3
HT,AU,4
CO,DO,13
BR,BT,5
IN,BO,61
NO,EC,369
EE,SZ,1
VU,CA,1
CU,BR,23
CN,CZ,527
JP,ZA,1846
PL,TZ,5
US,PF,71
NO,NG,182
US,SM,1291
CN,TW,1174
PY,CO,5
MY,KP,3
NL,QA,393
BD,KY,1
JP,MF,12
TR,SG,55
DZ,CO,5
DK,EG,315
IL,CD,4
MN,ZA,1
SN,KZ,2
PT,WS,1
NZ,NL,1862
JP,BR,3297
BE,MQ,2
DE,ME,99
BN,CM,1
BO,SE,8
LU,KR,9
PT,MG,3
BY,PE,2
SB,TH,1
IN,JE,2
CZ,KR,68
SD,PY,2
LU,TW,14
HU,IE,201
BB,TR,1
BO,CW,1
MX,CM,24
CY,GE,3
CH,LI,3
LU,NA,5
DZ,SA,12
BE,IL,187
SN,MZ,2
SY,PT,1
EG,ZM,2
SO,ZA,2
