author_country,type,tweeter_country,tweets
DZ,closed,ID,6
ER,open,US,31
BE,open,RE,6
LB,open,BE,15
ID,closed,LA,1
NA,closed,NULL,NULL
FR,open,MO,5
TW,open,DJ,2
TR,closed,SM,1
MK,closed,MX,1
IN,closed,OM,48
NG,closed,NULL,NULL
IR,open,KR,10
GR,open,HT,1
KE,open,GH,30
TN,open,MA,1
FJ,open,VG,1
CL,open,GH,13
SL,open,GB,196
SA,closed,CL,58
QA,closed,PA,1
NG,closed,IR,1
GL,open,FI,10
ML,open,BE,2
SG,open,PH,98
CN,closed,TV,54
AU,open,SI,240
CL,open,ES,1409
CA,closed,PT,870
FI,open,NI,7
BB,open,ES,3
BR,open,TD,2
MA,open,NL,43
KZ,closed,IE,3
VN,closed,DO,2
YE,open,GE,1
PA,open,TH,9
IS,open,EC,12
GP,open,NO,2
SE,open,CR,108
US,closed,KY,142
GR,closed,OM,7
LS,open,LS,1
GA,closed,CH,2
EC,open,OM,1
BR,open,SM,9
VE,closed,SO,3
MX,open,PS,2
LK,open,AD,4
MA,open,VE,14
CA,closed,PK,431
SI,closed,GH,2
BI,closed,CI,2
CH,open,BH,19
IL,closed,MY,146
ZA,open,PK,66
AR,open,AT,52
IN,closed,CO,306
BD,closed,DK,6
SN,closed,CZ,1
QA,open,PY,3
CN,open,BY,15
CO,open,CU,1
JP,closed,TT,16
CZ,open,SK,18
CU,closed,AE,1
SI,closed,IN,43
PT,closed,MM,6
CH,closed,MW,12
GT,open,DE,3
IS,open,RS,1
SB,closed,BW,1
GB,open,UA,481
RS,closed,KW,2
DZ,closed,BG,1
SX,closed,GB,2
VN,closed,MK,1
GM,open,CV,1
LU,open,NL,91
ZW,open,TH,1
PF,open,ID,3
EG,open,AD,1
BW,closed,UG,6
DE,open,EE,95
PT,closed,UY,18
NL,closed,CO,1375
CM,closed,AT,3
EC,closed,MY,1
VN,open,AT,5
LK,open,MG,2
PE,open,SA,11
AU,closed,VG,5
PL,closed,ST,2
AO,open,BG,1
GE,open,NP,2
GB,closed,MC,27
NL,closed,TO,3
FR,open,TG,12
PF,open,NZ,1
TN,closed,GD,4
TJ,closed,PA,1
KR,closed,PL,84
SI,closed,OM,1
IN,open,BJ,4
CH,closed,AM,5
PH,closed,LA,2
MY,closed,GR,12
UZ,open,NL,1
PE,closed,ET,2
GM,open,GH,6
DM,open,NULL,NULL
SG,closed,BR,272
IR,open,GB,2287
US,closed,AX,17
CH,open,NL,3730
CH,closed,US,27378
CY,open,RO,4
JP,closed,SM,17
SY,open,PH,1
AU,closed,GI,14
CA,closed,FK,4
LU,closed,ML,1
CZ,open,LK,9
MX,open,PG,5
IN,closed,IR,52
QA,open,CH,157
LA,open,CO,4
CN,open,GW,64
CH,open,CM,110
TT,open,PH,1
SE,closed,AR,747
CL,open,PE,127
MD,closed,IN,6
NZ,closed,GG,4
NZ,closed,CI,13
EC,open,DE,58
IN,open,TH,137
LU,open,CU,1
AN,closed,US,235
EE,open,CV,2
CO,open,UG,7
NO,closed,LT,5
IN,closed,HU,17
TH,open,FR,343
JO,closed,HU,1
PL,closed,DE,839
BR,open,AU,3544
IQ,closed,PL,1
TW,open,BL,1
PT,closed,ME,2
KP,open,PE,3
PH,open,CL,11
HU,closed,AR,54
GE,open,MT,1
TW,open,SY,1
SL,open,NZ,3
IT,closed,RO,215
CA,closed,CD,26
CN,closed,LV,24
PA,open,BS,1
ME,closed,GB,17
SL,closed,IE,1
CO,open,IM,1
SA,closed,BE,52
CG,closed,TZ,2
ET,closed,ID,11
AE,open,EG,4
UG,closed,SY,1
HT,open,GB,24
SI,open,EG,8
DK,open,KR,195
BY,open,RU,1
PT,open,KZ,1
US,open,PH,5105
TR,open,LK,3
US,open,CO,22551
ES,open,BW,19
DE,open,BE,3446
RS,open,HT,2
PK,closed,ET,1
BF,open,CA,31
KR,closed,EG,218
OM,open,TZ,4
ES,closed,CW,63
PT,open,AE,32
IL,closed,SG,156
BE,closed,RW,17
PL,closed,ES,1479
PE,closed,LK,1
NP,open,TH,6
GL,closed,SA,6
IT,closed,MT,28
AR,closed,MD,3
JO,closed,EC,3
BG,closed,TN,2
BT,open,VN,3
SG,open,CO,197
CG,closed,NG,2
FR,open,GE,151
ME,closed,NZ,3
BD,open,IR,1
AT,closed,BR,334
BD,closed,FJ,2
CH,closed,SZ,1
DM,open,CA,3
IL,closed,PT,194
UA,open,CI,1
BE,closed,NE,1
BD,closed,MY,7
AU,closed,PR,195
KE,closed,NULL,NULL
CR,open,FR,27
CA,closed,TD,5
DK,open,LR,1
CL,closed,PG,5
JO,closed,AU,97
ID,closed,GR,3
IT,closed,PA,148
SY,closed,SY,3
CN,closed,CY,67
MX,open,GW,12
AL,closed,NL,1
CL,open,BO,18
NO,open,CH,1448
CD,closed,TZ,4
CH,open,TM,5
EE,closed,CO,11
CI,open,CM,1
DE,closed,KP,99
TH,closed,KR,15
EC,closed,DK,4
CO,closed,AU,264
GH,open,CA,73
TH,open,AR,66
IQ,closed,SC,1
CA,closed,NO,1608
BR,open,BN,4
OM,open,FI,3
NG,open,BJ,2
RS,open,AW,1
ES,closed,RO,200
UG,open,CI,3
TD,open,EG,1
MX,closed,LV,3
