type,timediff,n_items
closed,207,1206
closed,-729,2
open,-405,26
open,605,82
open,211,1535
closed,447,5055
open,622,195
closed,-715,1
open,-585,13
open,268,1345
closed,390,424
open,-37,1199
closed,430,1807
open,71,6359
open,-571,8
open,168,2742
closed,-461,9
closed,530,151
open,579,205
open,128,2679
open,-177,87
closed,-855,2
closed,22,14133
open,636,58
closed,473,426
closed,-93,463
open,28,19559
open,-654,3
closed,62,3603
closed,416,313
closed,-487,16
closed,162,1620
open,496,1087
open,-260,30
open,-711,6
closed,-898,1
closed,-430,5
closed,-587,2
closed,105,2335
closed,-824,1
open,2,205051
closed,499,179
open,159,2629
open,-386,24
open,510,463
closed,582,86
open,527,229
closed,131,1806
closed,-5,3603
closed,525,146
closed,-596,4
closed,-696,5
closed,-539,2
open,287,1880
open,187,3441
open,-652,7
open,-44,882
open,-552,9
closed,-171,43
open,555,220
open,104,3628
closed,-722,1
closed,497,198
open,572,148
open,-184,63
open,-27,1256
closed,440,361
closed,-354,20
closed,-765,2
open,-621,8
open,472,469
open,178,1809
closed,29,11347
open,-1072,1
closed,-454,3
open,-678,11
open,235,1600
open,529,305
closed,423,357
open,78,4668
open,-1129,1
open,-310,36
open,-761,7
closed,523,177
open,586,167
open,135,2645
open,-210,54
closed,15,16346
open,-647,22
open,446,687
open,-196,85
open,-1255,1
closed,-537,4
closed,-380,32
open,-236,50
open,-393,57
closed,-988,2
closed,449,576
open,-253,28
closed,-29,923
closed,-12,1458
closed,549,149
open,109,3027
closed,-169,43
open,-279,36
closed,-720,4
closed,-112,282
open,-336,36
open,420,844
open,-179,60
open,-870,2
closed,632,23
open,26,18455
closed,-606,6
closed,-1057,1
closed,575,171
closed,124,2323
closed,321,737
open,337,1163
open,-756,7
open,-519,17
open,237,1673
open,-362,27
closed,-746,6
closed,-295,12
open,-34,1007
closed,-121,196
closed,-1023,1
open,234,1419
closed,90,2621
open,194,1747
closed,641,13
open,545,238
open,94,3736
open,-117,249
closed,-261,14
open,602,99
open,-428,13
open,562,258
closed,-204,31
open,-454,15
closed,-598,10
closed,216,1393
open,-511,20
closed,413,402
open,68,5212
closed,316,849
open,-143,181
open,-594,7
closed,-330,11
open,-554,16
closed,299,950
closed,45,4632
open,436,661
open,-677,14
closed,399,627
open,42,9891
open,-694,6
closed,-19,1050
open,296,1461
closed,-764,1
closed,-470,6
open,393,1125
open,196,1934
open,353,1164
open,-112,323
closed,-553,7
closed,-102,499
open,-1031,1
open,-169,66
open,410,752
closed,71,4086
closed,425,420
