type,timediff,n_items
closed,-116,286
closed,-448,2
closed,192,533
closed,-325,2
closed,175,1025
closed,-122,329
closed,-82,561
closed,-414,1
closed,-365,8
closed,-108,528
closed,158,868
closed,-39,1721
closed,-88,671
closed,-643,1
closed,72,2758
closed,258,101
closed,-357,3
closed,-182,69
closed,-374,4
closed,-869,14
closed,32,11153
closed,-265,5
closed,-73,809
closed,-25,1721
closed,272,78
closed,-248,2
closed,-391,1
closed,-56,1232
closed,-105,509
closed,106,1625
closed,155,851
closed,63,3744
closed,-242,2
closed,241,284
closed,49,5888
closed,149,1000
closed,198,577
closed,267,101
closed,-183,39
closed,-266,1
closed,-174,75
closed,-323,1
closed,173,622
closed,-249,4
closed,81,2303
closed,-180,72
closed,-8,2204
closed,-157,159
closed,38,6429
closed,-598,2
closed,-206,25
closed,-549,3
closed,7,34742
closed,-492,3
closed,-426,5
closed,-140,154
closed,239,264
closed,-257,2
closed,-163,107
closed,164,774
closed,-280,3
closed,-217,12
closed,-618,1
closed,-466,6
closed,124,1377
closed,-415,7
closed,-581,1
closed,133,14701
closed,41,5878
closed,-297,2
closed,247,230
closed,-197,13
closed,-189,29
closed,-782,3
closed,-968,3
closed,-89,656
closed,-358,5
closed,-467,1
closed,-859,1
closed,265,150
closed,-72,875
closed,25,13954
closed,-390,1
closed,-106,414
closed,105,2000
closed,-6,2455
closed,-584,19
closed,-192,18
closed,-55,1239
closed,199,501
closed,-441,1
closed,-46,1411
closed,-215,4
closed,139,1359
closed,-716,2
closed,22,15360
closed,222,327
closed,-272,2
closed,108,1508
closed,225,320
closed,274,125
closed,182,620
closed,88,2255
closed,-481,9
closed,-593,9
closed,48,5045
closed,-233,10
closed,-356,1
closed,-30,1540
closed,31,12183
closed,217,298
closed,-24,1458
closed,-439,5
closed,-433,1
closed,-147,204
closed,197,426
closed,-877,1
closed,-167,84
closed,-476,2
closed,-259,5
closed,-173,85
closed,74,2552
closed,131,3182
closed,-156,220
closed,157,725
closed,-38,1490
closed,-207,36
closed,8,27689
closed,-599,5
closed,-150,547
closed,-399,1
closed,-250,3
closed,100,1638
closed,-50,1451
closed,0,106775
closed,-331,2
closed,23,15228
closed,-22,1885
closed,46,4598
closed,-400,2
closed,115,1630
closed,138,1291
closed,-308,9
closed,-16,1890
closed,232,243
closed,-231,13
closed,-623,1
closed,75,2503
closed,-225,5
closed,-557,1
closed,132,5464
closed,15,18015
closed,-835,2
closed,-935,2
closed,189,807
closed,-783,6
closed,-451,4
closed,-142,194
closed,264,150
closed,172,661
closed,-574,1
closed,-65,1444
closed,66,2795
closed,-274,10
closed,-125,375
closed,-483,1
closed,-5,2894
closed,-640,2
closed,-592,3
closed,-214,18
closed,-91,554
closed,-283,9
closed,-406,1
closed,113,1514
closed,230,239
closed,-609,1
closed,-74,844
closed,273,69
closed,107,1415
closed,250,152
closed,-131,222
closed,-57,1343
closed,58,3703
closed,130,3271
closed,-14,2267
closed,-100,606
closed,207,292
closed,-300,1
closed,150,1057
closed,-541,1
closed,141,1349
closed,-950,1
closed,233,279
closed,30,12209
closed,-31,1527
closed,-123,371
closed,-910,1
closed,-366,2
closed,-389,1
closed,-867,2
closed,-432,2
closed,-40,1688
closed,90,2333
closed,-48,1409
closed,147,1184
closed,-473,1
closed,165,660
closed,125,1170
closed,65,3029
closed,-181,104
closed,-573,2
closed,-172,76
closed,73,2611
closed,-341,2
closed,5,44201
closed,242,184
closed,-241,10
closed,-98,551
closed,-149,285
closed,-198,21
closed,-424,1
closed,191,471
closed,-401,5
closed,116,1611
closed,-115,457
closed,-232,8
closed,-407,3
closed,-284,2
closed,231,205
closed,-324,5
closed,-315,4
closed,-524,1
closed,-464,1
closed,122,1519
closed,-75,731
closed,-132,198
closed,33,10273
closed,-15,1913
closed,-158,117
closed,-501,3
closed,-742,1
closed,-141,190
closed,-47,1445
closed,240,242
closed,-425,3
closed,-926,1
closed,257,132
closed,-333,3
closed,-64,1215
closed,-216,7
closed,-316,1
closed,-465,3
closed,-273,9
closed,-124,261
closed,123,1388
closed,83,2565
closed,-768,3
closed,40,6018
closed,-41,1412
closed,-539,1
closed,-682,1
closed,214,303
closed,-685,4
closed,-190,36
closed,-21,1660
closed,166,802
closed,-113,397
closed,-382,7
closed,114,1448
closed,-267,2
closed,80,2454
closed,-322,6
closed,-58,1314
closed,-224,11
closed,180,528
closed,-1077,1
closed,57,3425
closed,206,358
closed,-350,4
closed,-7,2263
closed,-591,1
closed,261,186
closed,-663,3
closed,69,2681
closed,92,2112
closed,209,427
closed,-185,19
closed,-76,723
closed,-563,4
closed,29,12999
closed,201,497
closed,-59,1254
closed,-463,1
closed,-680,2
closed,244,860
closed,-251,4
closed,-96,850
closed,-102,554
closed,146,1001
closed,-294,1
closed,-520,1
closed,-119,254
closed,-328,1
closed,-311,4
closed,-305,3
closed,-136,195
closed,-234,5
closed,-171,101
closed,229,298
closed,-19,1817
closed,-271,2
closed,-460,9
closed,-128,252
closed,-769,3
closed,-720,1
closed,86,2438
closed,-36,1419
closed,43,5518
closed,-597,1
closed,-569,1
closed,-68,972
closed,-329,4
closed,184,640
closed,-28,1645
closed,-120,253
closed,121,1546
closed,127,1811
closed,-486,2
closed,-578,2
closed,101,1515
closed,-243,1
closed,193,516
closed,-94,792
closed,-186,18
closed,-286,1
closed,-17,1852
closed,-664,3
closed,-11,1974
closed,204,447
closed,10,21795
closed,-134,173
closed,61,3276
closed,-111,349
closed,253,142
closed,-595,2
closed,-395,1
closed,-246,4
closed,-212,15
closed,-43,1392
closed,-404,5
closed,-135,171
closed,-218,2
closed,219,319
closed,-229,4
closed,-78,796
closed,271,151
closed,-461,2
closed,228,247
closed,-410,1
closed,-12,2489
closed,254,186
closed,-845,1
closed,-839,2
closed,-779,5
closed,-238,14
closed,185,3224
closed,-221,9
closed,-564,3
closed,-762,2
closed,202,501
closed,-295,1
closed,-152,3865
closed,-9,2100
closed,251,143
closed,-487,1
closed,102,1660
closed,-195,26
closed,45,4850
closed,-636,2
closed,-3,3694
closed,-70,1152
closed,263,172
closed,-187,36
closed,77,2520
closed,-611,1
closed,-419,1
closed,60,3491
closed,226,328
closed,-104,390
closed,177,603
closed,154,930
closed,-84,662
closed,160,774
closed,-396,3
closed,103,1556
closed,-204,35
closed,246,263
closed,-296,4
closed,120,1465
closed,-213,30
closed,-330,10
closed,-854,3
closed,260,135
closed,20,16162
closed,-276,4
closed,-622,1
closed,-370,2
closed,-468,1
closed,-87,722
closed,243,770
closed,-193,45
closed,51,4557
closed,151,804
closed,-293,3
closed,-1,31283
closed,238,170
closed,-354,5
closed,-45,1276
closed,-162,165
closed,-477,2
closed,-454,2
closed,-268,6
closed,221,455
closed,-437,2
closed,109,1719
closed,-629,4
closed,-337,1
closed,-586,3
closed,-53,1086
closed,-351,2
closed,-302,8
closed,3,55337
closed,-2,7391
closed,252,185
closed,152,1045
closed,-594,15
closed,95,1821
closed,118,1374
closed,-428,2
closed,235,306
closed,-420,2
closed,78,2464
closed,-228,10
closed,-79,654
closed,26,14303
closed,178,715
closed,12,18764
closed,-179,81
closed,-511,2
closed,-411,1
