year	all_green	gold_green	hybrid_green	bronze_green	journal_green	only_green
2010	385037	71043	32317	76284	179246	205791
2011	434195	97028	43195	78926	218648	215547
2012	493870	131098	51918	84624	266941	226929
2013	553768	166480	54995	85215	306126	247642
2014	611052	201374	67223	89610	357485	253567
2015	660966	231675	83413	83714	398050	262916
2016	707910	248844	96916	79178	423831	284079
2017	698730	273997	96945	66224	436369	262361
2018	411166	154162	58512	28644	240910	170256
2019	57170	16476	8231	3300	27974	29196
