type,timediff,n_items
open,-855,1
open,-693,1
open,-362,2
open,-347,3
open,-326,1
open,-325,1
open,-180,1
open,-153,1
open,-130,1
open,-114,1
open,-97,1
open,-95,1
open,-69,2
open,-68,1
open,-61,1
open,-55,3
open,-47,1
open,-37,5
open,-31,2
open,-26,4
open,-16,7
open,-15,2
open,-8,7
open,6,87
open,19,30
open,24,42
open,61,31
open,62,14
open,67,24
open,72,9
open,77,33
open,83,18
open,86,12
open,93,22
open,96,17
open,106,20
open,107,23
open,112,18
open,133,20
open,139,17
open,141,19
open,146,21
open,151,21
open,159,12
open,170,15
open,189,17
open,197,15
open,213,20
open,215,18
open,218,24
open,220,15
open,226,12
open,228,13
open,231,19
open,234,12
open,239,22
open,244,13
open,255,18
open,257,22
open,260,15
open,265,19
open,268,13
open,271,6
open,273,11
open,274,13
open,290,13
open,295,23
open,297,14
open,308,11
open,310,9
open,332,14
open,334,9
open,345,12
open,350,21
open,353,13
open,356,14
open,361,13
open,363,17
open,369,15
open,371,10
open,372,15
open,374,20
open,388,5
open,390,13
open,395,10
open,408,9
open,409,6
open,414,4
open,417,5
open,419,11
open,424,7
open,427,5
open,446,10
open,448,6
open,454,10
open,461,14
open,485,13
open,486,10
open,491,12
open,498,6
open,499,4
open,501,4
open,507,5
open,522,4
open,538,5
open,541,2
open,543,3
open,551,7
open,554,3
open,565,6
open,570,2
open,575,2
open,578,6
open,584,3
open,588,3
open,604,1
open,623,2
open,626,2
open,631,1
open,641,1
closed,-238,1
closed,-235,1
closed,-129,1
closed,-110,1
closed,-108,1
closed,-97,1
closed,-87,1
closed,-79,2
closed,-60,1
closed,-58,8
closed,-45,2
closed,-44,4
closed,-39,2
closed,-31,3
closed,-26,1
closed,-21,3
closed,-12,2
closed,-10,1
closed,-7,4
closed,1,170
closed,3,50
closed,6,35
closed,22,37
closed,28,22
closed,30,26
closed,38,23
closed,44,9
closed,46,15
closed,48,17
closed,51,21
closed,57,9
closed,59,11
closed,62,11
closed,67,21
closed,78,11
closed,80,11
closed,99,7
closed,101,9
closed,102,7
closed,110,12
closed,112,14
closed,115,11
closed,126,14
closed,136,6
closed,146,11
closed,147,12
closed,152,10
closed,155,3
closed,160,20
closed,168,10
closed,171,18
closed,184,7
closed,187,3
closed,192,14
closed,197,7
closed,202,9
closed,207,13
closed,210,9
closed,215,11
closed,224,12
closed,226,9
closed,232,15
closed,239,13
closed,242,8
closed,244,4
closed,245,7
closed,250,7
closed,261,7
closed,263,7
closed,269,8
closed,271,7
closed,290,6
closed,298,3
closed,300,9
closed,303,8
closed,306,12
closed,311,9
closed,313,7
closed,319,4
closed,321,8
closed,322,19
closed,327,5
closed,330,12
closed,343,11
closed,345,4
closed,350,7
closed,356,15
closed,358,8
closed,367,7
closed,372,5
closed,375,10
closed,377,7
closed,380,2
closed,383,6
closed,396,3
closed,398,13
closed,403,1
closed,406,6
closed,419,6
closed,425,6
closed,430,3
closed,433,4
closed,436,1
closed,448,8
closed,457,6
closed,459,6
closed,467,1
closed,470,2
closed,485,4
closed,486,2
closed,496,3
closed,501,5
closed,502,1
closed,509,3
closed,512,1
closed,515,1
closed,526,1
closed,536,5
closed,538,2
closed,547,4
closed,554,4
closed,557,3
closed,560,1
closed,565,2
closed,568,5
closed,573,1
closed,579,3
closed,594,1
closed,602,1
closed,626,2
closed,634,1
open,-3338,1
open,-1452,5
open,-1209,1
open,-822,1
open,-557,1
open,-361,11
open,-335,1
open,-152,1
open,-125,1
open,-96,1
open,-78,2
open,-75,1
open,-73,3
open,-67,1
open,-43,4
open,-35,3
open,-30,6
open,-20,5
open,-4,5
open,7,74
open,18,29
open,23,41
open,28,33
open,37,21
open,39,25
open,50,32
open,55,28
open,57,26
open,65,15
open,76,19
open,89,12
open,92,23
open,97,15
open,102,10
open,105,22
open,127,18
open,129,15
open,135,7
open,147,20
open,148,16
open,150,11
open,156,13
open,158,14
open,169,10
open,174,18
open,177,50
open,179,25
open,185,13
open,190,17
open,200,21
open,203,27
open,206,28
open,211,26
open,222,43
open,230,20
open,235,17
open,238,21
open,241,20
open,245,10
open,248,10
open,251,20
open,283,15
open,286,17
open,288,22
open,291,7
open,293,24
open,301,19
open,304,17
open,306,16
open,323,13
open,325,13
open,339,14
open,341,13
open,343,15
open,344,8
open,346,10
open,351,13
open,362,15
open,365,14
open,367,7
open,368,9
open,375,7
open,384,9
open,386,9
open,399,9
open,420,9
open,421,14
open,423,11
open,428,9
open,431,7
open,439,10
open,441,12
open,442,2
open,450,3
open,458,14
open,463,5
open,497,2
open,505,8
open,508,14
open,513,7
open,516,5
open,521,7
open,532,3
open,534,2
open,537,5
open,540,2
open,545,4
open,555,5
open,556,5
open,561,5
open,564,3
open,569,2
open,577,4
open,587,5
open,592,2
open,606,2
open,609,2
open,611,3
open,624,2
open,627,1
open,630,4
open,632,1
closed,-856,1
closed,-483,1
closed,-268,1
closed,-237,2
closed,-139,1
closed,-136,1
closed,-123,1
closed,-106,1
closed,-80,1
closed,-48,4
closed,-30,1
closed,-3,6
closed,0,157
closed,2,68
closed,8,27
closed,10,37
closed,13,23
closed,24,28
closed,29,20
closed,39,17
closed,45,14
closed,47,30
closed,50,24
closed,68,13
closed,74,13
closed,84,5
