type,timediff,n_items
closed,-1068,1
closed,-523,1
closed,-458,1
closed,-307,1
closed,-139,1
closed,-114,1
closed,-107,4
closed,-97,1
closed,-81,2
closed,-80,1
closed,-32,3
closed,-23,2
closed,-13,3
closed,6,35
closed,13,23
closed,14,20
closed,16,30
closed,21,29
closed,24,28
closed,39,17
closed,47,30
closed,50,24
closed,55,18
closed,56,8
closed,64,22
closed,82,13
closed,89,10
closed,91,18
closed,97,13
closed,98,16
closed,99,7
closed,140,4
closed,142,12
closed,148,9
closed,156,6
closed,163,15
closed,167,11
closed,174,7
closed,181,7
closed,183,19
closed,190,10
closed,200,13
closed,205,7
closed,208,10
closed,215,11
closed,216,10
closed,223,19
closed,224,12
closed,248,14
closed,249,12
closed,255,6
closed,256,11
closed,259,12
closed,266,6
closed,275,3
closed,281,23
closed,297,10
closed,298,3
closed,309,8
closed,314,13
closed,316,5
closed,317,11
closed,333,10
closed,340,9
closed,341,7
closed,347,6
closed,350,7
closed,356,15
closed,358,8
closed,364,6
closed,372,5
closed,374,7
closed,383,6
closed,384,3
closed,389,27
closed,392,4
closed,398,13
closed,399,3
closed,406,6
closed,409,4
closed,417,8
closed,422,9
closed,423,7
closed,425,6
closed,426,6
closed,433,4
closed,434,6
closed,442,6
closed,450,4
closed,474,4
closed,476,6
closed,482,7
closed,490,4
closed,491,4
closed,507,3
closed,516,6
closed,523,6
closed,534,2
closed,543,5
closed,559,2
closed,565,2
closed,566,1
closed,568,5
closed,573,1
closed,576,1
closed,581,3
closed,592,1
closed,598,2
closed,601,1
closed,609,3
closed,-2512,1
closed,-1108,1
closed,-483,1
closed,-172,1
closed,-141,1
closed,-132,1
closed,-131,1
closed,-125,3
closed,-123,1
closed,-115,2
closed,-113,3
closed,-91,3
closed,-74,1
closed,-65,1
closed,-58,8
closed,-57,1
closed,-48,4
closed,-41,3
closed,-40,1
closed,-31,3
closed,-22,4
closed,-21,3
closed,-16,2
closed,-7,4
closed,-5,9
closed,0,157
closed,5,40
closed,15,42
closed,23,26
closed,30,26
closed,33,14
closed,40,13
closed,46,15
closed,57,9
closed,58,12
closed,65,12
closed,66,14
closed,73,11
closed,75,13
closed,80,11
closed,83,15
closed,90,19
closed,107,8
closed,113,17
closed,114,9
closed,115,11
closed,116,19
closed,122,10
closed,123,21
closed,125,41
closed,130,11
closed,132,20
closed,138,9
closed,141,7
closed,147,12
closed,150,11
closed,165,12
closed,166,15
closed,172,12
closed,180,6
closed,189,10
closed,191,7
closed,206,9
closed,207,13
closed,214,11
closed,230,11
closed,231,14
closed,232,15
closed,233,6
closed,240,17
closed,242,8
closed,250,7
closed,257,5
closed,264,15
closed,273,8
closed,282,10
closed,292,4
closed,300,9
closed,308,10
closed,325,13
closed,331,10
closed,332,8
closed,365,6
closed,373,5
closed,375,10
closed,382,2
closed,407,12
closed,408,6
closed,414,4
closed,431,6
closed,441,10
closed,451,5
closed,456,5
closed,458,7
closed,464,6
closed,466,4
closed,467,1
closed,484,5
closed,489,5
closed,492,3
closed,493,1
closed,499,3
closed,500,3
closed,506,3
closed,508,3
closed,509,3
closed,514,2
closed,515,1
closed,525,4
closed,526,1
closed,533,1
closed,539,1
closed,541,2
closed,542,2
closed,549,4
closed,557,3
closed,575,2
closed,584,1
closed,600,2
closed,626,2
closed,-361,1
closed,-288,1
closed,-237,2
closed,-235,1
closed,-129,1
closed,-118,7
closed,-109,3
closed,-86,1
closed,-60,1
closed,-51,1
closed,-26,1
closed,-20,1
closed,-18,9
closed,-10,1
closed,1,170
closed,4,49
closed,9,39
closed,11,43
closed,19,23
closed,34,13
closed,35,18
closed,36,18
closed,37,13
closed,44,9
closed,52,8
closed,53,10
closed,54,17
closed,59,11
closed,62,11
closed,76,8
closed,79,10
closed,84,5
closed,85,14
closed,93,15
