country,n_items
US,4754854
CN,2492738
GB,1103974
DE,939241
JP,875235
IT,635604
CA,606556
FR,599583
IN,597003
KR,538033
ES,532119
AU,502109
BR,431964
NL,331506
TR,295523
RU,294794
IR,283597
TW,265189
PL,229781
CH,204814
SE,188841
BE,162684
DK,127542
IL,122547
PT,118767
MX,117313
AT,114410
GR,109155
CZ,96338
SG,94461
FI,94172
NO,91883
ZA,89458
AR,81596
IE,80252
MY,79837
NZ,71395
RO,69648
EG,69384
PK,66426
TH,62592
HU,55148
CL,54378
SA,52839
RS,48539
UA,40416
TN,36154
HR,32657
CO,30414
SI,30054
SK,27144
DZ,24204
NG,23930
LT,19917
BG,19216
MA,16660
VN,15651
ID,13343
EE,11769
BD,11502
AE,11213
JO,10526
LB,9454
PH,8675
VE,8651
BY,8219
KE,7944
ET,7294
CY,6691
UY,6293
KW,6254
QA,6180
CU,6172
IS,5886
IQ,5833
PE,5602
LK,5512
LV,5387
CM,5345
AM,5318
GH,5238
KZ,4944
LU,4944
UG,4845
BA,4092
TZ,3896
OM,3873
EC,3794
MK,3566
AZ,3482
GE,3412
NP,3411
UZ,3137
CR,3030
SN,2199
SD,2172
MT,2050
ZW,1982
MD,1955
SY,1884
MW,1756
JM,1731
AL,1722
CI,1552
BF,1550
ME,1542
TT,1483
BJ,1482
PA,1456
BW,1376
ZM,1249
CD,1036
LY,1033
YE,909
BH,904
MZ,875
RW,845
MG,817
KH,794
MN,793
BO,782
ML,728
BN,712
GP,708
NC,708
MU,697
GT,694
PS,667
FJ,601
KG,572
GM,550
MM,544
GA,531
PY,506
LA,486
GD,483
MC,449
NA,438
GF,431
PG,426
BB,422
NE,397
TG,387
LI,383
CG,340
PF,332
TJ,313
KP,300
NI,278
AF,259
DO,251
HN,221
GL,221
KN,207
BT,207
AO,199
GN,198
HT,190
SZ,184
SL,182
SV,163
LS,145
RE,145
BS,136
AN,128
GW,122
GY,118
CF,115
SR,114
BI,112
MR,110
BM,97
DM,85
ER,81
LR,77
SC,71
VU,60
TD,58
TM,57
VA,55
SM,55
MV,54
SB,51
BZ,44
DJ,41
FM,41
AD,40
CV,38
AG,33
TL,31
WS,28
SO,28
PW,27
MS,20
SS,19
FK,18
GI,18
LC,17
KY,16
TO,16
AW,16
AI,14
GQ,13
VC,12
CW,11
CK,9
KM,9
MH,8
SX,7
TC,7
MQ,6
ST,5
CS,4
MF,3
KI,2
NR,1
TV,1
VG,1
WF,1
BQ,1
SH,1
PN,1

