country,n_items
AL,1783
BZ,55
CR,3441
EE,12467
ES,549305
FI,99009
GB,1153707
GD,575
GP,808
IL,126551
JM,1774
KE,9427
KG,648
KI,5
LA,628
LV,5582
MD,2166
MF,3
MW,2224
NA,532
PF,393
PW,34
PY,555
SD,2671
TR,299364
TT,1528
VC,14
WS,33
AW,17
BE,173483
BH,990
CG,398
CN,2561415
DO,278
DZ,25458
GQ,15
GW,209
HT,226
HU,57538
KM,16
KR,548098
LC,18
MG,987
MK,3641
MQ,6
NI,339
NP,3841
QA,6968
RW,1093
SK,28303
SM,59
SN,2540
SV,201
TG,455
TZ,4781
AO,253
AT,121082
BI,157
BJ,1817
BR,442234
CF,137
CL,57804
CM,6224
CY,7102
ER,109
FK,24
GA,758
GE,3639
GT,774
IE,83554
KN,248
LS,173
MZ,1153
NC,857
NE,474
NL,349482
NO,96965
NR,4
PA,1965
PG,549
RE,202
RO,71759
SB,64
SL,240
TL,40
TM,88
TV,1
UA,42322
UZ,3361
VN,18479
ZA,96577
ZM,1545
AD,47
AF,320
AG,39
AM,5608
AN,157
AR,83614
BN,785
CD,1244
CI,1800
CO,32533
CU,6685
DM,95
EG,79663
FJ,677
GY,144
HR,33279
IN,605415
IR,288276
IS,6464
JP,895401
KZ,5227
LY,1294
MM,694
MR,138
MX,120710
PH,9407
PL,235124
PN,1
PT,124977
SC,100
SE,201486
SH,1
SI,30914
SR,135
TC,8
TH,66031
TJ,350
VA,76
VG,1
VU,73
YE,1191
AE,12230
AI,14
AU,526934
AZ,3853
BD,13190
BO,1007
BQ,1
BS,173
BT,260
BW,1666
CA,629435
CK,15
CV,57
CZ,99956
DE,982876
DK,134544
ET,8440
FM,41
GI,21
IQ,7376
KH,966
KP,385
KW,6522
KY,21
LI,550
LR,90
LT,20307
LU,5626
MA,17623
MC,548
ME,1588
MV,72
OM,4196
PK,70916
RS,49392
RU,303841
SA,62295
SG,100797
SX,8
SY,2096
SZ,216
TN,38644
UG,5675
UY,6657
WF,1
BA,4225
BB,441
BF,1820
BG,19841
BM,120
BY,8543
CH,219925
CS,4
CW,17
DJ,52
EC,4679
FR,633690
GF,482
GH,5981
GL,313
GM,688
GN,250
GR,112344
HN,259
ID,15605
IT,654740
JO,11053
LB,10375
LK,6057
MH,9
ML,846
MN,928
MS,22
MT,2178
MU,749
MY,85292
NG,26013
NZ,74570
PE,6241
PS,735
SO,36
SS,28
ST,9
TD,80
TO,18
TW,269873
US,4866714
VE,9240
ZW,2324

